male,female
male,female
masculine,feminine
actor,actress
actors,actresses
boy,girl
boys,girls
bridegroom,bride
bridegrooms,brides
brother,sister
brothers,sisters
czar,czarina
czars,czarinas
duke,duchess
dukes,duchesses
man,woman
men,women
emperor,empress
emperors,empresses
father,mother
fathers,mothers
grandfather,grandmother
grandfathers,grandmothers
husband,wife
husbands,wives
king,queen
kings,queens
nephew,niece
nephews,nieces
policeman,policewoman
policemen,policewomen
prince,princess
princes,princesses
sir,madam
sirs,madams
son,daughter
sons,daughters
uncle,aunt
uncles,aunts
wizard,witch
wizards,witches
waiters,waitresses
waiter,waitress
boyfriend,girlfriend
boyfriends,girlfriends
dad,mom
dads,moms
daddy,mommy
daddies,mommies
gentleman,lady
gentlemen,ladies
monk,nun
monks,nuns
priest,priestess
priests,priestesses
viscount,viscountess
viscounts,viscountesses
shepherd,shepherdess
shepherds,shepherdesses
steward,stewardess
stewards,stewardesses
baron,baroness
barons,baronesses
abbot,abbess
abbots,abbesses
songster,songstress
songsters,songstresses
manservant,maidservant
manservants,maidservants
landlord,landlady
landlords,landladies
gay,lesbian
gays,lesbians
himself,herself
he,she
him,her
his,her
spokesman,spokeswoman
spokesmen,spokeswomen
chairman,chairwoman
chairmen,chairwomen
congressman,congresswoman
congressmen,congresswomen
fatherhood,motherhood
fatherhoods,motherhoods
councilman,councilwoman
councilmen,councilwomen
schoolboy,schoolgirl
schoolboys,schoolgirls
stepson,stepdaughter
stepsons,stepdaughters
