ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"She would also appreciate figures on the number of trafficking victims as well as information on measures taken to protect witnesses in trafficking cases.
",She would also appreciate figures on the number of trafficking victims as well as information on measures taken to protect witnesses in trafficking cases . ,"He would also appreciate figures on the number of trafficking victims as well as information on measures taken to protect witnesses in trafficking cases.
",He would also appreciate figures on the number of trafficking victims as well as information on measures taken to protect witnesses in trafficking cases . ,female,"[('she', 0)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25","她感谢提供贩卖人口受害者的人数，以及有关保护贩卖案件证人措施的资料。
",case-23,UNv1,"她还希望了解贩运受害者人数的数字，以及为保护贩运案件中的证人所采取措施的情况。
","他还希望了解贩运受害者人数的数字以及为保护贩运案件中的证人所采取措施的资料。
",她 还 希 望 了 解 贩 运 受 害 者 人 数 的 数 字 ， 以 及 为 保 护 贩 运 案 件 中 的 证 人 所 采 取 措 施 的 情 况 。,他 还 希 望 了 解 贩 运 受 害 者 人 数 的 数 字 以 及 为 保 护 贩 运 案 件 中 的 证 人 所 采 取 措 施 的 资 料 。,"0-0 1-2 1-3 2-1 4-12 8-13 9-6 9-7 9-22 9-23 10-8 10-9 10-10 11-19 12-5 13-30 14-36 15-24 16-32 16-33 16-34 17-31 18-31 19-20 19-21 20-28 20-29 21-26 23-37 23-38
","0-0 1-2 1-3 2-1 4-12 8-13 9-6 9-7 9-21 9-22 10-8 10-9 10-10 11-18 12-5 13-29 14-35 14-36 16-31 16-32 16-33 17-30 18-30 19-19 19-20 20-27 20-28 21-25 23-23
",11,"[('况', 37), ('。', 38)]",14,"[('案', 23)]",1,0,1,14
"Besides the lead and management roles and responsibilities outlined in regard to her current work with UNDP, the work described below is also significant.
","Besides the lead and management roles and responsibilities outlined in regard to her current work with UNDP , the work described below is also significant . ","Besides the lead and management roles and responsibilities outlined in regard to him current work with UNDP, the work described below is also significant.
","Besides the lead and management roles and responsibilities outlined in regard to him current work with UNDP , the work described below is also significant . ",female,"[('her', 12)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26","除了我在与开发署现任职务有关的部分中概述的主导和管理角色和职责外，下述内容也十分重要。
",lead-2,UNv1,"除了概述的她目前在开发计划署的工作中概述的牵头和管理作用及责任外，下文所述的工作也很重要。
","除了概述的关于他目前与开发计划署的工作有关的领导和管理作用及责任外，下文所述的工作也很重要。
",除 了 概 述 的 她 目 前 在 开 发 计 划 署 的 工 作 中 概 述 的 牵 头 和 管 理 作 用 及 责 任 外 ， 下 文 所 述 的 工 作 也 很 重 要 。,除 了 概 述 的 关 于 他 目 前 与 开 发 计 划 署 的 工 作 有 关 的 领 导 和 管 理 作 用 及 责 任 外 ， 下 文 所 述 的 工 作 也 很 重 要 。,"0-0 1-3 2-21 2-22 3-23 4-24 4-25 5-16 6-23 6-28 7-29 7-30 8-18 8-19 9-17 12-5 13-6 13-7 14-26 15-27 16-9 16-10 16-11 16-12 16-13 17-36 18-38 18-39 20-33 20-34 21-41 22-40 23-42 23-43 23-44
","0-0 2-22 2-23 4-25 4-26 5-18 6-24 6-29 7-30 7-31 8-2 8-3 10-20 12-7 13-8 13-9 14-27 15-10 15-28 16-11 16-12 16-13 16-14 16-15 17-37 18-39 18-40 20-34 20-35 21-42 22-41 23-43 23-44 23-45
",12,"[('牵', 21), ('头', 22)]",13,"[('领', 22), ('导', 23)]",1,1,1,13
"The first case,' said he; then, putting his hand to his head, he exclaimed, Heh!
","The first case , ' said he ; then , putting his hand to his head , he exclaimed , Heh ! ","The first case,' said she; then, putting her hand to her head, she exclaimed, Heh!
","The first case , ' said she ; then , putting her hand to her head , she exclaimed , Heh ! ",male,"[('he', 6), ('his', 11), ('his', 14), ('he', 17)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","但是这时他用手摸了一下自己的胖脑袋说：咦！
",case-2,cwmt,"第一种情况，“他说;然后，把手放在头上，他惊呼，呵呵！
","第一个案例，“她说;然后，把手放在头上，她惊呼，呵呵！
",第 一 种 情 况 ， “ 他 说 ; 然 后 ， 把 手 放 在 头 上 ， 他 惊 呼 ， 呵 呵 ！,第 一 个 案 例 ， “ 她 说 ; 然 后 ， 把 手 放 在 头 上 ， 她 惊 呼 ， 呵 呵 ！,"0-0 1-0 1-1 2-2 2-3 2-4 3-8 4-9 5-10 5-11 5-12 6-13 7-7 8-14 11-17 11-18 12-20 13-21 13-22 14-24 14-25 14-26
","0-0 0-2 1-0 1-1 2-3 3-8 4-9 5-10 5-11 5-12 6-13 7-7 8-14 11-17 11-18 12-20 13-21 13-22 14-24 14-25 14-26
",11,"[('种', 2), ('情', 3), ('况', 4)]",14,"[('案', 3)]",1,1,0,11
"Even political power- as in the case of Increase Mather- was within the grasp of a successful priest.
",Even political power- as in the case of Increase Mather- was within the grasp of a successful priest . ,"Even political power- as in the case of Increase Mather- was within the grasp of a successful priestess.
",Even political power- as in the case of Increase Mather- was within the grasp of a successful priestess . ,male,"[('priest', 17)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","甚至连政权都会落在一个成功牧师的掌握之中，英克利斯·马瑟就是一例。
",case-6,cwmt,"甚至政治权力——比如马瑟的案例——也在一个成功的牧师的掌握之中。
","甚至政治权力——比如增加马瑟的例子——也在一位成功的女祭司的掌握之中。
",甚 至 政 治 权 力 — — 比 如 马 瑟 的 案 例 — — 也 在 一 个 成 功 的 牧 师 的 掌 握 之 中 。,甚 至 政 治 权 力 — — 比 如 增 加 马 瑟 的 例 子 — — 也 在 一 位 成 功 的 女 祭 司 的 掌 握 之 中 。,"0-0 0-1 1-2 1-3 2-4 2-5 2-6 3-8 3-9 4-18 5-13 6-13 6-14 7-12 8-15 9-16 11-29 12-23 13-27 13-28 14-26 15-19 15-20 16-21 16-22 17-24 17-25
","0-0 0-1 1-2 1-3 2-4 2-5 2-6 3-8 3-9 4-20 6-15 6-16 7-14 8-10 8-11 9-17 9-18 11-32 13-30 13-31 14-22 14-29 15-21 16-23 16-24 17-26 17-27 17-28
",14,"[('案', 13), ('例', 14)]",11,"[('例', 15), ('子', 16)]",1,0,1,11
"a match might afford her a [02:56.77]world of comfort, if she only dared take a single one out of the bundle, draw [03:01.51]it against the wall, and warm her fingers by it.
","a match might afford her a [ 02:56.77]world of comfort , if she only dared take a single one out of the bundle , draw [ 03:01.51]it against the wall , and warm her fingers by it . ","a match might afford him a [02:56.77]world of comfort, if he only dared take a single one out of the bundle, draw [03:01.51]it against the wall, and warm him fingers by it.
","a match might afford him a [ 02:56.77]world of comfort , if he only dared take a single one out of the bundle , draw [ 03:01.51]it against the wall , and warm him fingers by it . ",female,"[('her', 4), ('she', 12), ('her', 33)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37,38-38","哪怕一根小火柴对她也是有好处的。 只要她敢抽出一根来，在墙上擦着了，就可以暖暖手！
",match-1,cwmt,"一根火柴可能会给她一个[02：56.77]的舒适世界，如果她只敢从捆包中拿出一个，把它拉到墙上[03：01.51]，并用它温暖她的手指。
","一场比赛可能会给他一个[02：56.77]的舒适世界，如果他只敢从捆绑中拿出一个，把它拉到墙上[03：01.51]，并用它温暖他的手指。
",一 根 火 柴 可 能 会 给 她 一 个 [ 02 ： 56.77 ] 的 舒 适 世 界 ， 如 果 她 只 敢 从 捆 包 中 拿 出 一 个 ， 把 它 拉 到 墙 上 [ 03 ： 01.51 ] ， 并 用 它 温 暖 她 的 手 指 。,一 场 比 赛 可 能 会 给 他 一 个 [ 02 ： 56.77 ] 的 舒 适 世 界 ， 如 果 他 只 敢 从 捆 绑 中 拿 出 一 个 ， 把 它 拉 到 墙 上 [ 03 ： 01.51 ] ， 并 用 它 温 暖 他 的 手 指 。,"0-0 1-2 1-3 2-4 2-5 2-6 3-5 4-8 5-10 6-11 6-12 6-13 6-14 7-16 8-17 9-22 9-23 10-24 11-25 12-26 13-36 14-34 15-33 16-33 16-34 17-32 18-30 20-45 21-45 22-45 22-46 23-40 25-47 26-48 27-51 27-52 28-53 29-55 29-56 30-56 31-57
","0-0 1-1 1-2 1-3 2-4 2-5 2-6 3-5 4-7 4-8 5-10 6-11 6-12 6-13 6-14 7-16 8-17 9-22 9-23 10-24 11-25 12-26 13-36 14-34 15-33 16-33 16-34 17-32 18-30 20-45 21-45 22-45 22-46 23-40 25-47 26-48 27-51 27-52 28-53 29-55 29-56 30-56 31-57
",1,"[('火', 2), ('柴', 3)]",2,"[('场', 1), ('比', 2), ('赛', 3)]",1,1,0,1
"He will announce a tie ( HIKIWAKE ) and start the ENCHO - SEN if applicable.
",He will announce a tie ( HIKIWAKE ) and start the ENCHO - SEN if applicable . ,"She will announce a tie ( HIKIWAKE ) and start the ENCHO - SEN if applicable.
",She will announce a tie ( HIKIWAKE ) and start the ENCHO - SEN if applicable . ,male,"[('he', 0)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","主审将宣布HIKIWAKE ( 平手 ),然后开始如果必要的 ENCHO -SEN(延长赛).
",tie-4,cwmt,"他将宣布平局（HIKIWAKE），并在适用的情况下启动ENCHO - SEN。
","如果适用，她将宣布领带（HIKIWAKE）并开始ENCHO - SEN。
",他 将 宣 布 平 局 （ HIKIWAKE ） ， 并 在 适 用 的 情 况 下 启 动 ENCHO - SEN 。,如 果 适 用 ， 她 将 宣 布 领 带 （ HIKIWAKE ） 并 开 始 ENCHO - SEN 。,"0-0 1-1 2-2 2-3 4-4 4-5 5-6 6-7 7-8 8-9 8-10 9-18 9-19 10-16 10-17 11-20 12-21 13-20 13-22 14-20 15-20
","0-5 1-6 2-7 2-8 4-9 4-10 5-11 6-12 7-13 8-14 9-15 9-16 10-15 11-14 12-18 13-17 13-19 14-17 15-17
",2,"[('平', 4), ('局', 5)]",5,"[('领', 9), ('带', 10)]",1,1,0,2
"Her spirits were greatly subdued now when the fact of entering upon strange and untried duties confronted her.
",Her spirits were greatly subdued now when the fact of entering upon strange and untried duties confronted her . ,"Him spirits were greatly subdued now when the fact of entering upon strange and untried duties confronted him.
",Him spirits were greatly subdued now when the fact of entering upon strange and untried duties confronted him . ,female,"[('her', 0), ('her', 17)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","现在事到临头，马上要去从事一件陌生的工作，她的情绪低落了。
",spirit-1,cwmt,"现在，当她面临奇怪和未经考验的职责时，她的精神被大大制服了。
","他的灵魂现在被大大制服了，因为进入奇怪和未经考验的职责的事实面对他。
",现 在 ， 当 她 面 临 奇 怪 和 未 经 考 验 的 职 责 时 ， 她 的 精 神 被 大 大 制 服 了 。,他 的 灵 魂 现 在 被 大 大 制 服 了 ， 因 为 进 入 奇 怪 和 未 经 考 验 的 职 责 的 事 实 面 对 他 。,"0-4 0-19 0-20 1-21 1-22 3-24 3-25 4-23 4-26 4-27 5-0 5-1 5-28 6-17 7-14 11-6 12-7 12-8 13-9 14-10 14-11 14-12 14-13 14-16 15-15 16-5 16-6 17-29
","0-0 1-2 1-3 2-6 3-7 3-8 4-9 4-10 5-4 5-5 5-11 6-13 8-28 8-29 9-24 9-27 10-15 10-16 12-17 12-18 13-19 14-20 14-21 14-22 14-23 14-26 15-25 16-30 16-31 17-33
",3,"[('精', 21), ('神', 22)]",2,"[('灵', 2), ('魂', 3)]",1,1,0,3
"She blushed and took a little bow and the next thirty minutes in line was pure misery for me as various parents leaving the Layaway Department, shake their heads at me and say with a smile, Your mom got you good.
","She blushed and took a little bow and the next thirty minutes in line was pure misery for me as various parents leaving the Layaway Department , shake their heads at me and say with a smile , Your mom got you good . ","He blushed and took a little bow and the next thirty minutes in line was pure misery for me as various parents leaving the Layaway Department, shake their heads at me and say with a smile, Your dad got you good.
","He blushed and took a little bow and the next thirty minutes in line was pure misery for me as various parents leaving the Layaway Department , shake their heads at me and say with a smile , Your dad got you good . ",female,"[('she', 0), ('mom', 39)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37,38-38,39-39,40-40,41-41,42-42,43-43,44-44","人们在离开商店前都会冲我摇头，并笑嘻嘻地对我说： “你妈妈是为你好，我敢打赌你以后再也不敢这样做了！”
",bow-6,cwmt,"她脸红了，拍了一下小弓，接下来的三十分钟对我来说是纯粹的痛苦，因为各种父母离开了Layaway部门，对我摇头，微笑着说，妈让你好。
","他脸红了，鞠了一下，接下来的三十分钟对我来说是纯粹的痛苦，因为各种父母离开了Layaway部门，对我摇头，微笑着说，你爸爸让你好起来了。
",她 脸 红 了 ， 拍 了 一 下 小 弓 ， 接 下 来 的 三 十 分 钟 对 我 来 说 是 纯 粹 的 痛 苦 ， 因 为 各 种 父 母 离 开 了 Layaway 部 门 ， 对 我 摇 头 ， 微 笑 着 说 ， 妈 让 你 好 。,他 脸 红 了 ， 鞠 了 一 下 ， 接 下 来 的 三 十 分 钟 对 我 来 说 是 纯 粹 的 痛 苦 ， 因 为 各 种 父 母 离 开 了 Layaway 部 门 ， 对 我 摇 头 ， 微 笑 着 说 ， 你 爸 爸 让 你 好 起 来 了 。,"0-0 1-1 1-2 3-5 3-6 4-7 5-9 6-10 7-10 9-12 9-13 10-16 10-17 11-18 11-19 12-19 13-18 14-24 15-25 15-26 16-28 16-29 17-32 18-21 19-31 19-32 20-33 20-34 21-35 21-36 22-37 22-38 23-41 24-40 24-42 24-44 25-40 25-43 26-46 28-47 30-45 31-46 32-52 33-51 35-49 37-54 39-56 40-57 40-58
","0-0 1-1 1-2 2-5 3-6 4-7 5-7 6-5 7-9 8-13 9-10 9-11 10-14 10-15 11-16 11-17 12-17 13-16 14-22 15-23 15-24 16-26 16-27 17-30 18-19 19-29 19-30 20-31 20-32 21-33 21-34 22-35 22-36 23-39 24-38 24-40 24-42 25-38 25-41 26-44 28-45 30-43 31-44 32-50 33-49 35-47 36-54 37-53 37-54 38-60 39-56 40-57 40-61
",0,"[('弓', 10)]",4,"[('鞠', 5)]",1,0,1,4
"Her subjects are shown a series of words and pictures and instructed to respond immediately by pushing a button to indicate their most automatic, reflex-like reactions.
","Her subjects are shown a series of words and pictures and instructed to respond immediately by pushing a button to indicate their most automatic , reflex - like reactions . ","Him subjects are shown a series of words and pictures and instructed to respond immediately by pushing a button to indicate their most automatic, reflex-like reactions.
","Him subjects are shown a series of words and pictures and instructed to respond immediately by pushing a button to indicate their most automatic , reflex - like reactions . ",female,"[('her', 0)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30","同时，他强调教育在塑造国民崇高精神品性中的巨大作用，并深入讨论了教育方法问题。
",subject-1,cwmt,"她的拍摄对象被展示一系列文字和图片，并被指示通过按下按钮立即做出反应，以表明他们最自动的，反射般的反应。
","向他展示受试者一系列文字和图片，并指示他们通过按下按钮立即做出反应，以表明他们最自动的，反射般的反应。
",她 的 拍 摄 对 象 被 展 示 一 系 列 文 字 和 图 片 ， 并 被 指 示 通 过 按 下 按 钮 立 即 做 出 反 应 ， 以 表 明 他 们 最 自 动 的 ， 反 射 般 的 反 应 。,向 他 展 示 受 试 者 一 系 列 文 字 和 图 片 ， 并 指 示 他 们 通 过 按 下 按 钮 立 即 做 出 反 应 ， 以 表 明 他 们 最 自 动 的 ， 反 射 般 的 反 应 。,"0-0 0-1 1-5 2-6 3-7 3-8 4-9 5-10 5-11 6-11 7-12 7-13 8-14 8-18 9-15 9-16 11-20 11-21 13-4 14-28 14-29 15-19 16-42 18-24 18-25 18-26 18-27 20-36 20-37 21-38 21-39 21-41 22-40 23-49 24-49 25-49 25-50 25-51
","0-1 1-4 1-5 1-6 2-6 3-0 4-7 5-8 5-9 6-9 7-10 7-11 8-12 8-16 9-13 9-14 10-16 11-17 11-18 13-32 14-27 14-28 15-21 16-41 18-23 18-24 18-25 18-26 20-35 20-36 21-38 21-40 22-39 23-48 24-48 25-48 25-49 25-50
",4,"[('象', 5)]",6,"[('受', 4), ('试', 5), ('者', 6)]",1,1,1,4
"He will announce a tie (HIKIWAKE) and start the ENCHO - SEN if applicable.
",He will announce a tie ( HIKIWAKE ) and start the ENCHO - SEN if applicable . ,"She will announce a tie (HIKIWAKE) and start the ENCHO - SEN if applicable.
",She will announce a tie ( HIKIWAKE ) and start the ENCHO - SEN if applicable . ,male,"[('he', 0)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","主审将宣布HIKIWAKE (平手 )，然后开始如果必要的 ENCHO -SEN(延长赛)。
",tie-4,um,"他将宣布平局（HIKIWAKE）并开始ENCHO - SEN（如果适用）。
","如果适用，她将宣布领带（HIKIWAKE）并开始ENCHO - SEN。
",他 将 宣 布 平 局 （ HIKIWAKE ） 并 开 始 ENCHO - SEN （ 如 果 适 用 ） 。,如 果 适 用 ， 她 将 宣 布 领 带 （ HIKIWAKE ） 并 开 始 ENCHO - SEN 。,"0-0 1-1 2-2 2-3 4-4 4-5 4-7 5-6 5-7 6-9 7-10 7-11 8-10 9-8 9-9 10-13 11-12 11-14 12-16 12-17 13-18 13-19
","0-5 1-6 2-7 2-8 4-9 4-10 4-12 5-11 5-12 6-4 7-15 9-17 10-18 11-17 11-19 12-17 13-17
",2,"[('平', 4), ('局', 5), ('HIKIWAKE', 7)]",5,"[('领', 9), ('带', 10), ('HIKIWAKE', 12)]",1,1,0,2
