ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"Sailors have other ways of looking after their spirits.
",Sailors have other ways of looking after their spirits . ,"Sailors do not have other ways of looking after their spirits.
",Sailors do not have other ways of looking after their spirits . ,positive,['have'],MUTATED,"0-0,1-3,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12","水手们寻找其他方面的精神最求
",spirit-8,os18,"水手们有其他方法来照顾他们的灵魂。
","水手们没有其他方法来照顾他们的精神。
",水 手 们 有 其 他 方 法 来 照 顾 他 们 的 灵 魂 。,水 手 们 没 有 其 他 方 法 来 照 顾 他 们 的 精 神 。,"0-0 0-1 1-3 2-4 2-5 3-6 3-7 4-10 5-8 5-10 6-9 6-10 7-11 7-12 8-14 8-15 8-16
","0-0 0-1 1-2 2-3 3-4 4-5 4-6 5-7 5-8 6-11 7-11 8-10 8-11 9-12 9-13 10-15 10-16 10-17
",2,"[('灵', 14), ('魂', 15), ('。', 16)]",3,"[('精', 15), ('神', 16), ('。', 17)]",1,0,1,3
"For those lonely spirits seeking a partner during the Christmas holidays, coupledom is just a snapshot away.
","For those lonely spirits seeking a partner during the Christmas holidays , coupledom is just a snapshot away . ","For those lonely spirits seeking a partner during the Christmas holidays, coupledom is not just a snapshot away.
","For those lonely spirits seeking a partner during the Christmas holidays , coupledom is not just a snapshot away . ",positive,['is'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-15,15-16,16-17,17-18,18-19,19-20","对那些在圣诞假日苦苦寻觅另一半的孤单心灵来说，“二人世界”只在一拍之间。
",spirit-3,cwmt,"对于那些在圣诞节假期期间寻找伴侣的孤独精神来说，夫妻关系只是一个快照。
","对于那些在圣诞节假期期间寻找伴侣的孤独灵魂来说，夫妻不仅仅是一个快照。
",对 于 那 些 在 圣 诞 节 假 期 期 间 寻 找 伴 侣 的 孤 独 精 神 来 说 ， 夫 妻 关 系 只 是 一 个 快 照 。,对 于 那 些 在 圣 诞 节 假 期 期 间 寻 找 伴 侣 的 孤 独 灵 魂 来 说 ， 夫 妻 不 仅 仅 是 一 个 快 照 。,"0-0 0-1 1-2 1-3 2-17 2-18 3-19 3-20 4-12 4-13 5-11 6-14 6-15 7-4 8-16 9-5 9-6 9-7 10-8 10-9 10-10 10-23 11-24 11-25 12-29 13-28 14-30 14-31 15-32 15-33 16-34
","0-0 0-1 1-2 1-3 2-17 2-18 3-19 3-20 4-12 4-13 5-11 6-14 6-15 7-4 8-16 9-5 9-6 9-7 10-8 10-9 10-10 10-23 11-24 11-25 12-29 13-26 14-27 14-28 15-30 15-31 16-32 16-33 17-34
",3,"[('精', 19), ('神', 20)]",2,"[('灵', 19), ('魂', 20)]",1,0,1,2
"The conqueror govern his new subject with an iron scepter.
",The conqueror govern his new subject with an iron scepter . ,"The conqueror does not govern his new subject with an iron scepter.
",The conqueror does not govern his new subject with an iron scepter . ,positive,['govern'],MUTATED,"0-0,1-1,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13","征服者以铁腕统治其新臣民。
",subject-5,um,"征服者用铁权杖统治他的新主题。
","征服者不会用铁权杖来管理他的新臣民。
",征 服 者 用 铁 权 杖 统 治 他 的 新 主 题 。,征 服 者 不 会 用 铁 权 杖 来 管 理 他 的 新 臣 民 。,"0-2 1-0 1-1 1-2 2-7 2-8 3-9 3-10 4-11 5-12 5-13 6-3 8-4 9-5 9-6
","0-2 1-0 1-1 1-2 2-3 2-4 3-3 4-10 4-11 5-12 5-13 6-14 7-15 8-5 10-6 11-7 11-8
",0,"[('主', 12), ('题', 13)]",3,"[('臣', 15)]",1,0,1,3
"Now dorsa rush in fm abroad n stock rapidly decrease outgo early order.
",Now dorsa rush in fm abroad n stock rapidly decrease outgo early order . ,"Now dorsa rush in fm abroad n stock rapidly does not decrease outgo early order.
",Now dorsa rush in fm abroad n stock rapidly does not decrease outgo early order . ,positive,['decrease'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-11,10-12,11-13,12-14,13-15,14-16","目前国外订单源源不断，库存锐减，请尽早订货。
",stock-7,cwmt,"现在背沙急于FM国外n库存迅速减少，早早出订单。
","现在背心急于FM国外n股票迅速减少出货早订。
",现 在 背 沙 急 于 FM 国 外 n 库 存 迅 速 减 少 ， 早 早 出 订 单 。,现 在 背 心 急 于 FM 国 外 n 股 票 迅 速 减 少 出 货 早 订 。,"0-0 0-1 1-2 1-3 1-5 1-6 2-4 3-5 4-6 5-7 5-8 6-9 7-10 7-11 8-12 8-13 9-14 9-15 10-19 10-20 11-17 11-18 12-21
","0-0 0-1 1-2 1-5 1-6 2-4 4-6 5-7 5-8 6-9 7-10 7-11 8-12 8-13 9-15 10-14 11-14 11-15 12-16 12-17 12-19 13-18 14-19 14-20
",7,"[('库', 10), ('存', 11)]",2,"[('股', 10), ('票', 11)]",1,1,0,7
"The Zhejiang marine board on 28 th started the third - level against Taiwan warning in the morning.
",The Zhejiang marine board on 28 th started the third - level against Taiwan warning in the morning . ,"The Zhejiang marine board on 28 th did not start the third - level against Taiwan warning in the morning.
",The Zhejiang marine board on 28 th did not start the third - level against Taiwan warning in the morning . ,positive,['started'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21","浙江海事局28日上午启动了三级防台警报.
",board-3,cwmt,"浙江船务局28日凌晨开始对台三级预警。
","浙江海事局28日凌晨没有开始对台警告的第三级。
",浙 江 船 务 局 28 日 凌 晨 开 始 对 台 三 级 预 警 。,浙 江 海 事 局 28 日 凌 晨 没 有 开 始 对 台 警 告 的 第 三 级 。,"0-0 1-0 1-1 2-2 3-2 4-6 5-5 6-6 7-9 7-10 8-8 9-13 11-14 12-11 13-12 14-15 14-16 15-15 16-16 17-17
","0-2 1-0 1-1 2-2 3-3 3-4 4-6 5-5 6-6 7-9 7-10 8-9 9-11 9-12 10-11 11-18 11-19 13-20 14-13 15-14 16-15 16-16 19-21
",11,"[('船', 2)]",8,"[('事', 3), ('局', 4)]",1,1,1,8
"Remote control with the subject of radio frequency interference, will be automatically blocked.
","Remote control with the subject of radio frequency interference , will be automatically blocked . ","Remote control with the subject of radio frequency interference, will not be automatically blocked.
","Remote control with the subject of radio frequency interference , will not be automatically blocked . ",positive,['blocked'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-12,12-13,13-14,14-15,15-16","遥控器在遭受到同频率的无线电干扰时, 会自动封锁.
",subject-4,cwmt,"遥控器与被摄体的射频干扰，会自动被屏蔽。
","遥控器用射频干扰对象，不会自动挡住。
",遥 控 器 与 被 摄 体 的 射 频 干 扰 ， 会 自 动 被 屏 蔽 。,遥 控 器 用 射 频 干 扰 对 象 ， 不 会 自 动 挡 住 。,"0-0 0-2 1-1 2-3 3-6 4-5 4-6 5-7 6-9 7-8 7-9 7-11 8-10 8-12 9-13 10-16 11-14 11-15 12-17 12-18 12-19
","0-0 0-2 1-1 2-3 3-2 4-8 4-9 5-9 6-5 7-4 7-5 7-7 8-6 9-12 10-11 11-12 12-13 12-14 13-15 13-17
",6,"[('摄', 5), ('体', 6)]",4,"[('对', 8), ('象', 9)]",1,0,1,6
"This bank is their yard, so don't fuck with me.
","This bank is their yard , so do n't fuck with me . ","This bank is their yard, so fuck with me.
","This bank is their yard , so fuck with me . ",negative,['fuck'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,9-7,10-8,11-9,12-10,13-11","银行就是他们的院子，别搞鬼
",bank-1,os18,"这边是他们的院子，所以别跟我做爱。
","这家银行是他们的院子，所以他妈的跟我一起。
",这 边 是 他 们 的 院 子 ， 所 以 别 跟 我 做 爱 。,这 家 银 行 是 他 们 的 院 子 ， 所 以 他 妈 的 跟 我 一 起 。,"0-0 1-1 2-2 3-3 3-4 3-5 4-6 4-7 4-8 5-9 5-10 6-11 7-14 7-15 8-12 9-13 9-16
","0-0 1-1 1-2 1-3 2-4 3-5 3-6 3-7 4-8 4-9 4-10 5-11 5-12 6-14 7-16 7-18 7-19 8-17 8-20
",6,"[('边', 1)]",5,"[('家', 1), ('银', 2), ('行', 3)]",1,0,1,5
"A poor man who takes a rich wife has a ruler, not a wife.
","A poor man who takes a rich wife has a ruler , not a wife . ","A poor man who takes a rich wife does not have a ruler, not a wife.
","A poor man who takes a rich wife does not have a ruler , not a wife . ",positive,['has'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18","穷汉娶富妻，必受老婆欺。
",ruler-10,um,"一个娶了一个富有妻子的穷人有一个统治者，而不是一个妻子。
","一个娶了一个富有的妻子的穷人没有尺子，没有妻子。
",一 个 娶 了 一 个 富 有 妻 子 的 穷 人 有 一 个 统 治 者 ， 而 不 是 一 个 妻 子 。,一 个 娶 了 一 个 富 有 的 妻 子 的 穷 人 没 有 尺 子 ， 没 有 妻 子 。,"0-0 0-1 1-11 2-12 3-12 4-9 5-15 6-6 7-2 8-13 9-15 10-16 10-17 10-18 10-19 11-20 11-21 12-24 13-25 13-26 13-27
","0-0 0-1 1-12 2-13 3-5 4-5 5-5 6-6 7-2 8-14 9-14 10-15 11-17 12-16 12-18 13-19 14-20 15-21 15-22 15-23
",0,"[('统', 16), ('治', 17), ('者', 18), ('，', 19)]",1,"[('尺', 16), ('，', 18)]",1,1,0,0
"-- The above argument is applicable to the case of a statute of limitations with regard to a criminal action.
",-- The above argument is applicable to the case of a statute of limitations with regard to a criminal action . ,"-- The above argument is not applicable to the case of a statute of limitations with regard to a criminal action.
",-- The above argument is not applicable to the case of a statute of limitations with regard to a criminal action . ,positive,['is'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22","上述论点也适用于刑事诉讼的时效。
",case-8,UNv1,"--上述论点适用于与刑事诉讼有关的诉讼时效的情况。
","-- 上述论点不适用于与刑事诉讼有关的诉讼时效案件。
",-- 上 述 论 点 适 用 于 与 刑 事 诉 讼 有 关 的 诉 讼 时 效 的 情 况 。,-- 上 述 论 点 不 适 用 于 与 刑 事 诉 讼 有 关 的 诉 讼 时 效 案 件 。,"0-0 1-2 2-1 2-2 3-3 3-4 4-7 5-5 5-6 5-7 6-7 7-7 8-21 10-13 11-11 11-12 11-16 11-17 11-18 11-19 12-15 12-20 14-8 15-14 18-9 18-10 19-23
","0-0 1-2 2-1 2-2 3-3 3-4 5-5 6-6 6-7 6-8 7-8 8-8 9-21 11-14 12-12 12-13 13-16 14-18 15-9 16-15 17-22 19-10 19-11 20-23
",11,"[('情', 21)]",14,"[('案', 21)]",1,0,1,14
"Here in this pretty world Gallantry took its last bow .
",Here in this pretty world Gallantry took its last bow . ,"Here in this pretty world Gallantry do not took its last bow .
",Here in this pretty world Gallantry do not took its last bow . ,positive,['took'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-8,7-9,8-10,9-11,10-12,11-13","赚大钱的机会就在那儿摆着。
",bow-9,cwmt,"在这个美丽的世界里，勇士号鞠了最后一把弓。
","在这个美丽的世界里，勇士号没有鞠躬。
",在 这 个 美 丽 的 世 界 里 ， 勇 士 号 鞠 了 最 后 一 把 弓 。,在 这 个 美 丽 的 世 界 里 ， 勇 士 号 没 有 鞠 躬 。,"0-1 1-0 2-1 2-2 3-3 3-4 4-6 4-7 5-10 6-14 6-18 7-15 8-15 8-16 8-17 9-19 10-20
","0-1 1-0 2-1 2-2 3-3 3-4 4-6 4-7 5-10 6-9 7-13 7-14 9-5 10-14 11-15 11-16 12-17
",0,"[('弓', 19)]",4,"[('鞠', 15), ('躬', 16)]",1,0,1,4
"Although the letters may appear to be very different, the writing style is nearly identical in all three.
","Although the letters may appear to be very different , the writing style is nearly identical in all three . ","Although the letters may appear to be very different, the writing style is not nearly identical in all three.
","Although the letters may appear to be very different , the writing style is not nearly identical in all three . ",positive,['is'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21","虽然这些信看起来大相径庭 但三封信中的行文风格几乎是如出一辙
",letter-2,os18,"虽然这三封信看起来可能非常不同，但三封信的写作风格几乎相同。
","虽然这些字母看起来非常不同，但三者的写作风格并不完全相同。
",虽 然 这 三 封 信 看 起 来 可 能 非 常 不 同 ， 但 三 封 信 的 写 作 风 格 几 乎 相 同 。,虽 然 这 些 字 母 看 起 来 非 常 不 同 ， 但 三 者 的 写 作 风 格 并 不 完 全 相 同 。,"0-0 0-1 1-4 2-5 3-9 3-10 4-6 4-7 4-8 5-8 6-10 7-11 7-12 8-13 8-14 8-15 9-14 9-20 10-21 10-22 11-23 11-24 12-2 13-25 14-27 16-28 17-17
","0-0 0-1 2-3 2-4 2-5 4-6 4-7 4-8 5-8 6-9 7-10 8-12 8-13 9-16 9-17 10-18 10-19 11-20 11-21 12-22 13-22 13-23 14-24 15-24 15-25 15-26 15-27 16-26 17-25 18-15
",0,"[('信', 5)]",2,"[('些', 3), ('字', 4), ('母', 5)]",1,1,0,0
"The charge of the foreign central banks – let’s call it “QE0” – was led by the People’s Bank of China.
",The charge of the foreign central banks – let ’s call it “ QE0 ” – was led by the People ’s Bank of China . ,"The charge of the foreign central banks – does not let’s call it “QE0” – was led by the People’s Bank of China.
",The charge of the foreign central banks – does not let ’s call it “ QE0 ” – was led by the People ’s Bank of China . ,positive,['let'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28","外国央行赶超美联储 — — 让我们称之为“QE0 ” — —的“带头大哥”是中国人民银行。
",charge-1,nc-v15,"外国央行的收费——让我们称之为“QE0”——是由中国人民银行领导的。
","外国央行的指控——我们不要称之为“QE0”——是由中国人民银行领导的。
",外 国 央 行 的 收 费 — — 让 我 们 称 之 为 “ QE0 ” — — 是 由 中 国 人 民 银 行 领 导 的 。,外 国 央 行 的 指 控 — — 我 们 不 要 称 之 为 “ QE0 ” — — 是 由 中 国 人 民 银 行 领 导 的 。,"0-1 1-5 1-6 2-4 3-4 4-0 5-2 6-2 6-3 7-7 7-8 8-9 8-10 8-11 9-12 11-16 11-17 12-18 12-19 13-20 14-28 14-29 15-21 16-25 17-24 17-25 18-26 18-27 19-30 20-31
","0-1 1-5 1-6 2-4 3-5 4-0 5-2 6-2 6-3 7-7 7-8 8-15 9-11 10-9 10-10 10-12 11-13 13-17 13-18 14-19 14-20 15-21 16-29 16-30 17-22 18-26 19-25 19-26 20-27 20-28 21-31 22-32
",12,"[('收', 5), ('费', 6)]",6,"[('指', 5), ('控', 6)]",1,1,0,12
"This is advance arm drill where the opposite arm is not balancing in front.
",This is advance arm drill where the opposite arm is not balancing in front . ,"This is not advance arm drill where the opposite arm is not balancing in front.
",This is not advance arm drill where the opposite arm is not balancing in front . ,positive,['is'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16","这是升级了的单臂训练,反向的手臂没有放在前面用以平衡.
",drill-4,cwmt,"这是预先手臂演习，其中另一个手臂在前面不平衡。
","这不是前臂在前方不平衡的预先手臂钻头。
",这 是 预 先 手 臂 演 习 ， 其 中 另 一 个 手 臂 在 前 面 不 平 衡 。,这 不 是 前 臂 在 前 方 不 平 衡 的 预 先 手 臂 钻 头 。,"0-0 1-1 2-2 2-3 3-4 3-5 4-6 4-7 5-9 6-10 7-11 8-14 8-15 9-16 10-19 11-20 11-21 12-18 13-22
","0-0 1-2 2-1 3-3 4-4 5-16 5-17 6-7 7-11 9-14 9-15 10-12 11-8 12-9 12-10 13-17 14-18
",3,"[('演', 6), ('习', 7)]",1,"[('钻', 16), ('头', 17)]",1,1,0,3
