ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"Men of letters mostly have a kind of love knot.
",Men of letters mostly have a kind of love knot . ,"Men of letters mostly have kinds of love knot.
",Men of letters mostly have kinds of love knot . ,singular,['kind '],MUTATED,"0-0,1-1,2-2,3-3,4-4,6-5,7-6,8-7,9-8,10-9,11-10","摘要古代文人墨客,大都有一种“月亮情结”.
",letter-2,cwmt,"信的男人大多有一种爱情结。
","文人大多有各种爱情结。
",信 的 男 人 大 多 有 一 种 爱 情 结 。,文 人 大 多 有 各 种 爱 情 结 。,"0-2 0-3 1-1 2-0 3-4 3-5 4-6 5-7 6-8 7-8 8-9 9-10 9-11 9-12
","0-1 2-0 3-2 3-3 4-4 5-5 5-6 6-6 7-7 8-8 8-9 8-10
",0,"[('信', 0)]",2,"[('文', 0)]",1,0,1,2
"In nine cases out of ten, I see instead a lookofboredom and discontent and an almost frantic longing forsomethingthat might tickle the jaded palate
","In nine cases out of ten , I see instead a lookofboredom and discontent and an almost frantic longing forsomethingthat might tickle the jaded palate ","In nine cases out of ten, I see instead lookofboredoms and discontent and an almost frantic longing forsomethingthat might tickle the jaded palate
","In nine cases out of ten , I see instead lookofboredoms and discontent and an almost frantic longing forsomethingthat might tickle the jaded palate ",singular,['lookofboredom '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24","相反，我看到十之八九的人却是满脸厌烦和不满，或者是极度的物欲渴望
",case-2,cwmt,"在十分之九的案例中，我看到的是一种无聊的表情和不满，以及一种近乎疯狂的渴望，这些东西可能会挠痒痒的疲惫的味觉。
","在十分之九的情况下，我看到的反而是无聊和不满的表情，以及一种近乎疯狂的渴望，渴望某种东西可能会使疲惫的味蕾发痒。
",在 十 分 之 九 的 案 例 中 ， 我 看 到 的 是 一 种 无 聊 的 表 情 和 不 满 ， 以 及 一 种 近 乎 疯 狂 的 渴 望 ， 这 些 东 西 可 能 会 挠 痒 痒 的 疲 惫 的 味 觉 。,在 十 分 之 九 的 情 况 下 ， 我 看 到 的 反 而 是 无 聊 和 不 满 的 表 情 ， 以 及 一 种 近 乎 疯 狂 的 渴 望 ， 渴 望 某 种 东 西 可 能 会 使 疲 惫 的 味 蕾 发 痒 。,"0-0 1-4 2-6 2-7 4-8 5-9 6-10 7-11 7-12 8-14 9-28 10-29 11-22 12-23 12-24 13-27 14-29 15-30 15-31 16-32 16-33 17-35 17-36 18-40 18-41 19-42 19-43 19-44 20-45 20-46 20-47 21-48 22-49 22-50 22-54 23-52 23-53
","0-0 1-4 2-6 2-7 2-8 3-8 5-9 6-10 7-11 7-12 8-14 8-15 8-16 9-13 9-22 10-19 11-20 11-21 12-27 13-28 13-29 14-30 14-31 15-32 15-33 16-38 16-39 17-40 17-41 17-42 17-43 18-44 18-45 18-46 19-54 20-50 21-48 21-49 22-51 22-52
",14,"[('案', 6), ('例', 7)]",11,"[('情', 6), ('况', 7), ('下', 8)]",1,0,1,11
"Tomorrow doctors will say that a fan will lose his sight in one eye. The police will claim a firecracker was responsible.
",Tomorrow doctors will say that a fan will lose his sight in one eye . The police will claim a firecracker was responsible . ,"Tomorrow doctors will say that a fan will lose his sight in one eye. The police will claim firecrackers were responsible.
",Tomorrow doctors will say that a fan will lose his sight in one eye . The police will claim firecrackers were responsible . ,singular,['firecracker '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,20-19,21-20,22-21,23-22,24-23","明天医生会说一个球迷一个眼睛失明了，然后警察就会说这是一个炮竹引起的。
",fan-6,cwmt,"明天医生会说，球迷会失去一只眼睛的视力。警方将声称是鞭炮造成的。
","明天医生会说风扇的一只眼睛会失明。警方将声称鞭炮是罪魁祸首。
",明 天 医 生 会 说 ， 球 迷 会 失 去 一 只 眼 睛 的 视 力 。 警 方 将 声 称 是 鞭 炮 造 成 的 。,明 天 医 生 会 说 风 扇 的 一 只 眼 睛 会 失 明 。 警 方 将 声 称 鞭 炮 是 罪 魁 祸 首 。,"0-0 0-1 1-2 1-3 2-4 3-5 4-5 6-7 6-8 7-9 8-10 8-11 9-16 10-17 10-18 11-16 12-12 12-13 13-14 13-15 14-20 15-20 15-21 16-22 17-23 17-24 18-28 18-29 19-26 19-27 20-25 21-31
","0-0 0-1 1-2 1-3 2-4 3-5 6-6 6-7 7-13 8-14 9-8 12-9 12-10 13-11 13-12 14-17 15-17 15-18 16-19 17-20 17-21 18-22 18-23 19-24 20-29
",1,"[('球', 7), ('迷', 8)]",0,"[('风', 6), ('扇', 7)]",1,1,0,1
"The guidelines also prohibit job advertisements which make race a criterion for application.
",The guidelines also prohibit job advertisements which make race a criterion for application . ,"The guidelines also prohibit job advertisements which make race criteria for application.
",The guidelines also prohibit job advertisements which make race criteria for application . ,singular,['criterion '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,10-9,11-10,12-11,13-12,14-13","""该指导方针还禁止以种族作为申请标准的招聘广告。
",race-8,UNv1,"该指南还禁止将种族作为申请标准的招聘广告。
","该指南还禁止将竞选标准作为申请标准的招聘广告。
",该 指 南 还 禁 止 将 种 族 作 为 申 请 标 准 的 招 聘 广 告 。,该 指 南 还 禁 止 将 竞 选 标 准 作 为 申 请 标 准 的 招 聘 广 告 。,"0-1 1-1 1-2 2-3 3-4 3-5 4-9 5-17 5-18 5-19 6-0 7-9 8-7 8-8 9-15 10-13 10-14 11-10 12-11 12-12
","0-1 1-1 1-2 2-3 3-4 3-5 4-11 5-19 5-20 5-21 6-0 8-7 8-8 9-9 9-10 9-15 9-16 10-12 11-13 11-14
",0,"[('种', 7), ('族', 8)]",3,"[('竞', 7), ('选', 8)]",1,1,0,0
"Hoods don't stop, they take a break.
","Hoods do n't stop , they take a break . ","Hoods don't stop, they take breaks.
","Hoods do n't stop , they take breaks . ",singular,['break'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,8-7,9-8,10-9","兄弟从不罢手,只会先暂停
",hood-0,os18,"兜帽不会停止，他们会休息一下。
","引擎盖不会停止，他们会休息。
",兜 帽 不 会 停 止 ， 他 们 会 休 息 一 下 。,引 擎 盖 不 会 停 止 ， 他 们 会 休 息 。,"0-0 0-1 1-2 2-4 2-5 2-6 3-7 3-8 4-9 5-12 6-10 6-11 6-13 6-14
","0-1 0-2 1-3 2-5 2-6 2-7 3-8 3-9 4-10 5-11 5-12 5-13
",4,"[('兜', 0), ('帽', 1)]",1,"[('擎', 1), ('盖', 2)]",1,0,0,3
"He searched for and found a sheaf of papers in cabinet.
",He searched for and found a sheaf of papers in cabinet . ,"He searched for and found sheafs of papers in cabinet.
",He searched for and found sheafs of papers in cabinet . ,singular,['sheaf '],MUTATED,"0-0,1-1,2-2,3-3,4-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11","他在柜中寻找到一扎文件.
",cabinet-10,cwmt,"他搜索并在内阁中发现了一堆文件。
","他在柜子里寻找并找到了成捆的文件。
",他 搜 索 并 在 内 阁 中 发 现 了 一 堆 文 件 。,他 在 柜 子 里 寻 找 并 找 到 了 成 捆 的 文 件 。,"0-0 1-1 1-2 2-1 3-3 4-8 4-9 5-11 6-12 7-12 8-13 8-14 9-4 9-7 10-5 10-6
","0-0 1-5 2-5 3-7 4-6 4-8 4-9 5-12 6-11 6-13 7-14 7-15 8-1 8-3 8-4 9-2
",5,"[('内', 5), ('阁', 6)]",0,"[('柜', 2)]",1,0,1,0
"The exclusion clauses of the Convention relating to the Status of Refugees are irrelevant for cases in which there is a danger of exposing an individual to torture upon return.
",The exclusion clauses of the Convention relating to the Status of Refugees are irrelevant for cases in which there is a danger of exposing an individual to torture upon return . ,"The exclusion clauses of the Convention relating to the Status of Refugees are irrelevant for cases in which there is a danger of exposing individuals to torture upon return.
",The exclusion clauses of the Convention relating to the Status of Refugees are irrelevant for cases in which there is a danger of exposing individuals to torture upon return . ,singular,['individual '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30","对于个人被遣返后面临酷刑风险的情况，《1951年难民公约》的除外条款并不适用。
",case-15,UNv1,"《关于难民地位的公约》的排除条款与个人返回后有遭受酷刑危险的案件无关。
","《关于难民地位的公约》的排除条款与个人返回后有遭受酷刑的危险的情况无关。
",《 关 于 难 民 地 位 的 公 约 》 的 排 除 条 款 与 个 人 返 回 后 有 遭 受 酷 刑 危 险 的 案 件 无 关 。,《 关 于 难 民 地 位 的 公 约 》 的 排 除 条 款 与 个 人 返 回 后 有 遭 受 酷 刑 的 危 险 的 情 况 无 关 。,"1-12 1-13 2-14 2-15 5-0 5-8 5-9 5-10 6-1 9-5 9-6 11-3 11-4 12-18 13-32 15-30 15-31 16-16 18-22 21-27 21-28 22-29 23-28 25-17 27-24 27-25 27-26 28-21 28-23 29-19 29-20
","1-12 1-13 2-14 2-15 5-0 5-8 5-9 5-10 6-1 9-5 9-6 11-3 11-4 12-18 13-33 15-32 18-22 21-28 21-29 22-27 24-17 26-24 26-25 26-26 27-21 27-23 28-19 28-20
",14,"[('案', 30), ('件', 31)]",11,"[('况', 32)]",1,0,1,11
"The case in point concerns a letter signed by 1,200 non-Roma individuals, entitled ""Objection against the Gypsies: Residents gathered signatures for their removal"".
","The case in point concerns a letter signed by 1,200 non - Roma individuals , entitled "" Objection against the Gypsies : Residents gathered signatures for their removal "" . ","The case in point concerns letters signed by 1,200 non-Roma individuals, entitled ""Objection against the Gypsies: Residents gathered signatures for their removal"".
","The case in point concerns letters signed by 1,200 non - Roma individuals , entitled "" Objection against the Gypsies : Residents gathered signatures for their removal "" . ",singular,['letter '],MUTATED,"0-0,1-1,2-2,3-3,4-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29","有关问题涉及：有1200名非罗姆人签名的信""共同反对吉普赛人：收集居民签名要求他们迁离""。
",case-1,UNv1,"本案涉及1 200名非罗姆人签署的一封信，题为“反对吉卜赛人：居民为驱逐他们收集签名”。
","这方面的例子涉及1，200名非罗姆人签署的题为“反对吉普赛人：居民收集签名要求驱逐吉普赛人的信件”。
",本 案 涉 及 1 200 名 非 罗 姆 人 签 署 的 一 封 信 ， 题 为 “ 反 对 吉 卜 赛 人 ： 居 民 为 驱 逐 他 们 收 集 签 名 ” 。,这 方 面 的 例 子 涉 及 1 ， 200 名 非 罗 姆 人 签 署 的 题 为 “ 反 对 吉 普 赛 人 ： 居 民 收 集 签 名 要 求 驱 逐 吉 普 赛 人 的 信 件 ” 。,"0-0 1-1 2-2 3-18 4-2 4-3 5-14 6-15 6-16 7-11 7-12 8-12 9-4 9-5 10-20 11-20 12-20 13-23 13-24 13-25 14-21 14-22 16-31 16-32 17-28 17-29 18-35 18-36 19-37 19-38 20-30 21-33 21-34 22-39 22-40
","0-0 1-4 1-5 2-6 4-6 4-7 5-44 6-16 6-17 7-17 8-10 9-21 10-21 11-21 12-24 12-26 13-22 13-23 14-1 15-37 15-38 16-29 16-30 17-31 17-32 18-33 18-34 19-36 20-43 21-46 21-47
",14,"[('案', 1)]",11,"[('例', 4), ('子', 5)]",1,1,0,14
"Young people came out in drills to lend a hand.
",Young people came out in drills to lend a hand . ,"Young people came out in drills to lend hands.
",Young people came out in drills to lend hands . ,singular,['hand'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,9-8,10-9,11-10","年轻人纷纷伸出援手.
",drill-5,cwmt,"年轻人出来钻头伸出援手。
","年轻人在演习中出来伸出援手。
",年 轻 人 出 来 钻 头 伸 出 援 手 。,年 轻 人 在 演 习 中 出 来 伸 出 援 手 。,"0-0 0-1 1-2 2-4 3-3 4-5 5-5 6-8 7-7 7-9 8-10 9-10 9-11
","0-0 0-1 1-2 2-8 3-7 4-3 4-6 5-4 5-5 6-10 7-9 7-11 8-12 8-13
",1,"[('钻', 5)]",3,"[('演', 4), ('习', 5)]",1,1,0,1
"I can think of many cases where students obviously knew a lot of English words and expressions but couldn't write a good essay.
",I can think of many cases where students obviously knew a lot of English words and expressions but could n't write a good essay . ,"I can think of many cases where students obviously knew lots of English words and expressions but couldn't write a good essay.
",I can think of many cases where students obviously knew lots of English words and expressions but could n't write a good essay . ,singular,['lot '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24","天蝎座:本周很受欢迎,赶紧去和其他单身者聚会吧.
",case-5,cwmt,"我能想到很多学生明明知道很多英语单词和表达方式，但写不出一篇好文章的情况。
","我能想到很多案例，学生明明知道很多英语单词和表达方式，却写不出一篇好文章。
",我 能 想 到 很 多 学 生 明 明 知 道 很 多 英 语 单 词 和 表 达 方 式 ， 但 写 不 出 一 篇 好 文 章 的 情 况 。,我 能 想 到 很 多 案 例 ， 学 生 明 明 知 道 很 多 英 语 单 词 和 表 达 方 式 ， 却 写 不 出 一 篇 好 文 章 。,"0-0 1-1 2-2 3-5 4-5 5-35 6-21 7-6 7-7 8-8 8-9 9-10 9-11 11-4 12-33 13-14 13-15 14-16 14-17 15-18 16-19 16-20 17-24 18-26 19-25 19-29 20-28 21-30 22-31 22-32
","0-0 1-1 2-2 3-5 4-5 5-6 5-7 6-24 7-9 7-10 8-11 8-12 9-13 9-14 10-15 10-16 11-16 12-17 12-18 13-19 13-20 14-21 15-22 15-23 16-27 17-29 18-28 18-32 19-31 20-33 21-34 21-35 21-36
",11,"[('况', 35)]",14,"[('案', 6), ('例', 7)]",1,1,0,11
