ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"That ice file your boyfriend gave you had a credit card.
",That ice file your boyfriend gave you had a credit card . ,"That ice file your boyfriend gave you have a credit card.
",That ice file your boyfriend gave you have a credit card . ,SimplePast,['had '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12","冰文件你的男朋友给了你有一张信用卡。
",file-2,os18,"你男朋友给你的那个冰锉有一张信用卡。
","你男朋友给你的那个冰文件有一张信用卡。
",你 男 朋 友 给 你 的 那 个 冰 锉 有 一 张 信 用 卡 。,你 男 朋 友 给 你 的 那 个 冰 文 件 有 一 张 信 用 卡 。,"0-7 1-9 2-10 3-6 4-1 4-2 4-3 5-4 6-5 7-11 8-12 9-14 9-15 10-13 10-16 10-17
","0-7 1-9 2-10 2-11 3-6 4-1 4-2 4-3 5-4 6-5 7-12 8-13 9-15 9-16 10-14 10-17 10-18
",3,"[('锉', 10)]",0,"[('文', 10), ('件', 11)]",1,0,1,0
"The contents of the color - coded cases are listed in Table 1.
",The contents of the color - coded cases are listed in Table 1 . ,"The contents of the color - coded cases were listed in Table 1.
",The contents of the color - coded cases were listed in Table 1 . ,SimplePresent,['listed '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14","不同颜色标记的箱子中的内容物列于表1。
",case-7,um,"颜色编码案例的内容列于表1中。
","颜色编码箱的内容列于表1中。
",颜 色 编 码 案 例 的 内 容 列 于 表 1 中 。,颜 色 编 码 箱 的 内 容 列 于 表 1 中 。,"1-7 1-8 2-6 4-0 4-1 6-2 6-3 7-4 7-5 8-10 9-9 10-13 11-11 12-12
","1-6 1-7 2-5 3-4 4-0 4-1 6-2 6-3 7-4 8-9 9-8 10-12 11-10 12-11
",14,"[('案', 4), ('例', 5)]",12,"[('箱', 4)]",1,0,1,12
"Kate gauged the board to be exactly a half meter in width.
",Kate gauged the board to be exactly a half meter in width . ,"Kate gauge the board to be exactly a half meter in width.
",Kate gauge the board to be exactly a half meter in width . ,SimplePast,['gauged '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13","凯特将板子的宽度定为正好半米。
",board-3,um,"凯特测量了木板的宽度正好是半米。
","凯特将棋盘的宽度精确地测量为半米。
",凯 特 测 量 了 木 板 的 宽 度 正 好 是 半 米 。,凯 特 将 棋 盘 的 宽 度 精 确 地 测 量 为 半 米 。,"0-0 0-1 1-2 1-3 2-3 2-7 3-5 3-6 6-10 7-9 8-13 9-14 10-13 11-8
","0-0 0-1 1-11 2-4 2-5 3-3 5-2 6-8 6-9 6-10 7-10 8-14 9-15 10-14 11-6 11-7
",11,"[('木', 5), ('板', 6)]",10,"[('棋', 3)]",1,1,0,11
"Stocks continued to fall over subsequent weeks, finally bottoming out on November 13, 1929.
","Stocks continued to fall over subsequent weeks , finally bottoming out on November 13 , 1929 . ","Stocks continue to fall over subsequent weeks, finally bottoming out on November 13, 1929.
","Stocks continue to fall over subsequent weeks , finally bottoming out on November 13 , 1929 . ",SimplePast,['continued '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","股票在接下来的几个星期里继续下跌，并且在1929年11月12日跌倒了底盘。
",stock-0,cwmt,"在随后的几周里，股市继续下跌，最终在 1929 年 11 月 13 日触底。
","在随后的几周里，库存继续下跌，最终在 1929 年 11 月 13 日触底。
",在 随 后 的 几 周 里 ， 股 市 继 续 下 跌 ， 最 终 在 1929 年 11 月 13 日 触 底 。,在 随 后 的 几 周 里 ， 库 存 继 续 下 跌 ， 最 终 在 1929 年 11 月 13 日 触 底 。,"0-8 0-9 1-10 1-11 3-12 3-13 4-6 5-1 5-2 6-14 7-15 7-16 8-17 8-24 8-25 9-17 10-21 11-19 11-20 11-23 12-22 13-18
","0-8 0-9 1-10 1-11 3-12 3-13 4-6 5-1 5-2 6-14 7-15 7-16 8-17 8-24 8-25 9-17 10-21 11-19 11-20 11-23 12-22 13-18
",2,"[('股', 8), ('市', 9)]",7,"[('库', 8), ('存', 9)]",1,1,0,2
"In another case, AAO ruled that a competitive award by itself is not enough.
","In another case , AAO ruled that a competitive award by itself is not enough . ","In another case, AAO rule that a competitive award by itself is not enough.
","In another case , AAO rule that a competitive award by itself is not enough . ",SimplePast,['ruled '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16","在另一案例中，AAO裁定，只设置了一个竞争的奖项是不够的。
",case-2,um,"在另一起案件中，AAO裁定，仅靠竞争性奖项是不够的。
","在另一种情况下，AAO裁定竞争性奖项本身是不够的。
",在 另 一 起 案 件 中 ， AAO 裁 定 ， 仅 靠 竞 争 性 奖 项 是 不 够 的 。,在 另 一 种 情 况 下 ， AAO 裁 定 竞 争 性 奖 项 本 身 是 不 够 的 。,"0-0 1-1 1-2 2-3 2-4 2-5 2-7 3-8 4-9 4-10 5-10 7-14 7-15 7-16 8-17 8-18 9-16 10-15 11-19 12-20 13-21
","0-0 1-1 1-2 2-3 2-4 2-5 2-6 2-7 3-8 4-9 4-10 5-10 7-11 7-12 7-13 8-14 8-15 9-15 10-16 10-17 11-18 12-19 13-20
",14,"[('起', 3), ('案', 4), ('件', 5), ('，', 7)]",11,"[('种', 3), ('情', 4), ('况', 5), ('下', 6), ('，', 7)]",1,1,0,14
"Graded banks are not constructed nor is strip cropping practiced.
",Graded banks are not constructed nor is strip cropping practiced . ,"Graded banks were not constructed nor is strip cropping practiced.
",Graded banks were not constructed nor is strip cropping practiced . ,SimplePresent,['constructed '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","河岸梯田没有构筑,条畦种植也没有进行.
",bank-1,cwmt,"没有建造分级的堤岸，也没有进行条带种植。
","没有建造分级银行，也没有实行条状种植。
",没 有 建 造 分 级 的 堤 岸 ， 也 没 有 进 行 条 带 种 植 。,没 有 建 造 分 级 银 行 ， 也 没 有 实 行 条 状 种 植 。,"0-0 1-7 1-8 2-5 3-11 4-2 4-3 5-10 6-12 7-15 7-16 8-17 9-18 9-19
","0-4 0-5 1-6 1-7 3-10 4-2 4-3 5-9 6-12 7-14 7-15 8-16 9-17 9-18
",6,"[('堤', 7), ('岸', 8)]",5,"[('银', 6), ('行', 7)]",1,1,0,6
"You can just take off the whole nail bed, and you know, it wouldn't be necessary.""
","You can just take off the whole nail bed , and you know , it would n't be necessary . "" ","You could just take off the whole nail bed, and you know, it wouldn't be necessary.""
","You could just take off the whole nail bed , and you know , it would n't be necessary . "" ",SimplePresent,['take '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21","刚拔出钉子 无需切断了他的腿。
",nail-7,os18,"你可以把整个钉床都拆掉，你知道，这是没有必要的。
","你可以把整个甲床都拆掉，你知道，这是没有必要的。
",你 可 以 把 整 个 钉 床 都 拆 掉 ， 你 知 道 ， 这 是 没 有 必 要 的 。,你 可 以 把 整 个 甲 床 都 拆 掉 ， 你 知 道 ， 这 是 没 有 必 要 的 。,"0-0 1-1 1-2 2-3 3-3 4-9 4-10 5-22 6-4 6-5 7-6 8-7 10-12 11-11 11-13 11-14 11-15 12-16 12-17 13-18 14-20 15-20
","0-0 1-1 1-2 2-3 3-3 4-9 4-10 5-22 6-4 6-5 7-6 8-7 10-12 11-11 11-13 11-14 11-15 12-16 12-17 13-18 14-20 15-20
",2,"[('钉', 6)]",1,"[('甲', 6)]",1,1,0,2
"where all individuals -- 100 percent -- have one letter,
","where all individuals -- 100 percent -- have one letter , ","where all individuals -- 100 percent -- had one letter,
","where all individuals -- 100 percent -- had one letter , ",SimplePresent,['have '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","某个特定位置上都有同样一个字母
",letter-9,um,"所有个人 - 100% - 都有一个字母，
","所有的人 - 100% - 都有一封信，
",所 有 个 人 - 100 % - 都 有 一 个 字 母 ，,所 有 的 人 - 100 % - 都 有 一 封 信 ，,"0-0 1-0 2-2 2-3 3-4 4-5 5-6 6-7 7-9 8-10 9-12 9-13 9-14
","0-0 1-0 2-3 3-4 4-5 5-6 6-7 7-9 8-10 9-11 9-12 9-13
",2,"[('字', 12), ('母', 13), ('，', 14)]",0,"[('封', 11), ('信', 12), ('，', 13)]",1,1,0,2
"In the fourth case, an individual was referred to the Office by another Ethics Office within the United Nations system.
","In the fourth case , an individual was referred to the Office by another Ethics Office within the United Nations system . ","In the fourth case, an individual is referred to the Office by another Ethics Office within the United Nations system.
","In the fourth case , an individual is referred to the Office by another Ethics Office within the United Nations system . ",SimplePast,['referred '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","在第四起案件中，当事人是由联合国系统的另一个道德操守办公室移交本办公室处理。
",case-3,UNv1,"在第四起案件中，联合国系统内的另一个道德操守办公室将一个人转介给道德操守办公室。
","在第四种情况下，个人由联合国系统内的另一个道德操守办公室转介给该办公室。
",在 第 四 起 案 件 中 ， 联 合 国 系 统 内 的 另 一 个 道 德 操 守 办 公 室 将 一 个 人 转 介 给 道 德 操 守 办 公 室 。,在 第 四 种 情 况 下 ， 个 人 由 联 合 国 系 统 内 的 另 一 个 道 德 操 守 办 公 室 转 介 给 该 办 公 室 。,"0-0 1-1 2-2 3-3 3-4 3-5 5-17 7-25 9-21 10-22 10-23 10-24 11-21 12-15 12-16 13-18 13-19 13-20 13-21 14-36 15-13 16-35 17-8 17-10 18-8 18-9 19-39
","0-0 1-1 2-2 3-3 3-4 3-5 3-6 3-7 4-8 5-8 5-9 6-10 7-28 7-29 7-30 11-10 12-18 12-19 13-21 13-22 13-23 13-24 14-25 14-26 14-27 15-16 17-11 17-13 18-11 18-12 19-14 19-15
",14,"[('起', 3), ('案', 4), ('件', 5)]",11,"[('种', 3), ('情', 4), ('况', 5), ('下', 6), ('，', 7)]",1,1,0,14
"Unlike your friend with the hood, we know where to find her.
","Unlike your friend with the hood , we know where to find her . ","Unlike your friend with the hood, we knew where to find her.
","Unlike your friend with the hood , we knew where to find her . ",SimplePresent,['know '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14","不像兜帽的朋友 我们知道到哪儿找她
",hood-5,os18,"与你戴着兜帽的朋友不同，我们知道在哪里可以找到她。
","与你戴引擎盖的朋友不同，我们知道在哪里可以找到她。
",与 你 戴 着 兜 帽 的 朋 友 不 同 ， 我 们 知 道 在 哪 里 可 以 找 到 她 。,与 你 戴 引 擎 盖 的 朋 友 不 同 ， 我 们 知 道 在 哪 里 可 以 找 到 她 。,"0-0 1-1 1-6 2-7 2-8 3-3 4-10 5-4 5-5 5-11 6-12 6-13 7-14 7-15 8-16 8-17 8-18 9-20 9-22 10-21 11-23 11-24
","0-0 1-1 1-6 2-7 2-8 4-10 5-2 5-3 5-4 5-5 5-11 6-12 6-13 7-14 7-15 8-16 8-17 8-18 9-20 9-22 10-21 11-23 11-24
",4,"[('兜', 4), ('帽', 5), ('，', 11)]",1,"[('戴', 2), ('引', 3), ('擎', 4), ('盖', 5), ('，', 11)]",1,1,0,4
