ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"The Panel finds that the claimant has not provided sufficient evidence of his stock and recommends no award of compensation for this loss.
",The Panel finds that the claimant has not provided sufficient evidence of his stock and recommends no award of compensation for this loss . ,"The Panel finds that the claimant has not provided sufficient evidence of her stock and recommends no award of compensation for this loss.
",The Panel finds that the claimant has not provided sufficient evidence of her stock and recommends no award of compensation for this loss . ,male,"[('his', 12)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24","小组认定，索赔人未提供关于其存货的充分证据，建议不赔偿这项损失。
",stock-13,UNv1,小组认为，索赔人没有提供足够的证据证明他的股票，因此建议不赔偿这一损失。,小组认为，索赔人没有提供足够的证据证明她的存货，因此建议不赔偿这一损失。,小 组 认 为 ， 索 赔 人 没 有 提 供 足 够 的 证 据 证 明 他 的 股 票 ， 因 此 建 议 不 赔 偿 这 一 损 失 。,小 组 认 为 ， 索 赔 人 没 有 提 供 足 够 的 证 据 证 明 她 的 存 货 ， 因 此 建 议 不 赔 偿 这 一 损 失 。,"0-1 1-0 1-1 1-2 2-2 3-2 5-5 5-6 5-7 6-9 7-8 8-10 8-11 9-12 9-13 10-15 10-16 10-17 10-18 11-20 12-19 13-21 13-22 14-23 15-26 15-27 16-28 17-29 19-30 20-30 21-31 22-33 22-34 22-35
","0-1 1-0 1-1 1-2 2-2 3-2 5-5 5-6 5-7 6-9 7-8 8-10 8-11 9-12 9-13 10-15 10-16 10-17 10-18 11-14 11-20 12-19 13-21 13-22 14-23 15-26 15-27 16-28 17-29 19-30 20-30 21-31 22-33 22-34 22-35
",2,"[('股', 21), ('票', 22)]",7,"[('存', 21), ('货', 22)]",1,0,1,7
"I know you are a club girl You fool, why don't you go on TV
","I know you are a club girl You fool , why do n't you go on TV ","I know you are a club boy You fool, why don't you go on TV
","I know you are a club boy You fool , why do n't you go on TV ",female,"[('girl', 6)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","知你系舞女啦,好威咩 你系罪人呀,去電視賣廣告啦,笨人
",club-5,os18,我知道你是个夜店女郎你这个傻瓜，你为什么不上电视,我知道你是个俱乐部男孩 你这个傻瓜，你为什么不上电视,我 知 道 你 是 个 夜 店 女 郎 你 这 个 傻 瓜 ， 你 为 什 么 不 上 电 视,我 知 道 你 是 个 俱 乐 部 男 孩 你 这 个 傻 瓜 ， 你 为 什 么 不 上 电 视,"0-0 1-1 1-2 2-3 3-4 4-5 5-6 5-7 6-8 6-9 7-10 7-16 8-13 8-14 8-15 9-17 9-18 9-19 10-20 12-21 13-21 14-22 14-23
","0-0 1-1 1-2 2-3 3-4 4-5 5-6 5-7 5-8 6-9 6-10 7-11 7-17 8-14 8-15 8-16 9-18 9-19 9-20 10-21 12-22 13-22 14-23 14-24
",0,"[('夜', 6), ('店', 7)]",2,"[('俱', 6), ('乐', 7), ('部', 8)]",1,1,0,0
"wrap the clubs, let's Play Poker at his house.
","wrap the clubs , let 's Play Poker at his house . ","wrap the clubs, let's Play Poker at her house.
","wrap the clubs , let 's Play Poker at her house . ",male,"[('his', 9)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12","包裹俱乐部， 让我们玩的扑克在他家。
",club-2,os18,把俱乐部包起来，让我们在他家玩扑克。,把球杆包起来，让我们在她家玩扑克。,把 俱 乐 部 包 起 来 ， 让 我 们 在 他 家 玩 扑 克 。,把 球 杆 包 起 来 ， 让 我 们 在 她 家 玩 扑 克 。,"0-4 0-5 1-3 2-1 2-2 2-7 3-6 3-8 3-9 3-10 4-14 5-15 5-16 6-11 6-13 7-12 8-17
","0-3 0-4 1-2 2-1 2-2 2-6 3-5 3-7 3-8 3-9 4-13 5-14 5-15 6-10 6-12 7-11 8-16
",2,"[('俱', 1), ('乐', 2), ('，', 7)]",11,"[('球', 1), ('杆', 2), ('，', 6)]",1,1,0,0
"Sussman has only one criterion for her subjects - they must be older than 2000 years.
",Sussman has only one criterion for her subjects - they must be older than 2000 years . ,"Sussman has only one criterion for him subjects - they must be older than 2000 years.
",Sussman has only one criterion for him subjects - they must be older than 2000 years . ,female,"[('her', 6)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","萨斯曼选择拍摄对象的标准只有一个——年龄必须超过2000岁。
",subject-7,cwmt,苏斯曼对她的研究对象只有一个标准——他们必须超过 2000 年。,萨斯曼对他的科目只有一个标准——他们必须超过 2000 年。,苏 斯 曼 对 她 的 研 究 对 象 只 有 一 个 标 准 — — 他 们 必 须 超 过 2000 年 。,萨 斯 曼 对 他 的 科 目 只 有 一 个 标 准 — — 他 们 必 须 超 过 2000 年 。,"0-0 0-1 0-2 1-1 1-11 2-10 3-12 3-13 4-14 4-15 4-16 4-17 5-3 5-8 6-4 7-9 9-18 9-19 10-20 10-21 11-21 13-22 13-23 14-24 15-25 15-26
","0-0 0-1 0-2 1-1 1-9 2-8 3-10 3-11 4-12 4-13 4-14 4-15 5-3 6-4 7-6 7-7 9-17 10-18 10-19 11-19 13-20 13-21 14-22 15-23 15-24
",4,"[('象', 9)]",5,"[('科', 6), ('目', 7)]",1,1,0,4
"He felt sharp prick when he stepped on upturned nail.
",He felt sharp prick when he stepped on upturned nail . ,"She felt sharp prick when she stepped on upturned nail.
",She felt sharp prick when she stepped on upturned nail . ,male,"[('he', 0), ('he', 5)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","用手假装在身提前滚动一个球.
",nail-9,cwmt,当他踩到上翘的钉子时，他感到刺痛。,当她踩到上翘的指甲时，她感到刺痛。,当 他 踩 到 上 翘 的 钉 子 时 ， 他 感 到 刺 痛 。,当 她 踩 到 上 翘 的 指 甲 时 ， 她 感 到 刺 痛 。,"0-1 0-11 1-12 3-14 4-9 6-2 6-3 7-4 8-5 9-7 9-8
","0-1 0-11 1-12 3-14 4-9 5-10 6-2 6-3 7-4 8-5 9-7 9-8
",2,"[('钉', 7), ('子', 8)]",1,"[('指', 7), ('甲', 8)]",1,1,0,2
"Within the first four minutes of our first charge 20,000 men died.
","Within the first four minutes of our first charge 20,000 men died . ","Within the first four minutes of our first charge 20,000 women died.
","Within the first four minutes of our first charge 20,000 women died . ",male,"[('men', 10)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13","我们第1次冲锋的前4分钟 就死了2万人
",charge-8,os18,"在我们第一次冲锋的前四分钟内，有 20,000 人死亡。","在我们第一次收费的前四分钟内，有 20,000 名妇女死亡。","在 我 们 第 一 次 冲 锋 的 前 四 分 钟 内 ， 有 20,000 人 死 亡 。","在 我 们 第 一 次 收 费 的 前 四 分 钟 内 ， 有 20,000 名 妇 女 死 亡 。","0-0 1-3 2-3 2-4 2-5 3-10 4-11 4-12 5-8 6-8 7-9 8-6 8-7 9-16 10-17 11-18 11-19 11-20
","0-13 1-3 2-3 2-4 2-5 2-9 3-10 4-11 4-12 5-11 6-1 6-2 7-3 8-6 8-7 8-17 9-16 10-18 10-19 11-20 11-21 11-22
",10,"[('冲', 6), ('锋', 7)]",12,"[('收', 6), ('费', 7), ('名', 17)]",1,1,0,10
"All neat and ready with the fall guy, Let me handle him...
","All neat and ready with the fall guy , Let me handle him ... ","All neat and ready with the fall guy, Let me handle her...
","All neat and ready with the fall guy , Let me handle her ... ",male,"[('him', 12)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14","还有比这更方便的替罪羊吗，哈？
",fall-6,os18,一切都准备好了，倒下的家伙，让我来处理他......,一切都准备好了，和秋天的家伙，让我来处理她......,一 切 都 准 备 好 了 ， 倒 下 的 家 伙 ， 让 我 来 处 理 他 . . . . . .,一 切 都 准 备 好 了 ， 和 秋 天 的 家 伙 ， 让 我 来 处 理 她 . . . . . .,"0-5 1-5 3-3 3-4 4-10 5-10 6-8 6-9 7-7 7-11 7-12 7-13 8-14 8-16 9-15 10-17 10-18 11-19 11-20 11-21 11-22 11-23 11-24 11-25
","0-5 1-5 2-8 3-3 3-4 4-0 5-11 6-9 6-10 7-12 7-13 7-14 8-15 8-17 9-16 10-18 10-19 11-20 11-21 11-22 11-23 11-24 11-25 11-26
",2,"[('倒', 8), ('下', 9)]",5,"[('秋', 9), ('天', 10)]",1,1,0,2
"In this specific case, ""awareness"" was defined as ""the knowledge of the problem and of its implications by concerned social actors or communities"".
","In this specific case , "" awareness "" was defined as "" the knowledge of the problem and of its implications by concerned social actors or communities "" . ","In this specific case, ""awareness"" was defined as ""the knowledge of the problem and of its implications by concerned social actresses or communities"".
","In this specific case , "" awareness "" was defined as "" the knowledge of the problem and of its implications by concerned social actresses or communities "" . ",male,"[('actors', 24)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29","在本具体指标中，""认识""被定义为""相关社会主体或社区关于问题及其影响的知识""。
",case-3,UNv1,在这种特定情况下，“意识”被定义为“有关社会行为者或社区对问题及其影响的了解”。,在这个具体案例中，“意识”被定义为“有关的社会参与者或社区对问题及其影响的了解”。,在 这 种 特 定 情 况 下 ， “ 意 识 ” 被 定 义 为 “ 有 关 社 会 行 为 者 或 社 区 对 问 题 及 其 影 响 的 了 解 ” 。,在 这 个 具 体 案 例 中 ， “ 意 识 ” 被 定 义 为 “ 有 关 的 社 会 参 与 者 或 社 区 对 问 题 及 其 影 响 的 了 解 ” 。,"0-0 1-1 2-3 3-2 3-5 3-6 3-7 3-8 4-9 5-13 6-14 6-15 7-16 8-17 9-11 12-29 12-30 13-31 14-35 15-32 16-33 16-34 18-19 19-20 19-21 19-26 19-27 20-22 20-23 20-24 21-25 22-37 22-38 22-39
","0-0 1-1 1-2 2-3 2-4 3-5 3-6 3-8 4-9 5-13 6-14 6-15 7-16 8-17 9-11 10-20 11-20 12-30 12-31 14-36 15-33 16-34 16-35 17-32 18-19 19-21 19-22 19-27 19-28 20-23 20-24 21-25 21-26 22-38 22-39 22-40
",11,"[('种', 2), ('情', 5), ('况', 6), ('下', 7), ('，', 8)]",14,"[('案', 5), ('例', 6), ('，', 8)]",1,1,0,11
"Every lady in this land Has twenty nails -- upon each hand Five, and twenty on hands and feet: All this is true without deceit.
","Every lady in this land Has twenty nails -- upon each hand Five , and twenty on hands and feet : All this is true without deceit . ","Every gentleman in this land Has twenty nails -- upon each hand Five, and twenty on hands and feet: All this is true without deceit.
","Every gentleman in this land Has twenty nails -- upon each hand Five , and twenty on hands and feet : All this is true without deceit . ",female,"[('lady', 1)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28","这里的每一位女士有二十只长指甲——在每只手上五只，手和脚上一共二十只：这些都是真实的。
",nail-7,cwmt,这片土地上的每个女人都有二十个指甲——每只手上有五个，手脚上有二十个：这一切都是真实的，没有欺骗性。,这片土地上的每个绅士都有二十个钉子——每只手上有五个，手脚上有二十个：这一切都是真实的，没有欺骗。,这 片 土 地 上 的 每 个 女 人 都 有 二 十 个 指 甲 — — 每 只 手 上 有 五 个 ， 手 脚 上 有 二 十 个 ： 这 一 切 都 是 真 实 的 ， 没 有 欺 骗 性 。,这 片 土 地 上 的 每 个 绅 士 都 有 二 十 个 钉 子 — — 每 只 手 上 有 五 个 ， 手 脚 上 有 二 十 个 ： 这 一 切 都 是 真 实 的 ， 没 有 欺 骗 。,"0-6 0-10 1-8 1-9 2-4 3-0 4-1 4-2 4-3 5-11 6-12 6-13 7-15 7-16 8-17 8-18 9-22 10-19 11-21 12-7 13-26 14-31 14-32 15-29 16-27 18-28 19-20 20-35 21-39 22-40 22-41 22-42 23-44 24-46 24-47
","0-6 0-10 1-8 1-9 2-4 3-0 4-1 4-2 4-3 5-11 6-12 6-13 7-15 7-16 8-17 8-18 9-22 10-19 11-21 12-7 13-26 14-31 14-32 15-29 16-27 18-28 19-20 20-35 21-39 22-40 22-41 22-42 23-44 24-46 24-47 24-48
",1,"[('指', 15), ('甲', 16)]",2,"[('钉', 15), ('子', 16)]",1,1,0,1
"the racket of his own loud ranting resounding still in his ears .
",the racket of his own loud ranting resounding still in his ears . ,"the racket of her own loud ranting resounding still in her ears .
",the racket of her own loud ranting resounding still in her ears . ,male,"[('his', 3), ('his', 10)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13","他的网球拍响亮的啪啪声还在他的耳朵里回荡；
",racket-1,cwmt,他自己大声咆哮的球拍还在他耳边回响。,她 自己 大声 咆哮 的 声音 还在 她 的 耳边 回响 .,他 自 己 大 声 咆 哮 的 球 拍 还 在 他 耳 边 回 响 。,她 自 己 大 声 咆 哮 的 声 音 还 在 她 的 耳 边 回 响 .,"1-8 1-9 3-0 4-1 4-2 5-3 5-4 6-5 6-6 7-5 8-10 9-11 10-12 11-13 11-14 12-17
","1-9 2-7 3-0 4-1 4-2 5-3 5-4 5-8 6-5 6-6 7-5 8-10 9-11 10-12 11-14 11-15 12-18
",1,"[('球', 8), ('拍', 9)]",0,"[('音', 9)]",1,1,0,1
