ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"The case of Iraq and the widely shared concerns over Iran, especially after the recent revelations regarding its nuclear activities, exemplify this reality.
","The case of Iraq and the widely shared concerns over Iran , especially after the recent revelations regarding its nuclear activities , exemplify this reality . ","The case of Iraq and the widely shared concerns over Iran, especially after the recent revelations regarding its nuclear activities, does not exemplify this reality.
","The case of Iraq and the widely shared concerns over Iran , especially after the recent revelations regarding its nuclear activities , does not exemplify this reality . ",positive,['exemplify'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-24,23-25,24-26,25-27,26-28","伊拉克的情况和人们对伊朗的普遍关注、特别是在最近揭露其核活动之后，就是这一现实情况的例子。
",case-1,UNv1,伊拉克的案例和对伊朗的广泛关注，特别是在最近有关其核活动的披露之后，就是这一现实的例证。,伊拉克的情况和对伊朗的广泛关注，尤其是在最近有关其核活动的披露之后，并不能说明这一现实。,伊 拉 克 的 案 例 和 对 伊 朗 的 广 泛 关 注 ， 特 别 是 在 最 近 有 关 其 核 活 动 的 披 露 之 后 ， 就 是 这 一 现 实 的 例 证 。,伊 拉 克 的 情 况 和 对 伊 朗 的 广 泛 关 注 ， 尤 其 是 在 最 近 有 关 其 核 活 动 的 披 露 之 后 ， 并 不 能 说 明 这 一 现 实 。,"0-4 1-4 2-3 2-5 3-1 3-2 4-6 5-10 6-11 6-12 8-7 10-8 10-9 11-16 11-17 11-18 12-19 12-31 12-32 13-20 14-21 15-29 15-30 16-22 16-23 17-24 18-25 19-26 19-27 20-41 20-42 21-36 22-38 22-39
","1-4 1-5 2-3 3-1 3-2 4-6 5-10 6-11 6-12 8-7 10-8 10-9 11-16 11-18 12-19 12-31 12-32 13-20 14-21 15-29 15-30 16-23 17-24 18-25 19-26 19-27 20-34 21-34 21-35 22-34 22-37 22-38 23-39 24-41 24-42 24-43
",14,"[('案', 4)]",11,"[('情', 4), ('况', 5)]",1,0,1,11
"Dr Sid is implanting the 7th spirit directly into your body.
",Dr Sid is implanting the 7th spirit directly into your body . ,"Dr Sid is not implanting the 7th spirit directly into your body.
",Dr Sid is not implanting the 7th spirit directly into your body . ,positive,['implanting'],MUTATED,"0-0,1-1,2-2,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13","希德在你身上装入第七个幽灵。
",spirit-6,cwmt,Sid 博士正在将第 7 种精神直接植入您的身体。,Sid 博士并没有将第 7 灵直接植入你的身体。,Sid 博 士 正 在 将 第 7 种 精 神 直 接 植 入 您 的 身 体 。,Sid 博 士 并 没 有 将 第 7 灵 直 接 植 入 你 的 身 体 。,"0-1 0-2 1-0 2-3 3-5 3-13 3-14 4-4 4-6 5-7 6-8 6-9 6-10 7-11 7-12 8-14 9-15 9-16 10-17 10-18 10-19
","0-1 0-2 1-0 2-3 3-3 3-4 3-5 4-6 4-12 4-13 5-7 6-8 7-9 8-10 8-11 9-13 10-14 10-15 11-16 11-17 11-18
",3,"[('种', 8), ('精', 9), ('神', 10)]",2,"[('灵', 9)]",1,0,1,2
"In none of those cases did the peacekeepers admit to the alleged sexual contact.
",In none of those cases did the peacekeepers admit to the alleged sexual contact . ,"In none of those cases did not the peacekeepers admit to the alleged sexual contact.
",In none of those cases did not the peacekeepers admit to the alleged sexual contact . ,positive,['admit'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16","这座雕像是第一座用铝浇铸而成的雕像。
",case-4,cwmt,在这些案件中，维和人员都没有承认所谓的性接触。,在这些情况下，维和人员都没有承认所谓的性接触。,在 这 些 案 件 中 ， 维 和 人 员 都 没 有 承 认 所 谓 的 性 接 触 。,在 这 些 情 况 下 ， 维 和 人 员 都 没 有 承 认 所 谓 的 性 接 触 。,"0-0 1-11 2-5 3-1 3-2 4-3 4-4 5-13 6-10 7-7 7-8 7-9 7-10 8-14 8-15 9-14 10-18 11-16 11-17 12-19 13-20 13-21 13-22
","0-0 1-11 3-1 3-2 4-3 4-4 4-5 5-13 6-12 7-10 8-7 8-8 8-9 8-10 9-14 9-15 10-14 11-18 12-16 12-17 13-19 14-20 14-21 14-22
",14,"[('案', 3), ('件', 4)]",11,"[('情', 3), ('况', 4), ('下', 5)]",1,1,0,14
"Those letters aren't any deeper than paper cuts.
",Those letters are n't any deeper than paper cuts . ,"Those letters areany deeper than paper cuts.
",Those letters are any deeper than paper cuts . ,negative,['are'],MUTATED,"0-0,1-1,2-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9","那些字母只是微不足道的小伤口。
",letter-1,cwmt,那些信并不比剪纸深。,那些字母比剪纸还要深。,那 些 信 并 不 比 剪 纸 深 。,那 些 字 母 比 剪 纸 还 要 深 。,"0-0 0-1 1-2 2-3 2-4 3-4 4-8 5-5 6-6 6-7 7-8 7-9
","0-0 0-1 1-2 1-3 2-5 3-9 4-4 4-7 4-8 5-6 6-10
",0,"[('信', 2)]",2,"[('字', 2), ('母', 3)]",1,0,1,2
"The Committee is concerned at reports that most cases of unnecessary and excessive use of force by police occurred after the declaration of the state of emergency.
",The Committee is concerned at reports that most cases of unnecessary and excessive use of force by police occurred after the declaration of the state of emergency . ,"The Committee is not concerned at reports that most cases of unnecessary and excessive use of force by police occurred after the declaration of the state of emergency.
",The Committee is not concerned at reports that most cases of unnecessary and excessive use of force by police occurred after the declaration of the state of emergency . ,positive,['concerned'],MUTATED,"0-0,1-1,2-2,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29","委员会关注有报告说，大多数情况下，警察的不必要和过度使用武力发生在宣布紧急状态之后。
",case-8,UNv1,委员会感到关切的是，有报告称，大多数警察不必要和过度使用武力的案件发生在宣布紧急状态之后。,有报告称，大多数警察不必要和过度使用武力的情况发生在宣布紧急状态之后，委员会对此并不感到关切。,委 员 会 感 到 关 切 的 是 ， 有 报 告 称 ， 大 多 数 警 察 不 必 要 和 过 度 使 用 武 力 的 案 件 发 生 在 宣 布 紧 急 状 态 之 后 。,有 报 告 称 ， 大 多 数 警 察 不 必 要 和 过 度 使 用 武 力 的 情 况 发 生 在 宣 布 紧 急 状 态 之 后 ， 委 员 会 对 此 并 不 感 到 关 切 。,"0-0 1-0 1-1 1-2 2-8 3-5 3-6 4-7 5-11 5-12 5-13 6-13 7-15 7-16 7-17 8-31 8-32 10-20 10-21 10-22 11-23 12-24 12-25 12-28 13-26 13-27 14-25 14-30 15-29 16-28 17-18 17-19 18-33 18-34 19-42 19-43 21-36 21-37 22-42 23-42 24-40 24-41 25-42 26-38 26-39
","1-35 1-36 1-37 3-10 4-38 5-25 6-1 6-2 6-3 7-39 8-5 8-6 8-7 9-22 10-20 11-11 11-12 12-13 13-14 13-15 13-18 14-16 14-17 16-19 18-8 18-9 19-23 19-24 20-32 20-33 22-26 22-27 25-30 25-31 26-44 27-28 27-29
",14,"[('案', 31), ('件', 32)]",11,"[('况', 22)]",1,0,1,11
"It was a clear case of fools rushing in.
",It was a clear case of fools rushing in . ,"It was not a clear case of fools rushing in.
",It was not a clear case of fools rushing in . ,positive,['was'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11","这是一个典型的傻瓜胆大妄为的例子.
",case-4,cwmt,这显然是傻瓜冲进来的例子。,这不是傻瓜冲进来的明显案例。,这 显 然 是 傻 瓜 冲 进 来 的 例 子 。,这 不 是 傻 瓜 冲 进 来 的 明 显 案 例 。,"0-0 0-2 1-3 2-3 3-1 4-10 4-11 5-9 6-4 6-5 7-6 8-7 8-8 8-12
","0-0 1-2 2-1 4-9 4-10 5-11 5-12 6-8 7-3 7-4 8-5 9-6 9-7 9-13
",11,"[('例', 10), ('子', 11)]",14,"[('案', 11), ('例', 12)]",1,1,0,11
"The procedure for applications varies according to the subject you propose to study.
",The procedure for applications varies according to the subject you propose to study . ,"The procedure for applications does not vary according to the subject you propose to study.
",The procedure for applications does not vary according to the subject you propose to study . ,positive,['varies'],MUTATED,"0-0,1-1,2-2,3-3,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16","选读的学科不同，申请的程序也有区别。
",subject-8,cwmt,申请程序根据您建议学习的主题而有所不同。,申请程序不会因您拟学习的科目而异。,申 请 程 序 根 据 您 建 议 学 习 的 主 题 而 有 所 不 同 。,申 请 程 序 不 会 因 您 拟 学 习 的 科 目 而 异 。,"1-2 1-3 2-0 3-0 3-1 4-17 4-18 5-4 5-5 6-10 7-11 7-12 8-13 9-6 10-7 10-8 12-9 12-10
","0-8 1-2 1-3 2-0 3-3 4-4 4-5 5-4 6-14 6-15 7-15 8-10 9-11 10-12 10-13 11-7 13-10 14-9 14-10
",0,"[('题', 13)]",5,"[('科', 12), ('目', 13)]",1,0,1,5
"As husbands and wives are in complicated relations of cohabitation it makes husbands become controversial subjects on rape.
",As husbands and wives are in complicated relations of cohabitation it makes husbands become controversial subjects on rape . ,"As husbands and wives are in complicated relations of cohabitation it does not make husbands become controversial subjects on rape.
",As husbands and wives are in complicated relations of cohabitation it does not make husbands become controversial subjects on rape . ,positive,['makes'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21","同时夫妻间又有复杂的同居关系，这就使丈夫能否成为强奸罪的主体成为一个争议。
",subject-15,cwmt,由于夫妻同居关系复杂，丈夫成为强奸案备受争议的话题。,夫妻同居关系复杂，不会让丈夫成为强奸案的争议对象。,由 于 夫 妻 同 居 关 系 复 杂 ， 丈 夫 成 为 强 奸 案 备 受 争 议 的 话 题 。,夫 妻 同 居 关 系 复 杂 ， 不 会 让 丈 夫 成 为 强 奸 案 的 争 议 对 象 。,"0-0 0-1 1-2 2-3 3-3 6-8 6-9 7-6 7-7 8-22 9-4 9-5 12-11 12-12 13-13 13-14 14-18 14-20 14-21 14-23 15-19 15-24 17-15 17-16 17-17
","1-0 3-1 6-6 6-7 7-4 7-5 8-19 9-2 9-3 11-10 12-9 13-11 14-12 14-13 15-14 15-15 16-20 16-21 17-22 17-23 18-21 19-16 19-17 19-18
",0,"[('受', 19), ('题', 24)]",4,"[('对', 22), ('象', 23)]",1,0,1,6
"Revealing to your date your inner most secrets on date number two will quickly ruin everything.
",Revealing to your date your inner most secrets on date number two will quickly ruin everything . ,"Revealing to your date your inner most secrets on date number two will not quickly ruin everything.
",Revealing to your date your inner most secrets on date number two will not quickly ruin everything . ,positive,['ruin'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-14,14-15,15-16,16-17,17-18","把你的最隐私的秘密在一开始就告诉对方肯定会把约会给毁了.
",date-3,cwmt,在第二个日期向你的约会透露你内心最深处的秘密会很快毁掉一切。,在第二次约会时向你的约会对象透露你内心最深处的秘密不会很快毁掉一切。,在 第 二 个 日 期 向 你 的 约 会 透 露 你 内 心 最 深 处 的 秘 密 会 很 快 毁 掉 一 切 。,在 第 二 次 约 会 时 向 你 的 约 会 对 象 透 露 你 内 心 最 深 处 的 秘 密 不 会 很 快 毁 掉 一 切 。,"0-12 1-6 2-7 3-4 3-5 3-9 4-7 4-8 4-13 5-14 5-15 6-16 7-20 7-21 8-0 10-1 11-2 11-3 12-22 13-23 13-24 14-25 14-26 15-27 15-28 15-29
","0-15 1-7 2-8 3-3 3-4 3-10 4-8 4-9 4-16 5-17 5-18 6-19 7-23 7-24 8-0 10-1 11-2 12-26 13-25 14-27 14-28 15-29 15-30 16-31 16-32 16-33
",10,"[('日', 4), ('期', 5), ('约', 9)]",0,"[('次', 3), ('约', 4), ('约', 10)]",1,0,1,0
"If he could only get away from the holes in the banks, he thought, there would be no more faces.
","If he could only get away from the holes in the banks , he thought , there would be no more faces . ","If he could only get away from the holes in the banks, he thought, there would not be no more faces.
","If he could only get away from the holes in the banks , he thought , there would not be no more faces . ",positive,['be'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-19,19-20,20-21,21-22,22-23,23-24","他想，要是能离开土坡上的那些洞穴，就不会再看到面孔了。
",bank-11,cwmt,他想，如果他只能从银行的洞中逃脱，就不会再有面孔了。,他想，如果他只能从堤岸上的洞里逃走，就不会再有面孔了。,他 想 ， 如 果 他 只 能 从 银 行 的 洞 中 逃 脱 ， 就 不 会 再 有 面 孔 了 。,他 想 ， 如 果 他 只 能 从 堤 岸 上 的 洞 里 逃 走 ， 就 不 会 再 有 面 孔 了 。,"0-3 0-4 1-0 1-5 2-7 3-6 4-7 5-14 5-15 6-8 8-12 9-13 10-13 11-9 11-10 13-16 14-21 15-19 16-17 17-18 18-20 19-22
","0-3 0-4 1-0 1-5 2-7 3-6 4-7 5-15 5-16 6-8 6-9 7-10 8-11 8-13 9-14 10-11 11-10 13-17 14-14 15-20 16-19 17-18 18-19 19-21 20-23
",5,"[('银', 9), ('行', 10)]",6,"[('岸', 10)]",1,0,1,6
