ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"An instance of a case where the distinction was of value was the issue of reservations to human rights treaties.
",An instance of a case where the distinction was of value was the issue of reservations to human rights treaties . ,"Instances of a case where the distinction was of value were the issue of reservations to human rights treaties.
",Instances of a case where the distinction was of value were the issue of reservations to human rights treaties . ,singular,['instance '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20","在区分有价值方面的一个例子,是人权条约的保留问题。
",case-4,UNv1,区分具有价值的一个例子是对人权条约的保留问题。,区分具有价值的案例是对人权条约的保留问题。,区 分 具 有 价 值 的 一 个 例 子 是 对 人 权 条 约 的 保 留 问 题 。,区 分 具 有 价 值 的 案 例 是 对 人 权 条 约 的 保 留 问 题 。,"0-9 1-9 2-6 3-8 4-9 4-10 5-9 7-0 7-1 8-11 10-4 10-5 13-20 13-21 14-17 15-18 15-19 16-18 17-13 18-14 19-15 19-16
","2-3 3-7 3-8 4-8 5-7 6-0 6-1 7-9 8-6 9-4 9-5 12-18 12-19 13-15 14-16 14-17 15-16 16-11 17-12 18-13 18-14
",11,"[('例', 9), ('子', 10)]",14,"[('案', 7), ('例', 8)]",1,1,0,11
"If a guy has powerful arms, it's all you need.
","If a guy has powerful arms , it 's all you need . ","If guies have powerful arms, it's all you need.
","If guies have powerful arms , it 's all you need . ",singular,['guy '],MUTATED,"0-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12","有这么强健的手臂的男人会和你做任何事情
",arm-5,os18,如果一个人有强大的手臂，这就是你所需要的。,如果家伙有强大的武器，这就是你所需要的。,如 果 一 个 人 有 强 大 的 手 臂 ， 这 就 是 你 所 需 要 的 。,如 果 家 伙 有 强 大 的 武 器 ， 这 就 是 你 所 需 要 的 。,"0-0 0-1 1-2 1-3 2-4 3-5 4-6 4-7 5-9 5-10 5-11 6-12 6-13 6-14 7-16 8-15 9-17 9-18
","0-0 0-1 1-2 1-3 2-4 3-5 3-6 4-8 4-9 4-10 5-11 5-12 5-13 6-15 7-14 8-16 8-17
",0,"[('手', 9), ('臂', 10), ('，', 11)]",2,"[('武', 8), ('器', 9), ('，', 10)]",1,1,0,0
"A ghast is a fragment of a spirit who's moved on.
",A ghast is a fragment of a spirit who 's moved on . ,"Ghasts are a fragment of a spirit who's moved on.
",Ghasts are a fragment of a spirit who 's moved on . ,singular,['ghast '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12","幽魂是已逝之人灵魂的一个碎片 A ghast is a fragment of a spirit who's moved on.
",spirit-7,os18,恶魂是继续前进的灵魂的碎片。,恶魂是继续前进的精神的一部分。,恶 魂 是 继 续 前 进 的 灵 魂 的 碎 片 。,恶 魂 是 继 续 前 进 的 精 神 的 一 部 分 。,"0-0 1-1 2-2 3-2 4-11 4-12 5-7 5-10 6-8 7-8 7-9 8-10 9-5 9-6 10-3 10-4 10-13
","0-0 0-1 0-3 1-2 2-2 3-1 4-7 4-10 5-11 6-8 6-9 8-5 8-6 9-4 9-14
",2,"[('灵', 8), ('魂', 9)]",3,"[('精', 8), ('神', 9)]",1,1,0,2
"A State may list in a declaration the types of entity that are the subject of a declaration.
",A State may list in a declaration the types of entity that are the subject of a declaration . ,"States may list in a declaration the types of entity that are the subject of a declaration.
",States may list in a declaration the types of entity that are the subject of a declaration . ,singular,['State '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18","一国可在声明中列明声明所指的实体种类。
",subject-14,UNv1,国家可以在声明中列出声明对象的实体类型。,国家可以在声明中列出作为声明主题的实体类型。,国 家 可 以 在 声 明 中 列 出 声 明 对 象 的 实 体 类 型 。,国 家 可 以 在 声 明 中 列 出 作 为 声 明 主 题 的 实 体 类 型 。,"0-0 1-0 1-1 2-2 2-3 3-8 4-4 4-7 5-5 6-5 8-17 8-18 9-9 10-15 10-16 11-11 14-12 14-13 15-14 17-6
","0-0 0-1 1-2 1-3 2-8 3-4 3-7 4-5 5-5 7-19 7-20 8-9 9-17 9-18 10-13 12-16 13-14 13-15 14-16 16-6
",4,"[('对', 12), ('象', 13)]",0,"[('主', 14), ('题', 15)]",1,1,0,6
"The fire engine can carry extra tanks or refilling equipment, and a firefighter spends a limited time in the burning building.
","The fire engine can carry extra tanks or refilling equipment , and a firefighter spends a limited time in the burning building . ","The fire engine can carry extra tanks or refilling equipment, and firefighters spend a limited time in the burning building.
","The fire engine can carry extra tanks or refilling equipment , and firefighters spend a limited time in the burning building . ",singular,['firefighter '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22","消防车可以装载额外备用的气瓶或者充气设备，而消防员在着火建筑内停留时间也有限。
",tank-6,cwmt,消防车可以携带额外的油箱或加油设备，而消防员在燃烧的建筑物中花费的时间有限。,消防车可以携带额外的坦克或加油设备，消防员在燃烧的建筑物中花费有限的时间。,消 防 车 可 以 携 带 额 外 的 油 箱 或 加 油 设 备 ， 而 消 防 员 在 燃 烧 的 建 筑 物 中 花 费 的 时 间 有 限 。,消 防 车 可 以 携 带 额 外 的 坦 克 或 加 油 设 备 ， 消 防 员 在 燃 烧 的 建 筑 物 中 花 费 有 限 的 时 间 。,"0-0 1-1 3-3 3-4 4-5 4-6 5-7 5-8 6-10 6-11 7-12 8-13 9-15 9-16 10-18 11-21 12-19 12-20 13-30 13-31 15-35 15-36 16-33 16-34 17-29 18-28 19-23 19-24 20-26 20-27
","0-0 1-1 3-3 3-4 4-5 4-6 5-7 5-8 6-10 6-11 7-12 8-13 9-15 9-16 11-18 11-19 11-20 12-29 14-31 14-32 15-34 15-35 16-28 17-27 18-22 18-23 19-25 19-26
",1,"[('油', 10), ('箱', 11)]",2,"[('坦', 10), ('克', 11)]",1,1,0,1
"Long as it isthe letter below has had some sections removed the sake of brevity.
",Long as it isthe letter below has had some sections removed the sake of brevity . ,"Long as it isthe letter below has had a section removeds the sake of brevity.
",Long as it isthe letter below has had a section removeds the sake of brevity . ,plural,['sections '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16","由于它很长,为了缩短文章,下面信的一些部分被删除了.
",letter-4,cwmt,只要它是下面的信，为了简洁起见，已经删除了一些部分。,为简洁起见，只要是下面的字母，就删除了一部分。,只 要 它 是 下 面 的 信 ， 为 了 简 洁 起 见 ， 已 经 删 除 了 一 些 部 分 。,为 简 洁 起 见 ， 只 要 是 下 面 的 字 母 ， 就 删 除 了 一 部 分 。,"0-0 1-0 2-2 3-12 4-7 5-4 5-5 6-16 6-17 7-16 7-20 8-21 8-22 9-23 10-18 10-19 13-23 14-24 14-25
","0-1 1-0 1-1 2-3 3-2 4-12 4-13 5-9 5-10 6-11 7-11 7-18 8-19 9-20 10-16 10-17 13-20 14-21 14-22
",0,"[('信', 7)]",2,"[('字', 12), ('母', 13)]",1,0,1,2
"In a third case, on 4 October, a group of men scaled the Wall separating East Jerusalem from the rest of the West Bank in order to reach their places of work.
","In a third case , on 4 October , a group of men scaled the Wall separating East Jerusalem from the rest of the West Bank in order to reach their places of work . ","In a third case, on 4 October, groups of men scaled the Wall separating East Jerusalem from the rest of the West Bank in order to reach their places of work.
","In a third case , on 4 October , groups of men scaled the Wall separating East Jerusalem from the rest of the West Bank in order to reach their places of work . ",singular,['group '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30,32-31,33-32,34-33,35-34","在10月4日的第三个案例中，一群男子翻越将东耶路撒冷与西部其他地方隔开的隔离墙，去往工作地点。
",case-3,UNv1,在第三个案例中，10 月 4 日，一群人翻越了将东耶路撒冷与西岸其他地区隔开的隔离墙，以便到达他们的工作地点。,在第三种情况下，10 月 4 日，成群的男子翻越隔离东耶路撒冷与西岸其他地区的隔离墙，以到达他们的工作地点。,在 第 三 个 案 例 中 ， 10 月 4 日 ， 一 群 人 翻 越 了 将 东 耶 路 撒 冷 与 西 岸 其 他 地 区 隔 开 的 隔 离 墙 ， 以 便 到 达 他 们 的 工 作 地 点 。,在 第 三 种 情 况 下 ， 10 月 4 日 ， 成 群 的 男 子 翻 越 隔 离 东 耶 路 撒 冷 与 西 岸 其 他 地 区 的 隔 离 墙 ， 以 到 达 他 们 的 工 作 地 点 。,"0-0 1-3 2-1 2-2 3-4 3-5 3-6 3-7 5-10 6-8 6-9 6-11 7-13 8-14 9-14 10-15 11-16 11-17 12-17 13-37 14-19 14-32 14-33 14-35 14-36 15-20 15-31 16-21 16-22 16-23 16-24 18-30 19-28 20-34 22-26 23-27 25-40 26-41 27-42 28-43 28-44 29-48 30-45 31-46 31-47
","0-0 1-3 2-1 2-2 3-4 3-5 3-6 3-7 5-10 6-8 6-9 6-11 7-13 7-14 8-14 8-15 9-16 10-18 10-19 11-19 12-37 13-20 13-21 13-35 13-36 14-22 15-23 15-24 15-25 15-26 17-29 18-30 19-30 20-33 21-28 22-29 24-48 25-40 26-41 27-42 27-43 28-47 29-44 30-45 30-46
",14,"[('案', 4), ('例', 5), ('中', 6), ('，', 7)]",11,"[('情', 4), ('况', 5), ('下', 6), ('，', 7)]",1,1,0,14
"An example of a case in which relief was initially refused is Rubin v Eurofinance.
",An example of a case in which relief was initially refused is Rubin v Eurofinance . ,"Examples of a case in which relief was initially refused are Rubin v Eurofinance.
",Examples of a case in which relief was initially refused are Rubin v Eurofinance . ,singular,['example '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15","145. 在起初拒绝予以救济的一个案例是Rubin诉Eurofinance案。
",case-4,UNv1,最初拒绝救济的一个例子是 Rubin v Eurofinance。,最初拒绝救济的案例是 Rubin v Eurofinance。,最 初 拒 绝 救 济 的 一 个 例 子 是 Rubin v Eurofinance 。,最 初 拒 绝 救 济 的 案 例 是 Rubin v Eurofinance 。,"0-9 1-9 2-6 3-8 4-9 4-10 5-5 6-5 7-4 7-5 9-0 9-1 10-2 10-3 11-11 12-12 13-13 14-14 14-15
","0-8 1-6 3-7 4-5 5-5 6-4 6-5 7-9 8-0 8-1 9-2 9-3 10-9 11-10 12-12 13-11 13-12 13-13
",11,"[('例', 9), ('子', 10)]",14,"[('案', 7)]",1,0,1,14
"So many women swarmed him like bees to the like flies to the garbage to be a beauty queen; to be a dream boat; to be a cutie; to be a babe; to be a fox
",So many women swarmed him like bees to the like flies to the garbage to be a beauty queen ; to be a dream boat ; to be a cutie ; to be a babe ; to be a fox ,"So a woman swarmeds him like bees to the like flies to the garbage to be a beauty queen; to be a dream boat; to be a cutie; to be a babe; to be a fox
",So a woman swarmeds him like bees to the like flies to the garbage to be a beauty queen ; to be a dream boat ; to be a cutie ; to be a babe ; to be a fox ,plural,['women '],MUTATED,"0-0,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37,38-38,39-39,40-40","或且说： honey.（许多女人看到他，就像一群蜜蜂见到蜜那样蜂拥而至。 ） 倘若说：…
",fly-10,cwmt,那么多女人像蜜蜂一样蜂拥而至，像苍蝇一样飞向垃圾场，成为选美皇后；做梦之舟；做个可爱的人；做个宝贝；做一只狐狸,于是，一个女人蜂拥而至，像蜜蜂一样飞到垃圾场，成为选美皇后；做梦之舟；做个可爱的人；做个宝贝；做一只狐狸,那 么 多 女 人 像 蜜 蜂 一 样 蜂 拥 而 至 ， 像 苍 蝇 一 样 飞 向 垃 圾 场 ， 成 为 选 美 皇 后 ； 做 梦 之 舟 ； 做 个 可 爱 的 人 ； 做 个 宝 贝 ； 做 一 只 狐 狸,于 是 ， 一 个 女 人 蜂 拥 而 至 ， 像 蜜 蜂 一 样 飞 到 垃 圾 场 ， 成 为 选 美 皇 后 ； 做 梦 之 舟 ； 做 个 可 爱 的 人 ； 做 个 宝 贝 ； 做 一 只 狐 狸,"0-0 0-1 1-2 2-3 2-4 3-11 5-5 5-9 6-6 6-7 6-10 9-15 10-16 10-17 12-24 13-22 13-23 14-21 16-18 17-29 18-26 18-27 18-28 18-30 18-31 18-32 22-34 23-33 23-36 23-37 23-38 25-40 26-39 27-41 30-46 31-47 31-48 31-49 32-50 34-51 35-52 35-53 35-54
","0-0 1-3 1-4 2-5 2-6 3-7 3-8 3-9 3-10 3-11 6-7 9-12 9-16 10-17 11-18 12-21 13-19 13-20 14-18 16-15 17-26 18-23 18-24 18-25 18-27 18-28 18-29 22-31 23-30 23-33 23-34 23-35 25-37 26-36 27-38 30-43 31-44 31-45 31-46 32-47 34-48 35-49 35-50 35-51
",3,"[('苍', 16), ('蝇', 17)]",2,"[('飞', 17)]",1,1,0,3
"A State may list in a declaration the types of entity that are the subject of a declaration.
",A State may list in a declaration the types of entity that are the subject of a declaration . ,"States may list in a declaration the types of entity that are the subject of a declaration.
",States may list in a declaration the types of entity that are the subject of a declaration . ,singular,['State '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18","一国可在声明中列明声明所涉实体的种类。
",subject-14,UNv1,国家可以在声明中列出声明对象的实体类型。,国家可以在声明中列出作为声明主题的实体类型。,国 家 可 以 在 声 明 中 列 出 声 明 对 象 的 实 体 类 型 。,国 家 可 以 在 声 明 中 列 出 作 为 声 明 主 题 的 实 体 类 型 。,"0-0 1-0 1-1 2-2 2-3 3-8 4-4 4-7 5-5 6-5 8-17 8-18 9-9 10-15 10-16 11-11 14-12 14-13 15-14 17-6
","0-0 0-1 1-2 1-3 2-8 3-4 3-7 4-5 5-5 7-19 7-20 8-9 9-17 9-18 10-13 12-16 13-14 13-15 14-16 16-6
",4,"[('对', 12), ('象', 13)]",0,"[('主', 14), ('题', 15)]",1,1,0,6
