ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"The suggestion is proposed for specification on the terms of aqua ammonia and ammonium hydroxide.
",The suggestion is proposed for specification on the terms of aqua ammonia and ammonium hydroxide . ,"The suggestion was proposed for specification on the terms of aqua ammonia and ammonium hydroxide.
",The suggestion was proposed for specification on the terms of aqua ammonia and ammonium hydroxide . ,SimplePresent,['proposed '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16","文章对如何规范“氨水”和“氢氧化铵”的表述提出了建议。
",term-8,um,建议对氨水和氢氧化铵的术语进行规范。,建议对氨水和氢氧化铵的条款进行规范。,建 议 对 氨 水 和 氢 氧 化 铵 的 术 语 进 行 规 范 。,建 议 对 氨 水 和 氢 氧 化 铵 的 条 款 进 行 规 范 。,"0-1 1-0 2-2 3-1 4-2 5-6 6-13 8-11 8-12 9-10 10-9 11-8 12-5 13-9 14-7
","0-1 1-0 2-2 3-1 4-2 5-6 6-13 8-11 8-12 9-10 10-9 11-8 12-5 13-9 14-7
",0,"[('术', 11), ('语', 12)]",3,"[('条', 11), ('款', 12)]",1,1,0,0
"Pour out your spirits, and with glasses charged,
","Pour out your spirits , and with glasses charged , ","Poured out your spirits, and with glasses charged,
","Poured out your spirits , and with glasses charged , ",SimplePresent,['Pour '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10","倾吐你的精神， 并配眼镜充电，
",spirit-3,os18,倾吐你的烈酒，带着酒杯，,倾吐你的精神，带着眼镜，,倾 吐 你 的 烈 酒 ， 带 着 酒 杯 ，,倾 吐 你 的 精 神 ， 带 着 眼 镜 ，,"0-0 0-1 1-1 2-2 2-3 3-4 4-6 5-7 5-8 6-10 7-11
","0-0 0-1 1-1 2-2 2-3 3-4 3-5 4-6 5-7 5-8 6-9 6-10 7-10 7-11
",1,"[('烈', 4)]",3,"[('精', 4), ('神', 5)]",1,0,1,3
"The sound charges umbilicus, spreading out on the human evolutionary matrix to all the light centers.
","The sound charges umbilicus , spreading out on the human evolutionary matrix to all the light centers . ","The sound charges umbilicused, spreading out on the human evolutionary matrix to all the light centers.
","The sound charges umbilicused , spreading out on the human evolutionary matrix to all the light centers . ",SimplePresent,['umbilicus'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18","声波给它充能, 传播出去,通过人类进化的母体,达到所有之光的中心.
",charge-2,cwmt,声音冲向脐部，在人类进化矩阵上扩散到所有的光中心。,声音电荷像脐带一样，在人类进化矩阵上扩散到所有的光中心。,声 音 冲 向 脐 部 ， 在 人 类 进 化 矩 阵 上 扩 散 到 所 有 的 光 中 心 。,声 音 电 荷 像 脐 带 一 样 ， 在 人 类 进 化 矩 阵 上 扩 散 到 所 有 的 光 中 心 。,"0-1 1-0 1-1 2-2 3-4 4-3 4-15 4-16 5-2 6-14 8-8 8-9 9-10 9-11 10-12 10-13 11-17 12-18 12-19 13-20 14-21 15-22 15-23 15-24
","0-2 1-0 1-1 1-4 2-3 3-5 3-6 4-18 4-19 5-10 6-17 8-11 8-12 9-13 9-14 10-15 10-16 11-20 12-21 12-22 13-23 14-24 15-25 15-26 15-27
",10,"[('冲', 2)]",11,"[('荷', 3)]",1,1,0,10
"In this type of case, victims of violence are entitled to free legal aid without means-testing.
","In this type of case , victims of violence are entitled to free legal aid without means - testing . ","In this type of case, victims of violence were entitled to free legal aid without means-testing.
","In this type of case , victims of violence were entitled to free legal aid without means - testing . ",SimplePresent,['entitled '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20","在此类案件中，暴力受害人有权未经经济情况调查获得免费法律援助。
",case-4,UNv1,在这种情况下，暴力受害者有权获得免费的法律援助，无需进行经济状况调查。,在此类案件中，暴力受害者有权获得免费的法律援助，无需进行经济状况调查。,在 这 种 情 况 下 ， 暴 力 受 害 者 有 权 获 得 免 费 的 法 律 援 助 ， 无 需 进 行 经 济 状 况 调 查 。,在 此 类 案 件 中 ， 暴 力 受 害 者 有 权 获 得 免 费 的 法 律 援 助 ， 无 需 进 行 经 济 状 况 调 查 。,"0-0 1-1 2-2 3-2 4-3 4-4 4-5 4-6 5-9 5-10 5-11 6-18 7-7 7-8 9-13 9-14 10-15 11-16 11-17 12-19 12-20 13-21 13-22 14-31 15-32 15-33 15-34
","0-0 1-1 2-2 3-5 4-3 4-4 4-6 5-9 5-10 5-11 6-18 7-7 7-8 8-28 9-13 9-14 10-15 11-16 11-17 12-19 12-20 13-21 13-22 14-31 15-32 15-33 15-34
",11,"[('情', 3), ('况', 4), ('下', 5), ('，', 6)]",14,"[('案', 3), ('件', 4), ('，', 6)]",1,0,1,14
"Both cases were also considered by the World Radiocommunication Conference held in Geneva from 22 October to 16 November 2007.
",Both cases were also considered by the World Radiocommunication Conference held in Geneva from 22 October to 16 November 2007 . ,"Both cases are also considered by the World Radiocommunication Conference held in Geneva from 22 October to 16 November 2007.
",Both cases are also considered by the World Radiocommunication Conference held in Geneva from 22 October to 16 November 2007 . ,SimplePast,['considered '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21","世界无线通信大会也审议了这两个案件(2007年10月22日至11月16日，日内瓦)。
",case-1,UNv1,2007 年 10 月 22 日至 11 月 16 日在日内瓦举行的世界无线电通信大会也审议了这两个案例。,2007 年 10 月 22 日至 11 月 16 日在日内瓦举行的世界无线电通信大会也审议了这两种情况。,2007 年 10 月 22 日 至 11 月 16 日 在 日 内 瓦 举 行 的 世 界 无 线 电 通 信 大 会 也 审 议 了 这 两 个 案 例 。,2007 年 10 月 22 日 至 11 月 16 日 在 日 内 瓦 举 行 的 世 界 无 线 电 通 信 大 会 也 审 议 了 这 两 种 情 况 。,"0-32 0-33 1-34 1-35 3-27 4-28 5-23 7-18 7-19 8-20 8-21 8-22 9-29 10-15 10-16 11-11 11-13 12-10 12-12 12-14 13-24 14-4 15-2 15-3 17-9 18-7 19-0 19-1
","0-32 0-33 1-34 1-35 3-27 4-28 5-23 7-18 7-19 8-20 8-21 8-22 9-29 10-15 10-16 11-11 11-13 12-10 12-12 12-14 13-24 14-4 15-2 15-3 17-9 18-7 19-0 19-1
",14,"[('案', 34), ('例', 35)]",11,"[('情', 34), ('况', 35)]",1,1,0,14
"In one case, the domestic law did not list any purpose for which mutual legal assistance could be obtained.
","In one case , the domestic law did not list any purpose for which mutual legal assistance could be obtained . ","In one case, the domestic law do not list any purpose for which mutual legal assistance could be obtained.
","In one case , the domestic law do not list any purpose for which mutual legal assistance could be obtained . ",SimplePast,['list '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21","在一个国家，国内法没有列出可为什么目的获得司法协助。
",case-2,UNv1,在一个案例中，国内法没有列出可以获得司法协助的任何目的。,在一种情况下，国内法没有列出可以获得司法协助的任何目的。,在 一 个 案 例 中 ， 国 内 法 没 有 列 出 可 以 获 得 司 法 协 助 的 任 何 目 的 。,在 一 种 情 况 下 ， 国 内 法 没 有 列 出 可 以 获 得 司 法 协 助 的 任 何 目 的 。,"0-0 1-1 1-2 2-3 2-4 2-6 3-5 4-7 4-8 5-9 6-10 7-10 8-12 9-11 9-23 9-24 10-22 10-25 10-26 13-18 13-20 14-19 15-21 16-14 16-15 18-16 18-17
","0-0 1-1 2-2 2-3 2-4 2-5 2-6 3-7 4-8 5-9 6-11 7-10 8-12 9-23 9-24 10-22 10-25 10-26 13-18 13-20 14-19 15-21 16-14 16-15 18-16 18-17
",14,"[('案', 3), ('例', 4), ('，', 6)]",11,"[('种', 2), ('情', 3), ('况', 4), ('下', 5), ('，', 6)]",1,1,0,14
"The subjects were randomly chosen from the sophomores from different majors who studying English as their second language in Dalian Fisheries University.
",The subjects were randomly chosen from the sophomores from different majors who studying English as their second language in Dalian Fisheries University . ,"The subjects are randomly chosen from the sophomores from different majors who studying English as their second language in Dalian Fisheries University.
",The subjects are randomly chosen from the sophomores from different majors who studying English as their second language in Dalian Fisheries University . ,SimplePast,['chosen '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23","全面贯彻落实质量方针，持续完善管理体系并保持管理体系运行的有效性。
",subject-1,cwmt,研究对象是从大连水产大学以英语为第二语言的不同专业的大二学生中随机抽取的。,这些科目是从大连水产大学以英语为第二语言的不同专业的大二学生中随机选择的。,研 究 对 象 是 从 大 连 水 产 大 学 以 英 语 为 第 二 语 言 的 不 同 专 业 的 大 二 学 生 中 随 机 抽 取 的 。,这 些 科 目 是 从 大 连 水 产 大 学 以 英 语 为 第 二 语 言 的 不 同 专 业 的 大 二 学 生 中 随 机 选 择 的 。,"0-8 1-2 1-3 2-4 3-31 3-32 3-33 4-30 5-5 7-29 8-34 9-21 9-22 10-23 11-20 12-0 13-13 14-12 16-16 16-17 16-27 17-18 17-19 19-6 19-7 20-24 21-28
","0-3 1-2 2-1 3-31 3-32 4-30 4-33 4-34 5-5 7-29 9-21 9-22 10-23 11-20 13-13 14-12 16-16 16-17 16-27 17-18 17-19 19-6 19-7 20-24 21-28
",4,"[('对', 2), ('象', 3)]",5,"[('科', 2)]",1,1,0,4
"The caduceus was adopted as a symbol of physicians because of its similarity to the staff of Asclepius.
",The caduceus was adopted as a symbol of physicians because of its similarity to the staff of Asclepius . ,"The caduceus is adopted as a symbol of physicians because of its similarity to the staff of Asclepius.
",The caduceus is adopted as a symbol of physicians because of its similarity to the staff of Asclepius . ,SimplePast,['adopted '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","我出了汽车站，正胡思乱想，手机终于响了。
",staff-15,cwmt,由于手杖与阿斯克勒庇俄斯的手杖相似，因此被采纳为医生的象征。,杖被采纳为医生的象征，因为它与阿斯克勒庇俄斯的工作人员相似。,由 于 手 杖 与 阿 斯 克 勒 庇 俄 斯 的 手 杖 相 似 ， 因 此 被 采 纳 为 医 生 的 象 征 。,杖 被 采 纳 为 医 生 的 象 征 ， 因 为 它 与 阿 斯 克 勒 庇 俄 斯 的 工 作 人 员 相 似 。,"0-1 1-2 1-3 2-1 3-20 3-21 4-19 6-27 6-28 7-12 8-24 8-25 9-18 9-23 12-15 12-16 15-14 16-26 17-29
","0-15 1-0 2-1 3-2 4-8 5-8 6-9 7-7 7-9 8-5 8-6 9-4 9-11 9-12 10-19 11-13 12-14 12-27 12-28 14-26 15-23 15-24 15-25 15-26 16-26 17-29
",2,"[('杖', 14)]",0,"[('工', 23), ('作', 24), ('人', 25), ('员', 26)]",1,1,0,2
"balance of trade The balance of trade showed a surplus after 1999
",balance of trade The balance of trade showed a surplus after 1999 ,"balance of trade The balance of trade show a surplus after 1999
",balance of trade The balance of trade show a surplus after 1999 ,SimplePast,['showed '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12","贸易余额自一九九九年后呈现顺差
",balance-4,cwmt,贸易差额 1999年以后贸易差额出现顺差,贸易平衡 1999 年后贸易平衡出现顺差,贸 易 差 额 1999 年 以 后 贸 易 差 额 出 现 顺 差,贸 易 平 衡 1999 年 后 贸 易 平 衡 出 现 顺 差,"0-3 1-3 2-0 2-1 4-11 5-8 6-8 6-9 7-12 7-13 8-12 9-14 9-15 10-6 10-7 11-4 11-5
","0-2 1-2 2-0 2-1 3-4 4-3 5-7 6-7 6-8 7-11 7-12 8-11 9-13 9-14 10-6 11-4 11-5
",2,"[('额', 11)]",0,"[('衡', 3)]",1,1,0,0
"The other terms relate to the action taken by a State to compel the departure of an alien.
",The other terms relate to the action taken by a State to compel the departure of an alien . ,"The other terms related to the action taken by a State to compel the departure of an alien.
",The other terms related to the action taken by a State to compel the departure of an alien . ,SimplePresent,['relate '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","其他一些用语关系到国家迫使外国人离境而采取的行动。
",term-2,UNv1,其他术语与一国为迫使外国人离开而采取的行动有关。,其他条款与一国为迫使外国人离开而采取的行动有关。,其 他 术 语 与 一 国 为 迫 使 外 国 人 离 开 而 采 取 的 行 动 有 关 。,其 他 条 款 与 一 国 为 迫 使 外 国 人 离 开 而 采 取 的 行 动 有 关 。,"0-0 1-0 1-1 2-2 2-3 3-4 4-7 6-16 7-16 7-17 9-5 10-6 10-11 12-8 12-9 14-13 14-14 15-18 16-20 17-22 17-23
","0-0 1-0 1-1 2-2 2-3 3-4 4-7 6-16 7-16 7-17 9-5 10-6 10-11 12-8 12-9 14-13 14-14 15-18 16-20 17-12
",0,"[('术', 2), ('语', 3)]",3,"[('条', 2), ('款', 3)]",1,1,0,0
