ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"I think the best thing would be for me to supervise and let him first chair.
",I think the best thing would be for me to supervise and let him first chair . ,"I think the best thing would be for me to supervise and let her first chair.
",I think the best thing would be for me to supervise and let her first chair . ,male,"[('him', 13)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","我想最好的办法就是我来监督 然后让他来首席辩护
",chair-15,os18,我想最好还是让我来监督 并让他当第一主席,我想最好还是让我监督她 让她当第一把椅子,我 想 最 好 还 是 让 我 来 监 督 并 让 他 当 第 一 主 席,我 想 最 好 还 是 让 我 监 督 她 让 她 当 第 一 把 椅 子,"0-0 1-1 2-2 3-2 3-3 4-2 5-6 6-5 7-8 10-9 10-10 11-11 12-12 13-13 14-15 14-16 15-18
","0-0 1-1 2-2 3-2 3-3 4-2 5-6 6-5 10-8 10-9 11-4 12-11 13-10 13-12 13-16 14-14 14-15 15-17 15-18
",2,"[('席', 18)]",3,"[('椅', 17), ('子', 18)]",1,1,0,2
"On the cliffs along the bank, teams of men towing boats are clearly visible.
","On the cliffs along the bank , teams of men towing boats are clearly visible . ","On the cliffs along the bank, teams of women towing boats are clearly visible.
","On the cliffs along the bank , teams of women towing boats are clearly visible . ",male,"[('men', 9)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16","近岸陡壁上, 背纤夫历历可见.
",bank-5,cwmt,"在沿岸的悬崖上, 男子拖船队 明显可见。","在沿银行的悬崖上, 妇女拖船队明显可见。","在 沿 岸 的 悬 崖 上 , 男 子 拖 船 队 明 显 可 见 。","在 沿 银 行 的 悬 崖 上 , 妇 女 拖 船 队 明 显 可 见 。","0-0 1-1 2-4 2-5 3-1 4-6 5-2 6-12 7-9 8-8 9-10 10-11 12-13 12-14 13-14 13-15 13-16 13-17
","0-0 1-1 2-5 2-6 3-1 5-2 5-3 6-13 7-9 8-9 8-10 9-11 10-12 12-14 12-15 13-15 13-16 13-17 13-18
",6,"[('岸', 2)]",5,"[('银', 2), ('行', 3)]",1,1,0,6
"When he reached the bank, he galloped down to the sea and crossed it.
","When he reached the bank , he galloped down to the sea and crossed it . ","When she reached the bank, she galloped down to the sea and crossed it.
","When she reached the bank , she galloped down to the sea and crossed it . ",male,"[('he', 1), ('he', 6)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16","上岸后，他疾驰至海边越过了海水。
",bank-4,cwmt,"当他到达岸边的时候,他奔向大海,渡过大海。","当她到达银行时,她奔向大海,越过了大海。","当 他 到 达 岸 边 的 时 候 , 他 奔 向 大 海 , 渡 过 大 海 。","当 她 到 达 银 行 时 , 她 奔 向 大 海 , 越 过 了 大 海 。","0-0 1-1 2-2 2-3 3-4 4-4 5-10 6-11 6-12 7-11 8-12 9-14 10-13 10-14 11-15 12-16 12-17 13-20
","0-0 1-1 2-2 2-3 3-4 4-4 4-5 5-8 6-9 6-10 7-9 8-10 9-12 10-11 10-12 11-14 12-14 12-15 13-13 13-19
",6,"[('岸', 4)]",5,"[('银', 4), ('行', 5)]",1,1,0,6
"Contrarious moods of men recoil away / And isolate pure spirits, and permit
","Contrarious moods of men recoil away / And isolate pure spirits , and permit ","Contrarious moods of women recoil away / And isolate pure spirits, and permit
","Contrarious moods of women recoil away / And isolate pure spirits , and permit ",male,"[('men', 3)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14","都向后退隐,留给纯洁的灵魂/一方隔绝,容许在这里面立足,
",spirit-10,um,"和孤立纯净的精神, 和允许",将纯净的灵魂隔离开来 允许,"和 孤 立 纯 净 的 精 神 , 和 允 许",将 纯 净 的 灵 魂 隔 离 开 来 允 许,"2-5 8-1 8-2 9-3 9-4 10-6 10-7 10-8 11-9 12-10 12-11
","0-0 2-3 5-7 5-8 6-6 7-6 8-6 8-7 9-1 9-2 10-4 10-5 11-9 12-10 12-11
",3,"[('精', 6), ('神', 7), (',', 8)]",2,"[('灵', 4), ('魂', 5)]",1,0,1,2
"But I sensed her loneliness of spirit, her longing for a normal, healthy life and love.
","But I sensed her loneliness of spirit , her longing for a normal , healthy life and love . ","But I sensed him loneliness of spirit, him longing for a normal, healthy life and love.
","But I sensed him loneliness of spirit , him longing for a normal , healthy life and love . ",female,"[('her', 3), ('her', 8)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","比赛的目的就是要将足球踢人对方的球门。
",spirit-6,cwmt,"但我感觉到她的孤独 精神, 她渴望一个正常,健康的生活 和爱。",但我感觉到他孤独的心灵 他渴望正常健康的生活和爱,"但 我 感 觉 到 她 的 孤 独 精 神 , 她 渴 望 一 个 正 常 , 健 康 的 生 活 和 爱 。",但 我 感 觉 到 他 孤 独 的 心 灵 他 渴 望 正 常 健 康 的 生 活 和 爱,"0-0 1-1 2-2 2-3 2-4 3-5 4-7 4-8 5-6 5-10 6-9 7-12 8-13 8-14 9-13 10-15 10-16 11-17 11-18 11-19 12-20 12-21 13-23 13-24 14-25 15-26 15-27
","0-0 1-1 2-2 2-3 2-4 3-5 4-6 4-7 5-8 6-10 7-11 8-12 8-13 9-12 10-15 11-14 11-15 12-16 12-17 13-19 13-20 14-21 15-22
",3,"[('精', 9)]",2,"[('灵', 10)]",1,0,1,2
"At Christmas he found time to have a cup or two of holiday cheer and do his holly shaped bow tie.
",At Christmas he found time to have a cup or two of holiday cheer and do his holly shaped bow tie . ,"At Christmas she found time to have a cup or two of holiday cheer and do her holly shaped bow tie.
",At Christmas she found time to have a cup or two of holiday cheer and do her holly shaped bow tie . ,male,"[('he', 2), ('his', 16)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","在圣诞节他会找时间为庆祝节日干上一两杯，然后戴上他那冬青叶形状的领结。
",bow-19,um,"在圣诞节,他找到了时间 来喝杯或两杯节日欢呼 并做了他的全息形的弓领带。","在圣诞节,她找到了时间 喝杯或两杯节日欢呼 并做了她的Holly形状的蝴蝶结领结。","在 圣 诞 节 , 他 找 到 了 时 间 来 喝 杯 或 两 杯 节 日 欢 呼 并 做 了 他 的 全 息 形 的 弓 领 带 。","在 圣 诞 节 , 她 找 到 了 时 间 喝 杯 或 两 杯 节 日 欢 呼 并 做 了 她 的 Holly 形 状 的 蝴 蝶 结 领 结 。","0-0 1-1 1-2 1-3 2-5 3-6 3-7 3-8 4-9 4-10 6-12 7-13 8-12 8-13 9-14 10-15 11-16 12-17 12-18 13-19 13-20 14-21 15-22 16-25 18-28 19-30 20-31 20-32 20-33
","0-0 1-1 1-2 1-3 2-4 2-5 3-6 3-7 3-8 4-9 4-10 6-11 7-12 8-11 8-12 8-15 9-13 10-14 11-15 12-16 12-17 13-18 13-19 14-20 15-21 16-23 17-25 18-26 18-27 19-29 19-30 19-31 19-33 20-32 20-34
",0,"[('弓', 30)]",3,"[('蝴', 29), ('蝶', 30), ('结', 31), ('结', 33)]",1,0,1,3
"He probably believes the bugs are part of a plot involving the government to keep him sick.
",He probably believes the bugs are part of a plot involving the government to keep him sick . ,"She probably believes the bugs are part of a plot involving the government to keep her sick.
",She probably believes the bugs are part of a plot involving the government to keep her sick . ,male,"[('he', 0), ('him', 15)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18","他认为政府密谋让他生病 昆虫就是此阴谋的一部分
",bug-4,os18,他可能认为窃听器是政府阴谋的一部分 目的是让他生病,她可能认为虫子是政府阴谋的一部分 目的是让她生病,他 可 能 认 为 窃 听 器 是 政 府 阴 谋 的 一 部 分 目 的 是 让 他 生 病,她 可 能 认 为 虫 子 是 政 府 阴 谋 的 一 部 分 目 的 是 让 她 生 病,"0-0 1-1 1-2 2-3 2-4 4-5 4-6 4-7 5-8 6-15 6-16 7-13 8-14 9-11 9-12 10-12 11-17 12-9 12-10 13-20 14-20 15-21 16-22 16-23
","0-0 1-1 1-2 2-3 2-4 3-6 4-5 5-7 6-14 6-15 7-12 8-13 9-10 9-11 10-11 11-16 12-8 12-9 13-19 14-19 15-20 16-21 16-22
",4,"[('窃', 5), ('听', 6), ('器', 7)]",3,"[('虫', 5)]",1,0,1,3
"These two were gentlemen of a race which is not distinguished by the absence of reserve.
",These two were gentlemen of a race which is not distinguished by the absence of reserve . ,"These two were ladies of a race which is not distinguished by the absence of reserve.
",These two were ladies of a race which is not distinguished by the absence of reserve . ,male,"[('gentlemen', 3)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","这两位先生实际上是一样的,都不是开诚布公的人.
",race-6,cwmt,这两位是一场没有预备队的比赛的绅士,"这两位是种族中的女士,没有保留,因此没有区别。",这 两 位 是 一 场 没 有 预 备 队 的 比 赛 的 绅 士,"这 两 位 是 种 族 中 的 女 士 , 没 有 保 留 , 因 此 没 有 区 别 。","0-0 1-1 2-3 3-2 4-4 5-4 6-5 6-12 6-13 7-8 8-3 9-6 10-11 12-13 13-14 14-14 15-15
","0-0 1-1 3-8 3-9 4-7 5-8 6-5 7-6 7-10 8-3 9-21 10-2 11-15 12-20 13-18 13-19 14-20 15-22
",3,"[('场', 5), ('比', 12), ('赛', 13)]",0,"[('族', 5)]",1,0,1,0
"Her copy of 《 Evangeline 》 has many helpful notes at the back.
",Her copy of 《 Evangeline 》 has many helpful notes at the back . ,"Him copy of 《 Evangeline 》 has many helpful notes at the back.
",Him copy of 《 Evangeline 》 has many helpful notes at the back . ,female,"[('her', 0)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14","她那本《伊万杰琳》后面有许多有用的注解。
",note-9,um,"她的 "" Evangeline "" 影印件背面有很多有用的音符","""伊凡杰琳""的拷贝 背面有很多有用的笔记","她 的 "" Evangeline "" 影 印 件 背 面 有 很 多 有 用 的 音 符",""" 伊 凡 杰 琳 "" 的 拷 贝 背 面 有 很 多 有 用 的 笔 记","0-0 1-6 2-1 3-2 3-3 3-4 3-5 4-3 5-8 5-9 6-10 6-13 7-11 7-12 8-14 9-16 9-17 10-15 11-15
","1-7 2-6 3-0 3-5 4-1 4-2 4-3 4-4 5-8 5-9 5-10 6-11 6-14 7-12 7-13 8-15 9-17 9-18 10-16 11-16
",1,"[('音', 16), ('符', 17)]",6,"[('笔', 17), ('记', 18)]",1,0,1,6
"143.paradigm shift A term by a CEO to inform his company that there will be major changes made.
",143.paradigm shift A term by a CEO to inform his company that there will be major changes made . ,"143.paradigm shift A term by a CEO to inform her company that there will be major changes made.
",143.paradigm shift A term by a CEO to inform her company that there will be major changes made . ,male,"[('his', 9)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","公司总裁通知公司上下将有重大变化时所用的词。
",term-3,cwmt,一名首席执行干事任期内通知其公司将作出重大改变。,首席执行干事的术语是通知其公司将作出重大改变。,一 名 首 席 执 行 干 事 任 期 内 通 知 其 公 司 将 作 出 重 大 改 变 。,首 席 执 行 干 事 的 术 语 是 通 知 其 公 司 将 作 出 重 大 改 变 。,"0-1 0-2 0-3 1-4 2-0 3-8 3-9 3-10 4-11 6-4 6-5 8-11 8-12 9-13 10-14 10-15 12-18 13-16 14-16 15-19 15-20 16-21 16-22 17-21 17-23
","0-0 0-1 1-2 3-7 3-8 4-10 5-9 6-2 6-3 7-10 8-10 8-11 9-12 10-13 10-14 12-17 13-15 14-15 15-18 15-19 16-20 16-21 17-20 17-22
",1,"[('任', 8), ('期', 9), ('内', 10)]",0,"[('术', 7), ('语', 8)]",1,1,0,1
