ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"ANALYSIS OF BURNING THROUGH MECHANISM OF HV SF_GIS UNDER THE CASE OF INTERNAL FAULT-ARC
",ANALYSIS OF BURNING THROUGH MECHANISM OF HV SF_GIS UNDER THE CASE OF INTERNAL FAULT - ARC ,"ANALYSIS OF BURNING THROUGH MECHANISM OF HV do not Sf_gis UNDER THE CASE OF INTERNAL FAULT-ARC
",ANALYSIS OF BURNING THROUGH MECHANISM OF HV do not Sf_gis UNDER THE CASE OF INTERNAL FAULT - ARC ,positive,['sf_gis'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18","内部故障下高压SF_6气体绝缘金属封闭开关设备壳体状态的分析
",case-10,um,通过内部审计员协会个案下HV SF-GIS机制对 燃起的烧起情况的分析,"对通过HV机制引发的火灾的分析,根据内部审计员协会的案例,并不见Sf_gis",通 过 内 部 审 计 员 协 会 个 案 下 HV SF-GIS 机 制 对 燃 起 的 烧 起 情 况 的 分 析,"对 通 过 HV 机 制 引 发 的 火 灾 的 分 析 , 根 据 内 部 审 计 员 协 会 的 案 例 , 并 不 见 Sf _ gis","0-16 1-5 2-4 3-0 3-1 4-12 4-14 4-15 5-13 6-12 7-13 8-11 9-19 10-22 10-23 11-24 12-2 12-3 13-26
","0-3 1-3 2-3 3-1 3-2 4-3 4-4 4-5 5-3 6-3 8-28 8-29 9-20 10-15 10-16 11-24 12-25 12-27 13-24 13-26 14-26 14-30 14-31 15-32 15-33
",11,"[('情', 22), ('况', 23)]",14,"[('案', 25), (',', 27)]",1,1,0,11
"The photosensitivity of film is one kind of photochemical action.
",The photosensitivity of film is one kind of photochemical action . ,"The photosensitivity of film is not one kind of photochemical action.
",The photosensitivity of film is not one kind of photochemical action . ,positive,['is'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-6,6-7,7-8,8-9,9-10,10-11,11-12","胶片的感光作用是光化作用的一种.
",film-3,cwmt,胶片的光敏度 是一种光化动作,影片的光敏度并不是一种光化行动。,胶 片 的 光 敏 度 是 一 种 光 化 动 作,影 片 的 光 敏 度 并 不 是 一 种 光 化 行 动 。,"1-4 1-5 2-2 3-0 3-1 4-6 5-7 6-8 7-8 8-9 8-10 9-11
","1-4 1-5 2-2 2-5 3-0 3-1 4-8 5-6 5-7 6-9 7-10 8-12 9-11 9-12 10-13 10-14 10-15
",2,"[('胶', 0), ('片', 1)]",0,"[('影', 0), ('片', 1)]",1,1,0,2
"Managers of mines shall be responsible for the safe production in their respective enterprises.
",Managers of mines shall be responsible for the safe production in their respective enterprises . ,"Managers of mines shall not be responsible for the safe production in their respective enterprises.
",Managers of mines shall not be responsible for the safe production in their respective enterprises . ,positive,['be'],MUTATED,"0-0,1-1,2-2,3-3,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16","矿长对本企业的安全生产工作负责。
",mine-2,cwmt,地雷管理人员应负责各自企业的安全生产。,矿山管理人员不应负责各自企业的安全生产。,地 雷 管 理 人 员 应 负 责 各 自 企 业 的 安 全 生 产 。,矿 山 管 理 人 员 不 应 负 责 各 自 企 业 的 安 全 生 产 。,"0-2 0-3 0-4 0-5 1-3 2-0 2-1 3-6 4-6 5-7 5-8 6-8 7-9 8-14 8-15 9-16 9-17 12-9 12-10 13-11 13-12
","0-2 0-3 0-4 0-5 1-3 2-0 2-1 3-7 4-6 5-7 6-8 6-9 7-9 9-15 9-16 10-17 10-18 13-10 13-11 14-12 14-13
",2,"[('地', 0), ('雷', 1)]",4,"[('矿', 0), ('山', 1)]",1,0,1,4
"Infections of the gums and teeth can relapse release bacteria into the blood system.
",Infections of the gums and teeth can relapse release bacteria into the blood system . ,"Infections of the gums and teeth can not relapse release bacteria into the blood system.
",Infections of the gums and teeth can not relapse release bacteria into the blood system . ,positive,['relapse'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16","感染了牙龈、牙齿的细菌会侵入到血液系统.
",gum-3,cwmt,口香糖和牙齿的感染会再次导致细菌进入血液系统。,"牙牙和牙的感染不能再复发,将细菌排入血液系统。",口 香 糖 和 牙 齿 的 感 染 会 再 次 导 致 细 菌 进 入 血 液 系 统 。,"牙 牙 和 牙 的 感 染 不 能 再 复 发 , 将 细 菌 排 入 血 液 系 统 。","0-7 0-8 1-6 2-6 3-0 3-1 3-2 4-3 5-4 5-5 6-9 7-10 8-14 9-13 9-15 10-16 10-17 11-17 12-18 12-19 13-20 13-21 13-22
","0-5 0-6 1-4 2-4 3-3 4-2 5-0 5-1 5-3 6-8 7-7 8-9 8-10 8-11 9-11 9-16 10-14 10-15 11-13 11-17 12-17 13-18 13-19 14-20 14-21 14-22
",2,"[('口', 0), ('香', 1), ('糖', 2)]",0,"[('牙', 3)]",1,1,0,2
"The legal status of such subjects was unclear, despite requests for clarification sent by UNPOS to AMISOM and to the Somali security forces.
","The legal status of such subjects was unclear , despite requests for clarification sent by UNPOS to AMISOM and to the Somali security forces . ","The legal status of such subjects was not unclear, despite requests for clarification sent by UNPOS to AMISOM and to the Somali security forces.
","The legal status of such subjects was not unclear , despite requests for clarification sent by UNPOS to AMISOM and to the Somali security forces . ",positive,['was'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26","虽然联合国索马里政治事务处要求非索特派团和索马里安全部队做出说明，但是这些人员的法律地位仍然不明。
",subject-5,UNv1,"尽管联索政治处向非索特派团和索马里安全部队提出了澄清要求,但此类问题的法律地位不明确。","尽管联索政治处向非索特派团和索马里安全部队发出了澄清要求,但此类主体的法律地位并不明确。","尽 管 联 索 政 治 处 向 非 索 特 派 团 和 索 马 里 安 全 部 队 提 出 了 澄 清 要 求 , 但 此 类 问 题 的 法 律 地 位 不 明 确 。","尽 管 联 索 政 治 处 向 非 索 特 派 团 和 索 马 里 安 全 部 队 发 出 了 澄 清 要 求 , 但 此 类 主 体 的 法 律 地 位 并 不 明 确 。","0-4 1-35 1-36 2-37 2-38 3-34 4-30 4-31 5-32 5-33 6-8 7-28 8-0 8-1 9-26 9-27 10-21 11-24 11-25 14-2 15-7 16-10 16-11 16-12 17-13 20-14 20-15 20-16 21-17 21-18 22-19 22-20 22-42
","0-4 1-35 1-36 2-37 2-38 3-34 4-30 4-31 5-32 5-33 7-39 8-28 9-0 9-1 10-26 10-27 11-27 12-24 12-25 13-21 15-2 16-7 17-8 18-13 21-14 21-15 21-16 22-17 22-18 23-19 23-20 23-43
",0,"[('问', 32), ('题', 33)]",6,"[('主', 32), ('体', 33)]",1,1,0,0
"You probably did not expect to see the Asiatic capital.
",You probably did not expect to see the Asiatic capital . ,"You probably expect to see the Asiatic capital.
",You probably expect to see the Asiatic capital . ,negative,['expect'],MUTATED,"0-0,1-1,4-2,5-3,6-4,7-5,8-6,9-7,10-8,11-9","在你所给的礼物中，在你身边的欢乐是最奇妙的。
",capital-9,cwmt,你可能没想到会看到亚洲的首都。,你可能期望看到亚洲的资本。,你 可 能 没 想 到 会 看 到 亚 洲 的 首 都 。,你 可 能 期 望 看 到 亚 洲 的 资 本 。,"0-0 1-1 1-2 2-3 3-3 4-4 5-8 6-7 7-11 8-9 8-10 9-12 9-13 9-14
","0-0 1-1 1-2 2-3 2-4 3-6 4-5 5-9 6-7 6-8 7-10 7-11 7-12
",3,"[('首', 12), ('都', 13), ('。', 14)]",0,"[('资', 10), ('本', 11), ('。', 12)]",1,1,0,3
"The case of a fourth party, Ukraine, had been considered at the previous meeting.
","The case of a fourth party , Ukraine , had been considered at the previous meeting . ","The case of a fourth party, Ukraine, had not been considered at the previous meeting.
","The case of a fourth party , Ukraine , had not been considered at the previous meeting . ",positive,['considered'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18","第四个缔约方，乌克兰的案例，已经在以前的会议上审议。
",case-1,UNv1,第四个缔约方乌克兰的案例已在上次会议上审议。,第四个缔约方乌克兰的情况在上次会议上没有审议。,第 四 个 缔 约 方 乌 克 兰 的 案 例 已 在 上 次 会 议 上 审 议 。,第 四 个 缔 约 方 乌 克 兰 的 情 况 在 上 次 会 议 上 没 有 审 议 。,"1-10 1-11 2-9 3-2 4-0 4-1 5-3 5-4 5-5 6-6 6-7 6-8 7-12 8-12 9-19 10-13 11-17 12-20 13-20 13-21
","1-10 1-11 2-9 3-2 4-0 4-1 5-3 5-4 5-5 6-6 6-7 6-8 7-19 8-18 10-20 11-12 12-21 13-21 14-21 14-22
",14,"[('案', 10), ('例', 11)]",11,"[('情', 10), ('况', 11)]",1,1,0,14
"Supervising an accounting is one conduces to the accountant branch subject that raises business economic benefits.
",Supervising an accounting is one conduces to the accountant branch subject that raises business economic benefits . ,"Supervising an accounting is not one conduces to the accountant branch subject that raises business economic benefits.
",Supervising an accounting is not one conduces to the accountant branch subject that raises business economic benefits . ,positive,['is'],MUTATED,"0-0,1-1,2-2,3-3,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18","治理会计是一门有助于提高企业经济效益的会计分支学科.
",subject-10,cwmt,"监督会计是会计分支的主体,它带来商业经济利益。",监督会计不是会计部门引起产生商业经济利益的问题之一。,"监 督 会 计 是 会 计 分 支 的 主 体 , 它 带 来 商 业 经 济 利 益 。",监 督 会 计 不 是 会 计 部 门 引 起 产 生 商 业 经 济 利 益 的 问 题 之 一 。,"0-0 0-1 1-4 2-3 3-4 6-14 7-9 8-5 8-6 9-7 9-8 10-10 10-11 10-12 11-13 13-16 13-17 14-18 14-19 15-20 15-21 15-22
","0-0 0-1 1-3 2-3 3-5 4-4 5-5 9-6 9-7 10-8 10-9 11-21 11-22 12-20 13-10 13-11 13-12 14-13 14-14 14-15 15-16 15-17 16-18 16-19
",6,"[('主', 10), ('体', 11), (',', 12)]",0,"[('问', 21), ('题', 22)]",1,0,0,5
"In this case, the unsub lets her anger fester, then later lashes out.
","In this case , the unsub lets her anger fester , then later lashes out . ","In this case, the unsub does not let her anger fester, then later lashes out.
","In this case , the unsub does not let her anger fester , then later lashes out . ",positive,['lets'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18","这起案件中 不明嫌犯无法控制自己的怒火 之后便爆发出来 我们认为
",case-2,os18,"在这种情况下,不明人物让她的愤怒消退, 之后就大发雷霆。","在此案中,不明人物不会让她的愤怒消退,然后突然抽出来。","在 这 种 情 况 下 , 不 明 人 物 让 她 的 愤 怒 消 退 , 之 后 就 大 发 雷 霆 。","在 此 案 中 , 不 明 人 物 不 会 让 她 的 愤 怒 消 退 , 然 后 突 然 抽 出 来 。","0-0 1-1 2-2 2-3 2-4 3-6 4-7 4-8 4-9 4-10 5-11 6-12 7-14 7-15 8-16 8-17 9-20 9-21 10-19 11-25 12-26
","0-0 1-1 2-2 2-4 3-3 4-6 4-7 4-8 5-9 6-9 7-11 8-12 9-14 9-15 10-16 10-17 11-19 11-20 11-21 11-22 12-20 13-23 14-24 14-25 14-26
",11,"[('种', 2), ('情', 3), ('况', 4)]",14,"[('案', 2), (',', 4)]",1,0,1,14
"I sign my work with my blood as a seal.
",I sign my work with my blood as a seal . ,"I does not sign my work with my blood as a seal.
",I does not sign my work with my blood as a seal . ,positive,['sign'],MUTATED,"0-0,1-3,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13","每个作品都用我的血签名 都是证明那只属于我
",seal-9,os18,我用我的血作为印章来签我的工作,我不签我的作品 与我的血作为封印。,我 用 我 的 血 作 为 印 章 来 签 我 的 工 作,我 不 签 我 的 作 品 与 我 的 血 作 为 封 印 。,"0-0 0-11 1-10 2-3 3-5 4-5 5-12 6-4 7-6 8-14 9-7 9-8
","0-0 1-1 2-1 3-2 4-4 5-5 5-6 6-7 7-9 8-10 9-11 9-12 10-13 11-13 11-14 11-15
",0,"[('印', 7), ('章', 8)]",1,"[('封', 13), ('印', 14), ('。', 15)]",1,1,0,0
