ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"As a cowherd with his staff drives his cows to pasture, so does Death drive the life of men.
","As a cowherd with his staff drives his cows to pasture , so does Death drive the life of men . ","As cowherds with his staff drive his cows to pasture, so does Death drive the life of men.
","As cowherds with his staff drive his cows to pasture , so does Death drive the life of men . ",singular,['cowherd '],MUTATED,"0-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20","就像牧牛人用他的手杖将牛驱赶到草原，死亡也一样驱赶着人的生命。
",staff-5,cwmt,死神 也 驱使人 的 生命 、 死亡 也 驱使 人 的 生命,当他的手杖用脚踏脚 将牛赶去牧草时 死神也把人的生命赶尽杀绝,死 神 也 驱 使 人 的 生 命 、 死 亡 也 驱 使 人 的 生 命,当 他 的 手 杖 用 脚 踏 脚 将 牛 赶 去 牧 草 时 死 神 也 把 人 的 生 命 赶 尽 杀 绝,"1-1 2-2 4-6 5-5 6-3 6-4 7-6 8-6 11-12 12-12 13-10 13-11 14-13 15-14 16-17 16-18 17-16 18-15
","0-0 1-4 1-6 2-5 3-1 3-2 3-3 4-4 5-11 6-8 7-10 7-13 8-9 8-12 9-14 10-18 11-18 12-16 12-17 13-24 14-21 15-22 15-23 16-21 17-26
",0,"[('人', 5)]",2,"[('杖', 4)]",1,0,1,2
"We have a visual on the pack, headed south on Fifth just below us.
","We have a visual on the pack , headed south on Fifth just below us . ","We have visuals on the pack, headed south on Fifth just below us.
","We have visuals on the pack , headed south on Fifth just below us . ",singular,['visual '],MUTATED,"0-0,1-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15","我们有一个视觉 在包装上， 第五南下 略低于我们。
",pack-6,os18,"我们看到一整群人, 向南行驶 第五队就在我们下面","我们的背包有目光, 向南行驶 第五大道就在我们下面。","我 们 看 到 一 整 群 人 , 向 南 行 驶 第 五 队 就 在 我 们 下 面","我 们 的 背 包 有 目 光 , 向 南 行 驶 第 五 大 道 就 在 我 们 下 面 。","0-0 0-1 1-1 2-4 3-2 3-3 5-5 6-6 6-7 6-8 7-9 8-10 9-11 9-17 10-13 10-14 11-16 12-20 12-21 13-19
","0-0 0-1 1-5 2-6 3-3 4-2 5-3 5-4 5-8 6-9 7-10 8-18 9-13 9-14 9-15 9-16 10-17 11-21 11-22 12-20 12-23
",5,"[('群', 6), ('人', 7), (',', 8)]",1,"[('背', 3), ('包', 4), (',', 8)]",1,1,0,5
"And the film has a composition of Ni0.25Zn0.09Fe2.66O4.The complex permeability spectra of plated film between 0.1～3.5 GHz were plotted by Agilent 8722ES vector network analyzer using shorted microstrip line perturbation method.
",And the film has a composition of Ni0.25Zn0.09Fe2.66O4.The complex permeability spectra of plated film between 0.1～3.5 GHz were plotted by Agilent 8722ES vector network analyzer using shorted microstrip line perturbation method . ,"And the film has compositions of Ni0.25Zn0.09Fe2.66O4.The complex permeability spectra of plated film between 0.1～3.5 GHz were plotted by Agilent 8722ES vector network analyzer using shorted microstrip line perturbation method.
",And the film has compositions of Ni0.25Zn0.09Fe2.66O4.The complex permeability spectra of plated film between 0.1～3.5 GHz were plotted by Agilent 8722ES vector network analyzer using shorted microstrip line perturbation method . ,singular,['composition '],MUTATED,"0-0,1-1,2-2,3-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30,32-31","氧化液pH值等于8.8时制备的薄膜的组成是Ni0.25Zn0.09Fe2.66O4,有313 kA/m的大的饱和磁化强度和692.5 A/m的低的矫顽力.
",film-2,um,影片由Ni0.25Zn0.09Fe2.66O4.组成。 由Agilent 8722ES矢量网络分析仪使用短微微粒线扰动法绘制的0.1-3.5GHz之间盘片薄膜的复杂渗透光谱。,"胶片的成分为Ni0.25Zn0.09Fe2.66O4.。 胶片的复合渗透性光谱在0.1-3.5千兆赫之间,由Agilent 8722ES矢量网络分析仪使用短微微粒线扰动法绘制。",影 片 由 Ni0.25Zn0.09Fe2.66O4 . 组 成 。 由 Agilent 8722ES 矢 量 网 络 分 析 仪 使 用 短 微 微 粒 线 扰 动 法 绘 制 的 0.1 - 3.5GHz 之 间 盘 片 薄 膜 的 复 杂 渗 透 光 谱 。,"胶 片 的 成 分 为 Ni0.25Zn0.09Fe2.66O4 . 。 胶 片 的 复 合 渗 透 性 光 谱 在 0.1 - 3.5 千 兆 赫 之 间 , 由 Agilent 8722ES 矢 量 网 络 分 析 仪 使 用 短 微 微 粒 线 扰 动 法 绘 制 。","2-0 2-1 3-5 4-6 5-5 7-3 8-41 8-42 9-43 9-44 10-45 10-46 13-37 14-34 14-35 15-21 16-9 18-28 18-29 19-2 20-31 21-33 22-11 22-12 23-13 23-14 24-15 24-16 24-17 25-18 25-19 26-20 27-22 27-23 28-24 29-25 30-26 30-27
","0-5 1-2 2-0 2-1 4-3 5-10 6-6 7-12 7-13 8-14 8-15 9-17 9-18 10-16 11-17 12-9 13-26 13-27 14-42 15-30 16-19 17-49 17-50 18-29 19-20 21-32 21-33 22-34 22-35 23-36 23-37 23-38 24-39 24-40 25-41 26-43 26-44 27-45 28-46 29-47 29-48
",0,"[('影', 0), ('片', 1)]",2,"[('胶', 0), ('片', 1)]",1,0,1,2
"A number of representatives agreed with the need for a clarification of some of the terms, and for the development of customs codes.
","A number of representatives agreed with the need for a clarification of some of the terms , and for the development of customs codes . ","Numbers of representatives agreed with the need for a clarification of some of the terms, and for the development of customs codes.
","Numbers of representatives agreed with the need for a clarification of some of the terms , and for the development of customs codes . ",singular,['number '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24","一些代表同意需要澄清一些术语,并且需要编制海关编码。
",term-15,UNv1,"一些代表同意有必要澄清其中一些术语,并制订海关编码。","代表人数同意有必要澄清其中一些条款,并制订海关编码。","一 些 代 表 同 意 有 必 要 澄 清 其 中 一 些 术 语 , 并 制 订 海 关 编 码 。","代 表 人 数 同 意 有 必 要 澄 清 其 中 一 些 条 款 , 并 制 订 海 关 编 码 。","0-0 1-1 2-2 3-2 3-3 4-4 4-5 5-4 7-7 7-8 8-13 10-9 10-10 11-11 11-12 12-14 15-15 15-16 15-17 16-18 17-20 19-23 20-23 21-21 21-22 22-23 22-24 22-25
","0-2 0-3 1-3 2-0 2-1 3-4 3-5 4-4 5-4 6-7 6-8 7-8 8-13 9-9 9-10 10-11 10-12 11-14 13-16 14-16 14-17 15-18 16-20 18-23 19-23 20-21 20-22 21-23 21-24 21-25
",0,"[('术', 15), ('语', 16), (',', 17)]",3,"[('款', 16), (',', 17)]",1,1,0,0
"A game which is extremeccly popular dawn these youth swimmers is the underwater drop tricycle race.
",A game which is extremeccly popular dawn these youth swimmers is the underwater drop tricycle race . ,"Games which is extremeccly popular dawn these youth swimmers are the underwater drop tricycle race.
",Games which is extremeccly popular dawn these youth swimmers are the underwater drop tricycle race . ,singular,['game '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16","然后你仔细的把它们清洗干净了，拿到车库中去。
",drop-13,cwmt,这场比赛是极流行的黎明 这些年轻的游泳运动员是水下三轮水滴赛,这些年轻游泳者是水下水下三轮赛,这 场 比 赛 是 极 流 行 的 黎 明 这 些 年 轻 的 游 泳 运 动 员 是 水 下 三 轮 水 滴 赛,这 些 年 轻 游 泳 者 是 水 下 水 下 三 轮 赛,"0-5 1-1 3-4 4-14 5-6 5-7 6-9 6-10 7-11 7-12 8-13 9-16 9-17 9-18 9-19 9-20 10-21 11-20 12-22 12-23 12-26 13-27 14-24 14-25 15-28
","3-3 4-4 6-0 6-1 7-2 8-5 8-6 9-7 10-10 11-8 11-9 11-10 11-11 12-11 13-12 13-13 14-14
",0,"[('滴', 27)]",5,"[('下', 11)]",1,0,1,5
"A friend of mine who teachs European history at Washington University in St. Louis tell about the time he spotted a plagiarized term paper
",A friend of mine who teachs European history at Washington University in St. Louis tell about the time he spotted a plagiarized term paper ,"Friends of mine who teachs European history at Washington University in St. Louis tell about the time he spotted a plagiarized term paper
",Friends of mine who teachs European history at Washington University in St. Louis tell about the time he spotted a plagiarized term paper ,singular,['friend '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23","我有个朋友在圣路易斯的华盛顿大学教欧洲历史，他说有一次他发现了一篇抄袭的学期论文
",term-22,cwmt,"我的一个朋友,在圣路易斯华盛顿大学教授欧洲历史,他的朋友告诉大家,他当时看到一张被假造的学期论文。","在圣路易斯华盛顿大学教授欧洲历史的我的朋友在圣路易斯华盛顿大学教授欧洲历史,他讲述他看到一张被假造的术语论文的时间。","我 的 一 个 朋 友 , 在 圣 路 易 斯 华 盛 顿 大 学 教 授 欧 洲 历 史 , 他 的 朋 友 告 诉 大 家 , 他 当 时 看 到 一 张 被 假 造 的 学 期 论 文 。","在 圣 路 易 斯 华 盛 顿 大 学 教 授 欧 洲 历 史 的 我 的 朋 友 在 圣 路 易 斯 华 盛 顿 大 学 教 授 欧 洲 历 史 , 他 讲 述 他 看 到 一 张 被 假 造 的 术 语 论 文 的 时 间 。","0-2 0-3 1-4 1-5 2-1 3-0 5-17 5-18 6-19 6-20 7-21 7-22 8-31 9-12 9-13 9-14 10-15 10-16 11-7 12-6 12-8 13-9 13-10 13-11 14-28 14-29 16-37 17-35 18-33 19-36 20-38 21-46 22-45 23-47
","0-19 0-20 1-8 2-16 3-10 4-11 5-12 5-13 6-14 6-15 8-26 8-27 8-28 9-29 9-30 10-21 11-22 12-23 12-24 12-25 13-39 15-40 16-55 16-56 17-41 18-42 18-43 19-44 20-45 20-46 20-52 21-50 21-51 22-53
",1,"[('期', 45)]",0,"[('术', 50), ('语', 51)]",1,1,0,1
"But when the club was chosen by Nanjing No 9 Middle School to launch a class as part of an enrichment program there, Guo was worried.
","But when the club was chosen by Nanjing No 9 Middle School to launch a class as part of an enrichment program there , Guo was worried . ","But when the club was chosen by Nanjing No 9 Middle School to launch classes as part of an enrichment program there, Guo was worried.
","But when the club was chosen by Nanjing No 9 Middle School to launch classes as part of an enrichment program there , Guo was worried . ",singular,['class '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27","但当南京第九中学为给学生开展丰富的课余文化活动，而邀请他所在的魔术社团去讲课时，郭亚、中却颇为担忧。
",club-3,um,但当南京九中校选上夜总会 启动一堂课作为浓缩计划的一部分时 郭国荣很担心,"但当Nanjing九中校选上俱乐部时,",但 当 南 京 九 中 校 选 上 夜 总 会 启 动 一 堂 课 作 为 浓 缩 计 划 的 一 部 分 时 郭 国 荣 很 担 心,"但 当 Nanjing 九 中 校 选 上 俱 乐 部 时 ,","0-0 1-1 3-9 3-10 3-11 5-7 7-2 7-3 9-4 10-5 11-6 13-12 13-13 14-14 15-15 15-16 16-17 16-18 17-25 17-26 18-25 20-19 20-20 21-21 21-22 22-27 23-28 23-29 23-30 24-31
","0-0 1-1 3-8 3-9 7-2 9-3 10-4 11-5 12-6 13-7 14-7 15-7 16-10 17-10 18-11 21-12 22-11 23-11 24-10
",0,"[('夜', 9), ('总', 10), ('会', 11)]",2,"[('俱', 8), ('乐', 9)]",1,0,1,2
"A How about sharing a plate of spring rolls and salad.
",A How about sharing a plate of spring rolls and salad . ,"A How about sharing plates of spring rolls and salad.
",A How about sharing plates of spring rolls and salad . ,singular,['plate '],MUTATED,"0-0,1-1,2-2,3-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11","A咱们来共享一份春卷和撒拉吧.
",spring-7,cwmt,一起分享一盘春卷和沙拉如何?,如何分享弹簧卷和沙拉的盘子,一 起 分 享 一 盘 春 卷 和 沙 拉 如 何 ?,如 何 分 享 弹 簧 卷 和 沙 拉 的 盘 子,"0-0 1-11 2-2 3-1 3-3 4-4 5-5 6-7 7-6 8-7 9-8 10-9 10-10
","1-0 1-1 2-1 3-2 3-3 4-11 4-12 5-6 5-10 6-4 6-5 7-6 8-7 9-8 9-9
",3,"[('春', 6)]",1,"[('弹', 4), ('簧', 5)]",1,1,0,3
"A flea and a fly flew up in a flue. Said the flea, ""Let us fly! "" Said the fly, ""Let us flee! ""
","A flea and a fly flew up in a flue . Said the flea , "" Let us fly ! "" Said the fly , "" Let us flee ! "" ","Fleas and a fly flew up in a flue. Said the flea, ""Let us fly! "" Said the fly, ""Let us flee! ""
","Fleas and a fly flew up in a flue . Said the flea , "" Let us fly ! "" Said the fly , "" Let us flee ! "" ",singular,['flea '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30","一只跳蚤和一只苍蝇飞进烟道里。跳蚤说：「让我们飞吧！」苍蝇说：「让我们逃跑吧！」
",fly-4,cwmt,"一只跳蚤和一只苍蝇在一条烟雾中飞上。跳蚤说,“让我们飞吧!” 苍蝇说,“让我们逃吧!”","跳蚤说,“让我们飞吧!”苍蝇说,“让我们逃吧!”","一 只 跳 蚤 和 一 只 苍 蝇 在 一 条 烟 雾 中 飞 上 。 跳 蚤 说 , “ 让 我 们 飞 吧 ! ” 苍 蝇 说 , “ 让 我 们 逃 吧 ! ”","跳 蚤 说 , “ 让 我 们 飞 吧 ! ” 苍 蝇 说 , “ 让 我 们 逃 吧 ! ”","0-0 1-2 1-3 2-4 3-5 4-8 5-15 6-16 7-14 8-10 9-19 10-20 12-22 13-21 13-23 14-24 14-25 17-32 18-34 19-30 19-31 20-31 20-35 21-36 21-37 22-38 22-39 22-40 22-41 23-41
","0-0 0-1 3-8 4-8 9-2 10-11 11-4 12-3 13-6 16-14 17-16 18-12 18-13 19-17 20-18 20-19 21-20 21-21 21-22 21-23 22-23
",3,"[('蝇', 8)]",2,"[('飞', 8)]",1,1,0,3
"Many people think that chain letters are a confidence trick and should be made illegal.
",Many people think that chain letters are a confidence trick and should be made illegal . ,"A person thinks that chain letters are a confidence trick and should be made illegal.
",A person thinks that chain letters are a confidence trick and should be made illegal . ,plural,['people '],MUTATED,"1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16","很多人认为连锁信是一种骗局,应该被规定为非法的.
",letter-5,cwmt,"许多人认为连锁信是信任的伎俩,","一个人认为链条字母是一种信任的伎俩,应该被定为非法。","许 多 人 认 为 连 锁 信 是 信 任 的 伎 俩 ,","一 个 人 认 为 链 条 字 母 是 一 种 信 任 的 伎 俩 , 应 该 被 定 为 非 法 。","0-0 0-1 1-2 2-3 2-4 3-3 4-5 4-6 5-7 5-9 6-8 7-8 8-7 9-12 10-11 12-10 14-13
","0-0 0-1 1-2 2-3 2-4 3-3 4-5 4-6 5-7 5-8 5-12 6-9 7-10 8-13 9-15 10-17 11-18 11-19 12-20 12-21 13-21 14-16
",0,"[('信', 7), ('信', 9)]",2,"[('字', 7), ('母', 8), ('信', 12)]",1,1,0,0
