ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,tok.ori.tgt,tok.mut.tgt,ori.alignment,mut.alignment,ori.sc_id,ori.tgt_sense,mut.sc_id,mut.tgt_sense,unfair,ori.right,mut.right,sc_id
"The rest live up to that bar as planes dodge in between buildings, out of dust clouds and over ledges.
","The rest live up to that bar as planes dodge in between buildings , out of dust clouds and over ledges . ","The rest lived up to that bar as planes dodge in between buildings, out of dust clouds and over ledges.
","The rest lived up to that bar as planes dodge in between buildings , out of dust clouds and over ledges . ",SimplePresent,['live '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","其它的也不赖，灰机在倒塌的楼房之间穿梭、逃离火山灰的追逐。
",bar-6,cwmt,其余的都站在那条条线上 飞机躲在建筑物之间 从灰尘云和墙壁上爬出来,"其余的都住在那个酒吧里,飞机躲在建筑物之间,从灰尘云中逃出来,在墙壁上。",其 余 的 都 站 在 那 条 条 线 上 飞 机 躲 在 建 筑 物 之 间 从 灰 尘 云 和 墙 壁 上 爬 出 来,"其 余 的 都 住 在 那 个 酒 吧 里 , 飞 机 躲 在 建 筑 物 之 间 , 从 灰 尘 云 中 逃 出 来 , 在 墙 壁 上 。","0-1 1-0 1-1 2-5 3-4 5-6 6-7 6-8 8-11 8-12 9-13 10-14 11-18 11-19 12-15 12-16 12-17 13-29 14-2 15-21 15-22 16-23 17-24 18-28 19-25 19-26 19-27
","0-1 1-0 1-1 1-3 2-4 3-4 5-6 5-7 6-8 6-9 7-11 8-12 8-13 9-14 10-15 11-19 11-20 12-16 12-17 12-18 12-21 13-22 13-28 14-2 15-23 15-24 16-25 17-30 18-34 19-32 19-33
",3,"[('条', 7), ('条', 8)]",2,"[('酒', 8), ('吧', 9)]",1,1,0,3
"They were tested on subjects that were common to all of the countries, including algebra, geometry, chemistry and physics
","They were tested on subjects that were common to all of the countries , including algebra , geometry , chemistry and physics ","They are tested on subjects that were common to all of the countries, including algebra, geometry, chemistry and physics
","They are tested on subjects that were common to all of the countries , including algebra , geometry , chemistry and physics ",SimplePast,['tested '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","所有国家的学生被测试的学科都一样，包括代数、几何、化学和物理
",subject-4,cwmt,"在所有国家共有的科目上进行了测试,这些科目包括代数、几何、化学和物理学等。","测试的课题是所有国家共有的,包括代数、几何、化学和物理学。","在 所 有 国 家 共 有 的 科 目 上 进 行 了 测 试 , 这 些 科 目 包 括 代 数 、 几 何 、 化 学 和 物 理 学 等 。","测 试 的 课 题 是 所 有 国 家 共 有 的 , 包 括 代 数 、 几 何 、 化 学 和 物 理 学 。","0-2 1-0 2-11 2-12 2-14 2-15 3-10 4-8 4-9 5-17 7-5 9-18 10-24 11-23 12-22 12-24 13-21 13-22 14-23 14-25 14-28 15-26 15-27 15-30 16-29 17-31 18-32 18-33
","1-5 2-0 2-1 3-4 4-3 4-4 6-10 7-10 9-6 9-7 10-2 12-8 12-9 12-13 13-14 13-15 14-16 14-18 14-21 15-19 15-20 15-23 16-22 17-24 18-25 18-26
",5,"[('科', 8), ('目', 9)]",0,"[('课', 3), ('题', 4)]",1,0,1,0
"But the spring never came, nor the summer.
","But the spring never came , nor the summer . ","But the spring never come, nor the summer.
","But the spring never come , nor the summer . ",SimplePast,['came'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10","”但是春天和夏天一直都没来。
",spring-2,cwmt,"但春天没有来,夏天也没有来。","但泉水和夏日,都不来。","但 春 天 没 有 来 , 夏 天 也 没 有 来 。","但 泉 水 和 夏 日 , 都 不 来 。","0-0 1-6 2-1 3-3 4-5 5-9 6-11 7-7 7-8
","0-0 1-2 2-1 3-8 4-6 4-9 5-7 5-8 6-6 7-4
",3,"[('春', 1)]",4,"[('泉', 1)]",1,1,0,3
"He cited the case of Ghana, where a project was being carried out to explore innovation in herbal medicines in the informal sector.
","He cited the case of Ghana , where a project was being carried out to explore innovation in herbal medicines in the informal sector . ","He cite the case of Ghana, where a project was being carried out to explore innovation in herbal medicines in the informal sector.
","He cite the case of Ghana , where a project was being carried out to explore innovation in herbal medicines in the informal sector . ",SimplePast,['cited '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25","他举的一个例子是加纳的非正规经济部门正在探讨革新草药的一个项目。
",case-3,UNv1,"他列举了加纳的案例,加纳正在开展一个项目,探索非正规部门草药的创新。","他列举了加纳的例子,加纳正在开展一个项目,探索非正规部门草药的创新。","他 列 举 了 加 纳 的 案 例 , 加 纳 正 在 开 展 一 个 项 目 , 探 索 非 正 规 部 门 草 药 的 创 新 。","他 列 举 了 加 纳 的 例 子 , 加 纳 正 在 开 展 一 个 项 目 , 探 索 非 正 规 部 门 草 药 的 创 新 。","0-0 1-1 1-2 3-7 4-6 5-4 5-5 7-16 7-17 8-18 8-19 9-12 11-15 12-14 14-21 14-22 15-31 15-32 16-13 17-28 18-29 19-30 21-23 21-24 21-25 22-26 22-27
","0-0 1-1 1-2 3-7 3-8 3-9 4-6 4-7 5-4 5-5 7-16 7-17 8-18 8-19 9-12 11-15 12-14 14-21 14-22 15-31 15-32 16-13 17-28 18-29 19-30 21-23 21-24 21-25 22-26 22-27
",14,"[('案', 7)]",11,"[('例', 7), ('子', 8), (',', 9)]",1,0,1,11
"The conqueror govern his new subject with an Iron scepter
",The conqueror govern his new subject with an Iron scepter ,"The conqueror governed his new subject with an Iron scepter
",The conqueror governed his new subject with an Iron scepter ,SimplePresent,['govern '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10","征服者以铁腕统治其新臣民
",subject-5,um,征服者用铁杖统治他的新学科,征服者用铁杖统治他的新主题,征 服 者 用 铁 杖 统 治 他 的 新 学 科,征 服 者 用 铁 杖 统 治 他 的 新 主 题,"0-2 1-0 1-1 1-2 2-6 2-7 3-8 3-9 4-10 5-11 5-12 6-3 8-4 9-5
","0-2 1-0 1-1 1-2 2-6 2-7 3-8 3-9 4-10 5-11 5-12 6-3 8-4 9-5
",5,"[('学', 11), ('科', 12)]",0,"[('主', 11), ('题', 12)]",1,0,0,3
"In some cases, it is reported that the police refused to register a complaint, claiming that the victims' relatives should forgive the perpetrator who is considered to have acted in all fairness.
","In some cases , it is reported that the police refused to register a complaint , claiming that the victims ' relatives should forgive the perpetrator who is considered to have acted in all fairness . ","In some cases, it was reported that the police refused to register a complaint, claiming that the victims' relatives should forgive the perpetrator who is considered to have acted in all fairness.
","In some cases , it was reported that the police refused to register a complaint , claiming that the victims ' relatives should forgive the perpetrator who is considered to have acted in all fairness . ",SimplePresent,['reported '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36","在某些案件中，据报告，警察拒绝提交声称受害者的亲属应当原谅被认为行为公正的肇事者的申诉。
",case-2,UNv1,"据报告,在某些情况下,警察拒绝登记申诉,声称受害者的亲属应宽恕被认为公正行事的肇事者。","据报告,在有些案件中,警察拒绝登记申诉,声称受害者的亲属应宽恕被认为公正行事的肇事者。","据 报 告 , 在 某 些 情 况 下 , 警 察 拒 绝 登 记 申 诉 , 声 称 受 害 者 的 亲 属 应 宽 恕 被 认 为 公 正 行 事 的 肇 事 者 。","据 报 告 , 在 有 些 案 件 中 , 警 察 拒 绝 登 记 申 诉 , 声 称 受 害 者 的 亲 属 应 宽 恕 被 认 为 公 正 行 事 的 肇 事 者 。","0-4 1-5 1-6 2-7 2-8 2-9 2-10 5-0 5-1 5-2 7-12 8-11 9-13 9-14 10-13 11-15 11-16 13-17 13-18 14-20 14-21 15-21 16-24 17-22 17-23 18-26 18-27 19-28 20-29 20-30 22-39 25-31 25-32 25-33 28-36 29-38 30-40 31-34 31-35
","0-4 1-6 2-7 2-8 5-0 5-1 5-2 6-10 7-9 8-11 8-12 9-13 9-14 10-13 11-15 11-16 13-17 13-18 14-20 14-21 15-21 16-24 17-22 17-23 18-26 18-27 19-28 20-29 20-30 22-39 25-31 25-32 25-33 27-5 28-36 29-38 30-40 31-34 31-35
",11,"[('情', 7), ('况', 8), ('下', 9), (',', 10)]",14,"[('案', 7), ('件', 8)]",1,0,1,14
"In this one case, these systems override the usual priority rule so as to protect the prior owner of the asset being sold.
","In this one case , these systems override the usual priority rule so as to protect the prior owner of the asset being sold . ","In this one case, these systems overrided the usual priority rule so as to protect the prior owner of the asset being sold.
","In this one case , these systems overrided the usual priority rule so as to protect the prior owner of the asset being sold . ",SimplePresent,['override '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25","在这一情况下，这些制度超越通常的优先权规则，以保护所售资产的先前所有权人。
",case-3,UNv1,"在其中一种情况下,这些制度优先于通常的优先权规则,以保护所售资产原所有人。","在本案中,这些制度优先于通常的优先权规则,以保护所售资产原所有人。","在 其 中 一 种 情 况 下 , 这 些 制 度 优 先 于 通 常 的 优 先 权 规 则 , 以 保 护 所 售 资 产 原 所 有 人 。","在 本 案 中 , 这 些 制 度 优 先 于 通 常 的 优 先 权 规 则 , 以 保 护 所 售 资 产 原 所 有 人 。","0-0 1-9 2-3 3-4 3-5 3-6 3-7 3-8 4-10 5-11 5-12 6-11 7-12 8-16 8-17 9-13 9-14 9-19 9-20 9-21 10-22 10-23 11-25 14-26 14-27 15-24 16-30 17-29 18-30 19-30 20-31 21-35 22-29
","0-0 1-5 2-3 3-1 3-2 3-4 4-6 5-7 5-8 6-9 7-11 8-12 8-13 9-15 9-16 9-17 10-18 10-19 11-24 12-20 13-22 14-23 16-26 17-25 18-26 19-26 20-27 21-31 22-25
",11,"[('种', 4), ('情', 5), ('况', 6), ('下', 7), (',', 8)]",14,"[('本', 1), ('案', 2), (',', 4)]",1,0,1,14
"Bly loses the lead with three laps to go.
",Bly loses the lead with three laps to go . ,"Bly lost the lead with three laps to go.
",Bly lost the lead with three laps to go . ,SimplePresent,['loses '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10","吉米布萊失去領先地位 比賽僅剩三圈
",lead-3,os18,"布莱失去了领先,还有三圈","Bly输了铅,还有三圈","布 莱 失 去 了 领 先 , 还 有 三 圈","Bly 输 了 铅 , 还 有 三 圈","0-0 0-1 1-2 1-3 1-4 2-5 3-5 3-6 4-5 4-9 5-10 6-11 8-7
","0-0 1-1 1-2 2-4 3-3 4-4 4-6 5-7 6-8
",4,"[('领', 5), ('先', 6)]",0,"[('铅', 3)]",1,1,0,4
"Many stocks fell to new lows after the news broke out.
",Many stocks fell to new lows after the news broke out . ,"Many stocks fall to new lows after the news broke out.
",Many stocks fall to new lows after the news broke out . ,SimplePast,['fell '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12","消息传出后许多股票跌到最低点。
",stock-1,um,许多库存在新闻发布后降到新的低点。,许多股票在新闻发布后降到新的低点。,许 多 库 存 在 新 闻 发 布 后 降 到 新 的 低 点 。,许 多 股 票 在 新 闻 发 布 后 降 到 新 的 低 点 。,"0-0 0-1 1-2 1-3 3-7 4-5 4-12 5-10 5-11 5-14 5-15 6-9 7-13 8-6 10-16
","0-0 0-1 1-2 1-3 2-10 3-7 4-5 5-14 5-15 6-9 7-13 8-6 10-16
",7,"[('库', 2), ('存', 3)]",2,"[('股', 2), ('票', 3)]",1,0,1,2
"Such cases included operations under Chapter VII of the Charter.
",Such cases included operations under Chapter VII of the Charter . ,"Such cases include operations under Chapter VII of the Charter.
",Such cases include operations under Chapter VII of the Charter . ,SimplePast,['included '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","这类案例包括根据《宪章》第七章采取的行动。
",case-1,UNv1,此类案件包括根据《宪章》第七章采取的行动。,此类情况包括根据《宪章》第七章采取的行动。,此 类 案 件 包 括 根 据 《 宪 章 》 第 七 章 采 取 的 行 动 。,此 类 情 况 包 括 根 据 《 宪 章 》 第 七 章 采 取 的 行 动 。,"0-0 0-1 1-2 1-3 2-4 2-5 3-18 3-19 4-11 5-10 5-12 5-14 6-13 6-15 7-17 8-16 9-8 9-9
","0-0 0-1 1-2 1-3 2-4 2-5 3-18 3-19 4-11 5-10 5-12 5-14 6-13 6-15 7-17 8-16 9-8 9-9
",14,"[('案', 2), ('件', 3)]",11,"[('情', 2), ('况', 3)]",1,1,0,14
