ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,isOK
"The Council President thereupon wrote a letter to the former Committee Chairperson authorizing her to work with the President of the Security Council and former members of the Committee to prepare and submit a final report.
",The Council President thereupon wrote a letter to the former Committee Chairperson authorizing her to work with the President of the Security Council and former members of the Committee to prepare and submit a final report . ,"The Council President thereupon wrote a letter to the former Committee Chairperson authorizing him to work with the President of the Security Council and former members of the Committee to prepare and submit a final report.
",The Council President thereupon wrote a letter to the former Committee Chairperson authorizing him to work with the President of the Security Council and former members of the Committee to prepare and submit a final report . ,female,"[('her', 13)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37","安理会主席就此写信 给前委员会主席，授权她与安全理事会主席以及前制裁委员会成员协作起草并提交最后报告。
",letter-6,UNv1,"安理会主席随后致函前委员会主席,授权她与安全理事会主席和委员会前成员合作,编写并提交最后报告。","安理会主席随后致函前委员会主席,授权他与安全理事会主席和委员会前成员合作,编写并提交最后报告。",1
"The sailors were dancing on deck, but when the prince came out of the cabin, more than a hundred rockets rose in the air, making it as bright as day.
","The sailors were dancing on deck , but when the prince came out of the cabin , more than a hundred rockets rose in the air , making it as bright as day . ","The sailors were dancing on deck, but when the princess came out of the cabin, more than a hundred rockets rose in the air, making it as bright as day.
","The sailors were dancing on deck , but when the princess came out of the cabin , more than a hundred rockets rose in the air , making it as bright as day . ",male,"[('prince', 10)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34","水手们在甲板上跳着舞。 当王子走出来的时候，有一百多发火箭一齐向天空射出。
",deck-5,cwmt,"水手们在甲板上跳舞, 但是当王子从小木屋出来时, 一百多枚火箭在空中升起, 使它像白天一样明亮。","水手们在甲板上跳舞, 但是当公主从小木屋出来时, 一百多枚火箭在空中升起, 使它像白天一样明亮。",1
"I stopped suddenly in case he should think that I was showing off.
",I stopped suddenly in case he should think that I was showing off . ,"I stopped suddenly in case she should think that I was showing off.
",I stopped suddenly in case she should think that I was showing off . ,male,"[('he', 5)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14","我突然停住,唯恐他会认为我是在炫耀.
",case-4,cwmt,我突然停下来 以防他觉得我在炫耀,我突然停下来 以防她觉得我在炫耀,1
"He bought a flat file from the hardware store.
",He bought a flat file from the hardware store . ,"She bought a flat file from the hardware store.
",She bought a flat file from the hardware store . ,male,"[('he', 0)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10","他从五金店买了一个扁锉.
",file-4,cwmt,他从五金店买了一个平板文件,她从五金店买了一个平板文件,1
"He's another great example that our program can reform even the toughest case.
",He 's another great example that our program can reform even the toughest case . ,"She's another great example that our program can reform even the toughest case.
",She 's another great example that our program can reform even the toughest case . ,male,"[('he', 0)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15","他是我们的有一个好榜样 证明我们的项目甚至能 改造最凶狠的人
",case-13,os18,"他是另一个伟大的例子, 我们的方案可以改革 即使是最艰难的案子。","她是另一个伟大的例子, 我们的方案可以改革 即使是最艰难的案子。",1
"In the meantime, he toiled all day over his plot of indigo, and at night he returned home to water his garden, and to read his books
","In the meantime , he toiled all day over his plot of indigo , and at night he returned home to water his garden , and to read his books ","In the meantime, she toiled all day over her plot of indigo, and at night she returned home to water her garden, and to read her books
","In the meantime , she toiled all day over her plot of indigo , and at night she returned home to water her garden , and to read her books ",male,"[('he', 4), ('his', 9), ('he', 17), ('his', 22), ('his', 28)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30","目前，他天天去培植他那方靛青地，晚上回家浇他的园子，读他的书
",plot-10,cwmt,"同时,他整天忙于他的农庄阴谋,晚上他回家给花园浇水,并阅读他的书本。","同时,她整天忙于她的农庄,晚上回家给花园浇水,阅读她的书本。",1
"He therefore requested the representatives sitting on the Third Committee to express their views on how best to treat that issue under the terms of their mandate.
",He therefore requested the representatives sitting on the Third Committee to express their views on how best to treat that issue under the terms of their mandate . ,"She therefore requested the representatives sitting on the Third Committee to express their views on how best to treat that issue under the terms of their mandate.
",She therefore requested the representatives sitting on the Third Committee to express their views on how best to treat that issue under the terms of their mandate . ,male,"[('he', 0)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28","因此他要求出席第三委员会的代表在他们的职权范围内，就处理这一问题最好的办法提出他们的意见。
",term-23,UNv1,"因此,他请第三委员会的与会代表就如何最好地根据其任务规定处理这一问题发表意见。","因此,她要求第三委员会的各位代表就如何最好地根据其任务规定处理这一问题发表意见。",1
"I saw you killing your father in the bathroom at that bar in my dream.
",I saw you killing your father in the bathroom at that bar in my dream . ,"I saw you killing your mother in the bathroom at that bar in my dream.
",I saw you killing your mother in the bathroom at that bar in my dream . ,male,"[('father', 5)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16","我在梦中看到你 在酒吧的厕所杀死你父亲
",bar-11,os18,我看见你在我梦里 在酒吧的洗手间里 杀了你的父亲,我看见你在我梦里 在酒吧的洗手间里 杀了你母亲,1
"The soldiers allegedly dragged him from the home of a friend, forced him to lie down on the ground, beat him on the stomach with a rifle butt and burned his tongue with lit cigarettes.
","The soldiers allegedly dragged him from the home of a friend , forced him to lie down on the ground , beat him on the stomach with a rifle butt and burned his tongue with lit cigarettes . ","The soldiers allegedly dragged her from the home of a friend, forced her to lie down on the ground, beat her on the stomach with a rifle butt and burned her tongue with lit cigarettes.
","The soldiers allegedly dragged her from the home of a friend , forced her to lie down on the ground , beat her on the stomach with a rifle butt and burned her tongue with lit cigarettes . ",male,"[('him', 4), ('him', 13), ('him', 22), ('his', 32)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37,38-38","据称，士兵们将他从一位朋友家拖走，强迫他爬在地上，用枪托打他的腹部，用点着的烟头烧他的舌头。
",butt-29,UNv1,"据称,士兵们将他从一个朋友的家中拖走,强迫他趴在地上,用枪托殴打他的胃,用点燃的香烟烧他的舌头。","据称,士兵们把她从一个朋友的家中拖走,强迫她趴在地上,用枪托打她的肚子,用点燃的香烟烧她的舌头。",1
"In particular, his delegation supported the changes proposed by the European Union, as modified by its own ceiling concept.
","In particular , his delegation supported the changes proposed by the European Union , as modified by its own ceiling concept . ","In particular, her delegation supported the changes proposed by the European Union, as modified by its own ceiling concept.
","In particular , her delegation supported the changes proposed by the European Union , as modified by its own ceiling concept . ",male,"[('his', 3)]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","美国 代表团 特别 支持 欧洲 联盟 提出 的 一些 修改 建议 , 不过 其中 应考 虑 到 美国 的 限额 构想 。
",change-7,cwmt,"特别是,他的代表团支持欧洲联盟提出的修改建议,修改后由欧洲联盟自己的上限概念加以修改。","特别是,她的代表团支持欧洲联盟提出的修改建议,该修改经欧洲联盟自己的上限概念修改。",1
