ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,isOK,ori.tgt,mut.tgt
"Finally, by sub - loan crisis is limited, domestic banking stocks generally have a valuation advantage.
","Finally , by sub - loan crisis is limited , domestic banking stocks generally have a valuation advantage . ","Finally, by sub - loan crisis is limited, domestic banking stocks generally do not have a valuation advantage.
","Finally , by sub - loan crisis is limited , domestic banking stocks generally do not have a valuation advantage . ",positive,['have'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-16,15-17,16-18,17-19,18-20,19-21","最后, 受次贷危机影响有限, 国内银行股普遍具有估值优势.
",stock-12,cwmt,-2,"最后,由于次级贷款危机有限,国内银行股票通常具有估价优势。","最后,由于次级贷款危机有限,国内银行一般没有估价优势。"
"36. In addition, a programme designed to meet the credit needs of the poor was setting up links between banks and self-help groups, most of which consisted of women.
","36 . In addition , a programme designed to meet the credit needs of the poor was setting up links between banks and self - help groups , most of which consisted of women . ","36. In addition, a programme designed to meet the credit needs of the poor was not setting up links between banks and self-help groups, most of which consisted of women.
","36 . In addition , a programme designed to meet the credit needs of the poor was not setting up links between banks and self - help groups , most of which consisted of women . ",positive,['setting'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30,30-31,31-32,32-33,33-34,34-35,35-36","36. 此外，有一个方案是为了满足穷人的信贷需要的，它正在银行和主要由妇女组成的自助团体之间建立联系。
",bank-21,UNv1,1,"36. 此外,一个旨在满足穷人信贷需要的方案正在银行和自助团体之间建立联系,其中大多数团体由妇女组成。","36. 此外,一个旨在满足穷人信贷需要的方案没有在银行和自助团体之间建立联系,而自助团体大多由妇女组成。"
"- My mother would add a bar of chocolate.
",- My mother would add a bar of chocolate . ,"- My mother would not add a bar of chocolate.
",- My mother would not add a bar of chocolate . ,positive,['add'],MUTATED,"0-0,1-1,2-2,3-3,4-5,5-6,6-7,7-8,8-9,9-10,10-11","我妈可能会放一块巧克力
",bar-6,os18,1,- 我妈妈会加一小块巧克力,- 我妈妈不会加一小块巧克力
"The industry includes four commercial banks, and 53 trust companies, among others.2
","The industry includes four commercial banks , and 53 trust companies , among others.2 ","The industry does not include four commercial banks, and 53 trust companies, among others.2
","The industry does not include four commercial banks , and 53 trust companies , among others.2 ",positive,['includes'],MUTATED,"0-0,1-1,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16","该行业包括四个商业银行、53个信托公司，以及其他一些公司。
",bank-5,UNv1,1,"除其他外,该行业包括四家商业银行和53家信托公司。","除其他外,该行业不包括四家商业银行和53家信托公司。"
"Each contract shall incorporate the standard clauses set out in annex IV in effect at the date of entry into force of the contract.
",Each contract shall incorporate the standard clauses set out in annex IV in effect at the date of entry into force of the contract . ,"Each contract shall not incorporate the standard clauses set out in annex IV in effect at the date of entry into force of the contract.
",Each contract shall not incorporate the standard clauses set out in annex IV in effect at the date of entry into force of the contract . ,positive,['incorporate'],MUTATED,"0-0,1-1,2-2,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26","每一项合同都应包括附件四中所列，在合同生效之日具有效力的标准条款。
",date-16,UNv1,-2,每项合同均应包括附件四所列、在合同生效之日有效的标准条款。,每一合同不得包括附件四所列、在合同生效之日有效的标准条款。
"They offer plastic nail sheaths for pets to blunt their nails.
",They offer plastic nail sheaths for pets to blunt their nails . ,"They do not offer plastic nail sheaths for pets to blunt their nails.
",They do not offer plastic nail sheaths for pets to blunt their nails . ,positive,['offer'],MUTATED,"0-0,1-3,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14","他们为宠物提供塑料趾甲护套,使它们的趾甲变钝.
",nail-10,cwmt,1,他们为宠物们提供塑料钉钉套 来扭断他们的指甲,他们不给宠物提供塑料钉子套件 用来磨指甲
"Arranging letter home's particular locus in letter's development, is furtherance to exhume the aesthetic value of letter home.
","Arranging letter home 's particular locus in letter 's development , is furtherance to exhume the aesthetic value of letter home . ","Arranging letter home's particular locus in letter's development, is not furtherance to exhume the aesthetic value of letter home.
","Arranging letter home 's particular locus in letter 's development , is not furtherance to exhume the aesthetic value of letter home . ",positive,['is'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23","梳理家书在书信发展史中独特的轨迹，对于发掘家书的审美价值有很大的助益。
",letter-1,cwmt,-2,"整理信件之家在信件发展过程中的特殊位置, 进一步挖掘信件之家的美学价值。",将信件之家的特殊位置 安排在信件之家的开发中 并不是更进一步 挖掘信件之家的美学价值
"On 6 November, the Council held elections for five members of the International Court of Justice, for a term of office of nine years commencing on 6 February 2015.
","On 6 November , the Council held elections for five members of the International Court of Justice , for a term of office of nine years commencing on 6 February 2015 . ","On 6 November, the Council did not hold elections for five members of the International Court of Justice, for a term of office of nine years commencing on 6 February 2015.
","On 6 November , the Council did not hold elections for five members of the International Court of Justice , for a term of office of nine years commencing on 6 February 2015 . ",positive,['held'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29,28-30,29-31,30-32,31-33,32-34","11月6日，安理会进行了5名国际法院法官的选举，他们将于2015年2月6日上任，任期9年。
",term-20,UNv1,1,"11月6日,安理会选举了国际法院五名法官,任期九年,从2015年2月6日开始。","11月6日,安理会没有选举国际法院五名法官,任期九年,从2015年2月6日开始。"
"In the case of enforced disappearance, the human rights violation only stops when the fate and whereabouts of the disappeared person are considered clarified beyond reasonable doubt.
","In the case of enforced disappearance , the human rights violation only stops when the fate and whereabouts of the disappeared person are considered clarified beyond reasonable doubt . ","In the case of enforced disappearance, the human rights violation only does not stop when the fate and whereabouts of the disappeared person are considered clarified beyond reasonable doubt.
","In the case of enforced disappearance , the human rights violation only does not stop when the fate and whereabouts of the disappeared person are considered clarified beyond reasonable doubt . ",positive,['stops'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29,28-30,29-31","如果是强迫失踪，只有当失踪者的命运和下落被认为无合理的怀疑而被澄清时，侵犯人权行为才停止。
",case-2,UNv1,-2,"在强迫失踪案件中,只有在认为失踪者的命运和下落已无可置疑地得到澄清时,侵犯人权行为才会停止。","在强迫失踪案件中,只有在认为失踪者的命运和下落已无可置疑地得到澄清时,侵犯人权行为才不会停止。"
"We are convinced that a true spirit of cooperation will be essential to help the victims of the accident.
",We are convinced that a true spirit of cooperation will be essential to help the victims of the accident . ,"We are not convinced that a true spirit of cooperation will be essential to help the victims of the accident.
",We are not convinced that a true spirit of cooperation will be essential to help the victims of the accident . ,positive,['are'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21","我们相信，为了帮助这一事故的受害者，真诚合作的精神极为重要。
",spirit-6,UNv1,1,"我们相信,真正的合作精神对于帮助事故受害者至关重要。",我们不认为真正的合作精神对于帮助事故受害者至关重要。
