ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,isOK
"But, especially these days, that still makes a college degree one of the most lucrative investments a person can make, Baum notes.
","But , especially these days , that still makes a college degree one of the most lucrative investments a person can make , Baum notes . ","But, especially these days, that still makes a college degree one of the most lucrative investments people can make, Baum notes.
","But , especially these days , that still makes a college degree one of the most lucrative investments people can make , Baum notes . ",singular,['person '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25","波美还提到，大学教育，尤其是在现在，仍然是一个人所能做的最为有利的投资。
",note-24,cwmt,"但是,特别是最近,这仍然使大学学位 成为个人能做的最有利可图的投资之一, Baum笔记。","但是,特别是最近,这仍然使大学学位 成为人们最有利可图的投资之一, 鲍姆笔记。",1
"The Government replied that it would not be possible to schedule a visit during the proposed dates, and that the interest of the Working Group would be given due consideration.
","The Government replied that it would not be possible to schedule a visit during the proposed dates , and that the interest of the Working Group would be given due consideration . ","The Government replied that it would not be possible to schedule visits during the proposed dates, and that the interest of the Working Group would be given due consideration.
","The Government replied that it would not be possible to schedule visits during the proposed dates , and that the interest of the Working Group would be given due consideration . ",singular,['visit '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30,32-31","该国政府答复说，不可能在建议的时间内安排访问，但会适当考虑工作组的意愿。
",date-16,UNv1,"该国政府答复说,不可能在拟议日期安排访问,将适当考虑工作组的兴趣。","该国政府答复说,不可能在拟议日期安排访问,将适当考虑工作组的兴趣。",1
"As the world's first electronic stock market, NASDAQ long ago set a precedent for technological trading innovation that is unrivaled.
","As the world 's first electronic stock market , NASDAQ long ago set a precedent for technological trading innovation that is unrivaled . ","As the world's first electronic stock market, NASDAQ long ago set precedents for technological trading innovation that is unrivaled.
","As the world 's first electronic stock market , NASDAQ long ago set precedents for technological trading innovation that is unrivaled . ",singular,['precedent '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22","作为世界上第一家电子股票交易市场，纳斯达克（NASDAQ）早就史无前例地进行了技术交易的创新。
",stock-6,cwmt,"作为世界第一个电子股票市场,日本宇宙开发事业团早就为技术贸易创新开创了无与伦比的先例。","作为世界第一个电子股票市场,NASDAQ早就为无敌的技术贸易创新开创了先例。",1
"You lit a candle and put it on my chest. The red candle wax kept dripping down. That night, I lay insomniac in the sounds of the rain.
","You lit a candle and put it on my chest . The red candle wax kept dripping down . That night , I lay insomniac in the sounds of the rain . ","You lit candles and put it on my chest. The red candle wax kept dripping down. That night, I lay insomniac in the sounds of the rain.
","You lit candles and put it on my chest . The red candle wax kept dripping down . That night , I lay insomniac in the sounds of the rain . ",singular,['candle '],MUTATED,"0-0,1-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30,32-31","你点起了一个蜡烛，放在我的胸口，蜡烛是红色的蜡泪直往下滴，那个夜里，我和著雨声失眠。
",chest-9,cwmt,"你点燃了一根蜡烛,放在我胸前,红蜡不断滴落。那天晚上,我在雨声中失眠。","你点燃了蜡烛,然后把它放在我胸前,红蜡不断滴落。那天晚上,我在雨声中失眠。",1
"Its human and technical resources were over-extended and particularly inadequate to address an issue as vital to human rights as climate change.
",Its human and technical resources were over - extended and particularly inadequate to address an issue as vital to human rights as climate change . ,"Its human and technical resources were over-extended and particularly inadequate to address issues as vital to human rights as climate change.
",Its human and technical resources were over - extended and particularly inadequate to address issues as vital to human rights as climate change . ,singular,['issue '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24","其人力资源和技术资源承担过多的责任，尤其不足以应对气候变化这一对人权如此重要的问题。
",change-23,UNv1,"其人力和技术资源过度扩展,尤其不足以解决气候变化等对人权至关重要的问题。","其人力和技术资源过度扩展,尤其不足以解决气候变化等对人权至关重要的问题。",1
"In quantitative terms, this meant a reduction of more than one million in the total number of illiterate persons in the country, not taking into account the natural increase in the numbers of illiterate persons between 1999 and 2010.
","In quantitative terms , this meant a reduction of more than one million in the total number of illiterate persons in the country , not taking into account the natural increase in the numbers of illiterate persons between 1999 and 2010 . ","In quantitative terms, this meant reductions of more than one million in the total number of illiterate persons in the country, not taking into account the natural increase in the numbers of illiterate persons between 1999 and 2010.
","In quantitative terms , this meant reductions of more than one million in the total number of illiterate persons in the country , not taking into account the natural increase in the numbers of illiterate persons between 1999 and 2010 . ",singular,['reduction '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30,32-31,33-32,34-33,35-34,36-35,37-36,38-37,39-38,40-39,41-40,42-41","在数量方面，这意味着不考虑1999至2010年期间文盲人数的自然增长，国内文盲总数减少了100多万。
",term-2,UNv1,"从数量上讲,这意味着该国文盲总人数将减少100多万,没有考虑到1999年至2010年期间文盲人数自然增加的情况。","从数量上讲,这意味着该国文盲总人数减少100多万,没有考虑到1999年至2010年期间文盲人数自然增加的情况。",-4
"Though he stays with people, he with a superiority complex thinks that others are inferior to him like a crane standing among the cocks.
","Though he stays with people , he with a superiority complex thinks that others are inferior to him like a crane standing among the cocks . ","Though he stays with people, he with a superiority complex thinks that others are inferior to him like cranes standing among the cocks.
","Though he stays with people , he with a superiority complex thinks that others are inferior to him like cranes standing among the cocks . ",singular,['crane '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25","他虽然与大众厮混在一起，却有鹤立鸡群的优越感，自视甚高，认为别人都不如他。
",cock-24,cwmt,虽然他和人在一起 但他有优越感 认为其他人比他低人一等 就像一只起重机站在公鸡中间,虽然他和人在一起 但他有优越感 认为其他人比他低人一等 比如站在公鸡中间的吊车,-2
"the interested parties (in cartel cases) or the undertakings concerned (in merger cases) act contrary to a stipulation or have not fulfilled a condition set by the decision, or
","the interested parties ( in cartel cases ) or the undertakings concerned ( in merger cases ) act contrary to a stipulation or have not fulfilled a condition set by the decision , or ","The interested parties (in cartel cases) or the undertakings concerned (in merger cases) act contrary to a stipulation or have not fulfilled conditions set by the decision, or
","The interested parties ( in cartel cases ) or the undertakings concerned ( in merger cases ) act contrary to a stipulation or have not fulfilled conditions set by the decision , or ",singular,['condition '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,27-26,28-27,29-28,30-29,31-30,32-31,33-32,34-33","如有关方面(如在卡特尔情况中)或有关企业(在合并情况中)违反一项规定或为满足决定规定的条件，或
",case-6,UNv1,"有关当事方(在卡特尔案件中)或有关企业(在合并案件中)违反某项规定或没有满足该决定规定的条件,或","有关当事方(在卡特尔案件中)或有关企业(在合并案件中)违反某项规定或不符合该决定规定的条件,或",1
"The annex to the present note contains a compilation of comments submitted by Parties in response to the invitation contained in paragraph 5 of decision XVIII/18.
",The annex to the present note contains a compilation of comments submitted by Parties in response to the invitation contained in paragraph 5 of decision XVIII/18 . ,"The annex to the present note contains compilations of comments submitted by Parties in response to the invitation contained in paragraph 5 of decision XVIII/18.
",The annex to the present note contains compilations of comments submitted by Parties in response to the invitation contained in paragraph 5 of decision XVIII/18 . ,singular,['compilation '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26","本说明附件载有各缔约方应第XVIII/18号决定第5段邀请提交的评论意见。
",note-5,UNv1,本说明附件载有缔约方应第XVIII/18号决定第5段所载邀请提交的评论意见汇编。,本说明附件载有缔约方应第XVIII/18号决定第5段所载邀请提交的评论意见汇编。,1
"Such a court would provide the necessary judicial response in cases where national courts were not able or willing to prosecute suspected persons or investigate crimes.
",Such a court would provide the necessary judicial response in cases where national courts were not able or willing to prosecute suspected persons or investigate crimes . ,"Such courts would provide the necessary judicial response in cases where national courts were not able or willing to prosecute suspected persons or investigate crimes.
",Such courts would provide the necessary judicial response in cases where national courts were not able or willing to prosecute suspected persons or investigate crimes . ,singular,['court '],MUTATED,"0-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26","这样的一个法院在国家法院不能够或不愿意起诉犯罪嫌疑人或调查罪行的情况下，会作出必要的司法反应。
",case-10,UNv1,"在国家法院不能或不愿意起诉涉嫌人或调查罪行的情况下,这种法院将提供必要的司法反应。","在国家法院不能或不愿意起诉涉嫌人或调查罪行的情况下,这类法院将提供必要的司法反应。",1
