ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,isOK
"Interest derived from special-purpose contributions is identified separately for the fund balance of each contribution.
",Interest derived from special - purpose contributions is identified separately for the fund balance of each contribution . ,"Interest derived from special-purpose contributions was identified separately for the fund balance of each contribution.
",Interest derived from special - purpose contributions was identified separately for the fund balance of each contribution . ,SimplePresent,['identified '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18","从特别用途捐款获得的利息，按每笔捐款的资金余额单独立帐。
",balance-13,UNv1,特别用途捐款产生的利息按每项捐款的基金余额分别列出。,特别用途捐款产生的利息按每项捐款的基金余额分别列出。,1
"The present state of research on reuse of MSWI fly ash is shown in this paper.
",The present state of research on reuse of MSWI fly ash is shown in this paper . ,"The present state of research on reuse of MSWI fly ash was shown in this paper.
",The present state of research on reuse of MSWI fly ash was shown in this paper . ,SimplePresent,['shown '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","本文就垃圾飞灰的综合利用研究现状进行了论述.
",fly-9,cwmt,关于MSWI飞灰再利用的研究现状见本文件。,本文件介绍了关于MSWI飞灰再利用的研究现状。,1
"- My bar sounds just like what you're after.
",- My bar sounds just like what you 're after . ,"- My bar sounded just like what you're after.
",- My bar sounded just like what you 're after . ,SimplePresent,['sounds '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","- 我的酒吧正是你在物色的
",bar-2,os18,- 我的酒吧听起来和你想要的一模一样,- 我的酒吧听起来和你想要的一模一样,1
"My Government finds it profoundly disappointing that the contents of Mr. Al-Sahaf's letter, in their simplest meaning, overlook the consistent policy Turkey has pursued from the outset of the Gulf crisis.
","My Government finds it profoundly disappointing that the contents of Mr. Al - Sahaf 's letter , in their simplest meaning , overlook the consistent policy Turkey has pursued from the outset of the Gulf crisis . ","My Government found it profoundly disappointing that the contents of Mr. Al-Sahaf's letter, in their simplest meaning, overlook the consistent policy Turkey has pursued from the outset of the Gulf crisis.
","My Government found it profoundly disappointing that the contents of Mr. Al - Sahaf 's letter , in their simplest meaning , overlook the consistent policy Turkey has pursued from the outset of the Gulf crisis . ",SimplePresent,['finds '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37","令 我国 政府 十分 失望 的 是 , 萨哈夫 先生 意义 简单 的 信件 内容 忽视 了 土耳其 自 海湾 危机 开始 以来 一贯 奉行 的 政策 。
",letter-15,cwmt,"我国政府深感失望的是,萨哈夫先生的信的内容最简单的含义忽视了土耳其从海湾危机一开始就奉行的一贯政策。","我国政府深感失望的是,萨哈夫先生的信的内容最简单的含义忽视了土耳其从海湾危机一开始就奉行的一贯政策。",1
"A woman was robbed of her money by a tall robber with long brown hair after she took money out of the bank.
",A woman was robbed of her money by a tall robber with long brown hair after she took money out of the bank . ,"A woman is robbed of her money by a tall robber with long brown hair after she took money out of the bank.
",A woman is robbed of her money by a tall robber with long brown hair after she took money out of the bank . ,SimplePast,['robbed '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24","一名高个、留着棕-色长发的歹徒抢劫了一名刚从银行取出钱的妇女。
",bank-22,cwmt,"一名妇女从银行拿了钱后,被一个高大、长棕发的强盗抢走,抢走了她的钱。",一个女人在从银行拿钱后 被一个高高的 棕色长发强盗抢了钱,-2
"He became superintendent of the bank's East African branches.
",He became superintendent of the bank 's East African branches . ,"He become superintendent of the bank's East African branches.
",He become superintendent of the bank 's East African branches . ,SimplePast,['became '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","他成了该银行东非分行的行长。
",bank-5,cwmt,他成为银行东非分行的主管。,他成为银行东非分行的主管,1
"However, it is recognized that, at present, there is few staff to cover many districts and this may be a factor hindering effective implementations of plans.
","However , it is recognized that , at present , there is few staff to cover many districts and this may be a factor hindering effective implementations of plans . ","However, it was recognized that, at present, there is few staff to cover many districts and this may be a factor hindering effective implementations of plans.
","However , it was recognized that , at present , there is few staff to cover many districts and this may be a factor hindering effective implementations of plans . ",SimplePresent,['recognized '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30","然而目前，由于人手不足，无法涵盖到很多地区，并且存在某种因素，阻碍了这些计划的有效执行。
",staff-13,UNv1,"然而,人们认识到,目前很少有工作人员负责许多地区的事务,这可能是妨碍有效执行计划的一个因素。","然而,人们认识到,目前很少有工作人员负责许多地区的事务,这可能是妨碍有效执行计划的一个因素。",1
"13. Lastly, he read out the summary of the report of the Secretary-General on staff retention and legacy issues (A/60/436).
","13 . Lastly , he read out the summary of the report of the Secretary - General on staff retention and legacy issues ( A/60/436 ) . ","13. Lastly, he read out the summary of the report of the Secretary-General on staff retention and legacy issues (A/60/436).
","13 . Lastly , he read out the summary of the report of the Secretary - General on staff retention and legacy issues ( A/60/436 ) . ",SimplePresent,['read '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27","13. 最后，他宣读了秘书长关于留用工作人员和法律遗产问题的报告（A/60/436）摘要。
",staff-18,UNv1,"13. 最后,他宣读了秘书长关于工作人员留用和遗留问题的报告摘要(A/60/436)。","13. 最后,他宣读了秘书长关于工作人员留用和遗留问题的报告摘要(A/60/436)。",1
"OHCHR investigated 46 reports from 36 districts, mostly between July and October, of involvement of CPN(M) cadres in abductions (23 cases), assaults or acts of humiliation (23 cases).
","OHCHR investigated 46 reports from 36 districts , mostly between July and October , of involvement of CPN(M ) cadres in abductions ( 23 cases ) , assaults or acts of humiliation ( 23 cases ) . ","OHCHR investigate 46 reports from 36 districts, mostly between July and October, of involvement of CPN(M) cadres in abductions (23 cases), assaults or acts of humiliation (23 cases).
","OHCHR investigate 46 reports from 36 districts , mostly between July and October , of involvement of CPN(M ) cadres in abductions ( 23 cases ) , assaults or acts of humiliation ( 23 cases ) . ",SimplePast,['investigated '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37","人权高专办调查了36个地区尼共干部7月至10月参与的46起案件，其中23起涉嫌绑架，23起涉嫌攻击或污辱。
",case-24,UNv1,"人权高专办调查了36个县(主要是7月至10月)的46份报告,其中涉及尼泊尔共产党(毛派)干部参与绑架(23起案件)、攻击或侮辱行为(23起案件)。","人权高专办调查了36个县(主要是7月至10月)的46份报告,其中涉及尼泊尔共产党(毛派)干部参与绑架(23起案件)、攻击或侮辱行为(23起案件)。",1
"These genes play a crucial role in the growth of vertebrate limbs, digits, and integumentary appendages such as hair, teeth and nails.
","These genes play a crucial role in the growth of vertebrate limbs , digits , and integumentary appendages such as hair , teeth and nails . ","These genes played a crucial role in the growth of vertebrate limbs, digits, and integumentary appendages such as hair, teeth and nails.
","These genes played a crucial role in the growth of vertebrate limbs , digits , and integumentary appendages such as hair , teeth and nails . ",SimplePresent,['play '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26","这些基因在脊椎动物的四肢、趾头，以及皮肤附属物如毛发、牙齿、趾甲等的生长过程，扮演著关键性的角色。
",nail-24,cwmt,这些基因在脊椎骨四肢、数字以及毛发、牙齿和钉子等无营养附着物的生长中发挥着关键作用。,这些基因在脊椎骨四肢、数字以及毛发、牙齿和钉子等无营养附着物的生长中发挥了关键作用。,1
